dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0.0030,0.0000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,0.0120,0.0000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,0.0270,0.0000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,0.0480,0.0000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,0.0750,0.0000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,0.1080,0.0000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,0.1470,0.0000,0.1470,2.1000,15.0000,0.0000,0.0000
0.02,0.1920,0.0000,0.1920,2.4000,15.0000,0.0000,0.0000
0.02,0.2430,0.0000,0.2430,2.7000,15.0000,0.0000,0.0000
0.02,0.3000,0.0000,0.3000,3.0000,15.0000,0.0000,0.0000
0.02,0.3630,0.0000,0.3630,3.3000,15.0000,0.0000,0.0000
0.02,0.4320,0.0000,0.4320,3.6000,15.0000,0.0000,0.0000
0.02,0.5070,0.0000,0.5070,3.9000,15.0000,0.0000,0.0000
0.02,0.5880,0.0000,0.5880,4.2000,15.0000,0.0000,0.0000
0.02,0.6750,0.0000,0.6750,4.5000,15.0000,0.0000,0.0000
0.02,0.7680,0.0000,0.7680,4.8000,15.0000,0.0000,0.0000
0.02,0.8670,0.0000,0.8670,5.1000,15.0000,0.0000,0.0000
0.02,0.9720,0.0000,0.9720,5.4000,15.0000,0.0000,0.0000
0.02,1.0830,0.0000,1.0830,5.7000,15.0000,0.0000,0.0007
0.02,1.2000,0.0003,1.2000,6.0000,15.0000,0.0000,0.0042
0.02,1.3200,0.0011,1.3200,6.0000,15.0000,0.0000,0.0107
0.02,1.4400,0.0030,1.4400,6.0000,15.0000,0.0000,0.0201
0.02,1.5599,0.0061,1.5600,6.0000,15.0000,0.0000,0.0325
0.02,1.6798,0.0109,1.6800,6.0000,15.0000,0.0000,0.0480
0.02,1.7996,0.0177,1.8000,6.0000,15.0000,0.0000,0.0671
0.02,1.9193,0.0271,1.9200,6.0000,15.0000,0.0000,0.0898
0.02,2.0386,0.0394,2.0400,6.0000,15.0000,0.0000,0.1167
0.02,2.1576,0.0552,2.1600,6.0000,15.0000,0.0000,0.1482
0.02,2.2759,0.0751,2.2800,6.0000,15.0000,0.0000,0.1850
0.02,2.3934,0.0996,2.4000,6.0000,15.0000,0.0000,0.2277
0.02,2.5096,0.1295,2.5200,6.0000,15.0000,0.0000,0.2769
0.02,2.6241,0.1655,2.6400,6.0000,15.0000,0.0000,0.3335
0.02,2.7361,0.2083,2.7600,6.0000,15.0000,0.0000,0.3980
0.02,2.8450,0.2587,2.8800,6.0000,15.0000,0.0000,0.4705
0.02,2.9497,0.3173,3.0000,6.0000,15.0000,0.0000,0.5508
0.02,3.0491,0.3844,3.1200,6.0000,15.0000,0.0000,0.6375
0.02,3.1422,0.4601,3.2400,6.0000,15.0000,0.0000,0.7288
0.02,3.2279,0.5440,3.3600,6.0000,15.0000,0.0000,0.8216
0.02,3.3055,0.6355,3.4800,6.0000,15.0000,0.0000,0.9128
0.02,3.3746,0.7335,3.6000,6.0000,15.0000,0.0000,0.9995
0.02,3.4353,0.8370,3.7200,6.0000,15.0000,0.0000,1.0795
0.02,3.4880,0.9448,3.8400,6.0000,15.0000,0.0000,1.1515
0.02,3.5333,1.0559,3.9600,6.0000,15.0000,0.0000,1.2153
0.02,3.5718,1.1695,4.0800,6.0000,15.0000,0.0000,1.2708
0.02,3.6044,1.2850,4.2000,6.0000,15.0000,0.0000,1.3187
0.02,3.6319,1.4018,4.3200,6.0000,15.0000,0.0000,1.3596
0.02,3.6550,1.5196,4.4400,6.0000,15.0000,0.0000,1.3943
0.02,3.6743,1.6380,4.5600,6.0000,15.0000,0.0000,1.4235
0.02,3.6904,1.7569,4.6800,6.0000,15.0000,0.0000,1.4477
0.02,3.7039,1.8761,4.8000,6.0000,15.0000,0.0000,1.4674
0.02,3.7153,1.9956,4.9200,6.0000,15.0000,0.0000,1.4832
0.02,3.7251,2.1152,5.0400,6.0000,15.0000,0.0000,1.4952
0.02,3.7336,2.2349,5.1600,6.0000,15.0000,0.0000,1.5038
0.02,3.7413,2.3547,5.2800,6.0000,15.0000,0.0000,1.5092
0.02,3.7485,2.4744,5.4000,6.0000,15.0000,0.0000,1.5114
0.02,3.7556,2.5942,5.5200,6.0000,15.0000,0.0000,1.5105
0.02,3.7631,2.7140,5.6400,6.0000,15.0000,0.0000,1.5065
0.02,3.7712,2.8337,5.7600,6.0000,15.0000,0.0000,1.4993
0.02,3.7803,2.9534,5.8800,6.0000,15.0000,0.0000,1.4887
0.02,3.7910,3.0729,6.0000,6.0000,15.0000,0.0000,1.4746
0.02,3.8035,3.1922,6.1200,6.0000,15.0000,0.0000,1.4566
0.02,3.8185,3.3113,6.2400,6.0000,15.0000,0.0000,1.4344
0.02,3.8364,3.4300,6.3600,6.0000,15.0000,0.0000,1.4074
0.02,3.8577,3.5480,6.4800,6.0000,15.0000,0.0000,1.3751
0.02,3.8832,3.6653,6.6000,6.0000,15.0000,0.0000,1.3369
0.02,3.9136,3.7814,6.7200,6.0000,15.0000,0.0000,1.2921
0.02,3.9495,3.8959,6.8400,6.0000,15.0000,0.0000,1.2399
0.02,3.9918,4.0081,6.9600,6.0000,15.0000,0.0000,1.1798
0.02,4.0412,4.1175,7.0800,6.0000,15.0000,0.0000,1.1112
0.02,4.0985,4.2229,7.2000,6.0000,15.0000,0.0000,1.0345
0.02,4.1640,4.3234,7.3200,6.0000,15.0000,0.0000,0.9505
0.02,4.2380,4.4178,7.4400,6.0000,15.0000,0.0000,0.8609
0.02,4.3203,4.5051,7.5600,6.0000,15.0000,0.0000,0.7683
0.02,4.4103,4.5844,7.6800,6.0000,15.0000,0.0000,0.6761
0.02,4.5072,4.6552,7.8000,6.0000,15.0000,0.0000,0.5871
0.02,4.6098,4.7173,7.9200,6.0000,15.0000,0.0000,0.5039
0.02,4.7170,4.7712,8.0400,6.0000,15.0000,0.0000,0.4280
0.02,4.8278,4.8171,8.1600,6.0000,15.0000,0.0000,0.3601
0.02,4.9413,4.8560,8.2800,6.0000,15.0000,0.0000,0.3002
0.02,5.0568,4.8884,8.4000,6.0000,15.0000,0.0000,0.2478
0.02,5.1738,4.9151,8.5200,6.0000,15.0000,0.0000,0.2024
0.02,5.2918,4.9368,8.6400,6.0000,15.0000,0.0000,0.1632
0.02,5.4105,4.9543,8.7600,6.0000,15.0000,0.0000,0.1295
0.02,5.5297,4.9680,8.8800,6.0000,15.0000,0.0000,0.1007
0.02,5.6493,4.9786,9.0000,6.0000,15.0000,0.0000,0.0763
0.02,5.7690,4.9865,9.1200,6.0000,15.0000,0.0000,0.0557
0.02,5.8889,4.9921,9.2400,6.0000,15.0000,0.0000,0.0387
0.02,6.0088,4.9959,9.3600,6.0000,15.0000,0.0000,0.0250
0.02,6.1288,4.9982,9.4800,6.0000,15.0000,0.0000,0.0143
0.02,6.2488,4.9994,9.6000,6.0000,15.0000,0.0000,0.0066
0.02,6.3688,4.9999,9.7200,6.0000,15.0000,0.0000,0.0018
0.02,6.4888,5.0000,9.8400,6.0000,15.0000,0.0000,0.0000
0.02,6.6118,5.0000,9.9630,6.3000,15.0000,0.0000,0.0000
0.02,6.7408,5.0000,10.0920,6.6000,15.0000,0.0000,0.0000
0.02,6.8758,5.0000,10.2270,6.9000,15.0000,0.0000,0.0000
0.02,7.0168,5.0000,10.3680,7.2000,15.0000,0.0000,0.0000
0.02,7.1638,5.0000,10.5150,7.5000,15.0000,0.0000,0.0000
0.02,7.3168,5.0000,10.6680,7.8000,15.0000,0.0000,0.0000
0.02,7.4758,5.0000,10.8270,8.1000,15.0000,0.0000,0.0000
0.02,7.6408,5.0000,10.9920,8.4000,15.0000,0.0000,0.0000
0.02,7.8118,5.0000,11.1630,8.7000,15.0000,0.0000,0.0000
0.02,7.9888,5.0000,11.3400,9.0000,15.0000,0.0000,0.0000
0.02,8.1718,5.0000,11.5230,9.3000,15.0000,0.0000,0.0000
0.02,8.3608,5.0000,11.7120,9.6000,15.0000,0.0000,0.0000
0.02,8.5558,5.0000,11.9070,9.9000,15.0000,0.0000,0.0000
0.02,8.7548,5.0000,12.1060,10.0000,15.0000,0.0000,0.0000
0.02,8.9548,5.0000,12.3060,10.0000,15.0000,0.0000,0.0000
0.02,9.1548,5.0000,12.5060,10.0000,15.0000,0.0000,0.0000
0.02,9.3548,5.0000,12.7060,10.0000,15.0000,0.0000,0.0000
0.02,9.5548,5.0000,12.9060,10.0000,15.0000,0.0000,0.0000
0.02,9.7548,5.0000,13.1060,10.0000,15.0000,0.0000,0.0000
0.02,9.9548,5.0000,13.3060,10.0000,15.0000,0.0000,0.0000
0.02,10.1548,5.0000,13.5060,10.0000,15.0000,0.0000,0.0000
0.02,10.3548,5.0000,13.7060,10.0000,15.0000,0.0000,0.0000
0.02,10.5548,5.0000,13.9060,10.0000,15.0000,0.0000,0.0000
0.02,10.7548,5.0000,14.1060,10.0000,15.0000,0.0000,0.0000
0.02,10.9548,5.0000,14.3060,10.0000,15.0000,0.0000,0.0000
0.02,11.1548,5.0000,14.5060,10.0000,15.0000,0.0000,0.0000
0.02,11.3548,5.0000,14.7060,10.0000,15.0000,0.0000,0.0000
0.02,11.5548,5.0000,14.9060,10.0000,15.0000,0.0000,0.0000
0.02,11.7548,5.0000,15.1060,10.0000,15.0000,0.0000,0.0000
0.02,11.9548,5.0000,15.3060,10.0000,15.0000,0.0000,0.0000
0.02,12.1548,5.0000,15.5060,10.0000,15.0000,0.0000,0.0000
0.02,12.3548,5.0000,15.7060,10.0000,15.0000,0.0000,0.0000
0.02,12.5548,5.0000,15.9060,10.0000,15.0000,0.0000,0.0000
0.02,12.7548,5.0000,16.1060,10.0000,15.0000,0.0000,0.0000
0.02,12.9520,5.0000,16.3032,9.7205,-13.9768,0.0000,0.0000
0.02,13.1436,5.0000,16.4948,9.4409,-13.9768,0.0000,0.0000
0.02,13.3296,5.0000,16.6808,9.1614,-13.9768,0.0000,0.0000
0.02,13.5101,5.0000,16.8613,8.8819,-13.9768,0.0000,0.0000
0.02,13.6849,5.0000,17.0361,8.6023,-13.9768,0.0000,0.0000
