dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,0.0028,0.0000,0.0028,0.1400,7.0000,0.0000,0.0028,0.1400,7.0000,0.0000,0.0028,0.1400,7.0000,0.0000,0.0000
0.02,0.0084,0.0000,0.0084,0.2800,7.0000,0.0000,0.0084,0.2800,7.0000,0.0000,0.0084,0.2800,7.0000,0.0000,0.0000
0.02,0.0168,0.0000,0.0168,0.4200,7.0000,0.0000,0.0168,0.4200,7.0000,0.0000,0.0168,0.4200,7.0000,0.0000,0.0000
0.02,0.0280,0.0000,0.0280,0.5600,7.0000,0.0000,0.0280,0.5600,7.0000,0.0000,0.0280,0.5600,7.0000,0.0000,0.0000
0.02,0.0420,0.0000,0.0420,0.7000,7.0000,0.0000,0.0420,0.7000,7.0000,0.0000,0.0420,0.7000,7.0000,0.0000,0.0000
0.02,0.0588,0.0000,0.0588,0.8400,7.0000,0.0000,0.0588,0.8400,7.0000,0.0000,0.0588,0.8400,7.0000,0.0000,0.0000
0.02,0.0784,0.0000,0.0784,0.9800,7.0000,0.0000,0.0784,0.9800,7.0000,0.0000,0.0784,0.9800,7.0000,0.0000,0.0000
0.02,0.1008,0.0000,0.1008,1.1200,7.0000,0.0000,0.1008,1.1200,7.0000,0.0000,0.1008,1.1200,7.0000,0.0000,0.0000
0.02,0.1260,0.0000,0.1260,1.2600,7.0000,0.0000,0.1260,1.2600,7.0000,0.0000,0.1260,1.2600,7.0000,0.0000,0.0000
0.02,0.1540,0.0000,0.1540,1.4000,7.0000,0.0000,0.1540,1.4000,7.0000,0.0000,0.1540,1.4000,7.0000,0.0000,0.0000
0.02,0.1848,0.0000,0.1848,1.5400,7.0000,0.0000,0.1848,1.5400,7.0000,0.0000,0.1848,1.5400,7.0000,0.0000,0.0000
0.02,0.2184,0.0000,0.2184,1.6800,7.0000,0.0000,0.2184,1.6800,7.0000,0.0000,0.2184,1.6800,7.0000,0.0000,0.0000
0.02,0.2548,0.0000,0.2548,1.8200,7.0000,0.0000,0.2548,1.8200,7.0000,0.0000,0.2548,1.8200,7.0000,0.0000,0.0000
0.02,0.2940,0.0000,0.2940,1.9600,7.0000,0.0000,0.2940,1.9600,7.0000,0.0000,0.2940,1.9600,7.0000,0.0000,0.0000
0.02,0.3360,0.0000,0.3360,2.1000,7.0000,0.0000,0.3360,2.1000,7.0000,0.0000,0.3360,2.1000,7.0000,0.0000,0.0000
0.02,0.3808,0.0000,0.3808,2.2400,7.0000,0.0000,0.3808,2.2400,7.0000,0.0000,0.3808,2.2400,7.0000,0.0000,0.0000
0.02,0.4284,0.0000,0.4284,2.3800,7.0000,0.0000,0.4284,2.3800,7.0000,0.0000,0.4284,2.3800,7.0000,0.0000,0.0000
0.02,0.4788,0.0000,0.4788,2.5200,7.0000,0.0000,0.4788,2.5200,7.0000,0.0000,0.4788,2.5200,7.0000,0.0000,0.0000
0.02,0.5320,0.0000,0.5320,2.6600,7.0000,0.0000,0.5320,2.6600,7.0000,0.0000,0.5320,2.6600,7.0000,0.0000,0.0000
0.02,0.5880,0.0000,0.5880,2.8000,7.0000,0.0000,0.5880,2.8000,7.0000,0.0000,0.5880,2.8000,7.0000,0.0000,0.0000
0.02,0.6468,0.0000,0.6468,2.9400,7.0000,0.0000,0.6468,2.9400,7.0000,0.0000,0.6468,2.9400,7.0000,0.0000,0.0000
0.02,0.7084,0.0000,0.7084,3.0800,7.0000,0.0000,0.7084,3.0800,7.0000,0.0000,0.7084,3.0800,7.0000,0.0000,0.0000
0.02,0.7728,0.0000,0.7728,3.2200,7.0000,0.0000,0.7728,3.2200,7.0000,0.0000,0.7728,3.2200,7.0000,0.0000,0.0000
0.02,0.8400,0.0000,0.8400,3.3600,7.0000,0.0000,0.8400,3.3600,7.0000,0.0000,0.8400,3.3600,7.0000,0.0000,0.0000
0.02,0.9100,0.0000,0.9100,3.5000,7.0000,0.0000,0.9100,3.5000,7.0000,0.0000,0.9100,3.5000,7.0000,0.0000,0.0000
0.02,0.9828,0.0000,0.9828,3.6400,7.0000,0.0000,0.9828,3.6400,7.0000,0.0000,0.9828,3.6400,7.0000,0.0000,0.0000
0.02,1.0584,0.0000,1.0578,3.7519,5.5960,-70.1996,1.0584,3.7800,7.0000,0.0000,1.0590,3.8081,8.4040,70.1994,0.0005
0.02,1.1368,0.0001,1.1338,3.7959,2.1993,-169.8361,1.1368,3.9200,7.0000,0.0000,1.1398,4.0441,11.8006,169.8324,0.0027
0.02,1.2180,0.0005,1.2104,3.8297,1.6902,-25.4546,1.2180,4.0600,7.0000,0.0000,1.2256,4.2903,12.3096,25.4482,0.0068
0.02,1.3020,0.0013,1.2874,3.8544,1.2342,-22.8016,1.3020,4.2000,7.0000,0.0000,1.3166,4.5456,12.7655,22.7929,0.0129
0.02,1.3888,0.0028,1.3648,3.8682,0.6912,-27.1492,1.3888,4.3400,7.0000,0.0000,1.4128,4.8118,13.3082,27.1375,0.0213
0.02,1.4784,0.0052,1.4422,3.8691,0.0422,-32.4502,1.4784,4.4800,7.0000,0.0000,1.5146,5.0909,13.9569,32.4343,0.0322
0.02,1.5707,0.0087,1.5193,3.8544,-0.7348,-38.8511,1.5708,4.6200,7.0000,0.0000,1.6223,5.3856,14.7335,38.8294,0.0458
0.02,1.6657,0.0139,1.5957,3.8211,-1.6648,-46.4989,1.6660,4.7600,7.0000,0.0000,1.7363,5.6988,15.6629,46.4692,0.0625
0.02,1.7635,0.0210,1.6710,3.7656,-2.7750,-55.5070,1.7640,4.9000,7.0000,0.0000,1.8570,6.0343,16.7722,55.4661,0.0827
0.02,1.8638,0.0305,1.7447,3.6837,-4.0927,-65.8858,1.8648,5.0400,7.0000,0.0000,1.9849,6.3960,18.0888,65.8296,0.1068
0.02,1.9667,0.0429,1.8161,3.5709,-5.6410,-77.4142,1.9684,5.1800,7.0000,0.0000,2.1207,6.7888,19.6355,77.3368,0.1354
0.02,2.0718,0.0590,1.8845,3.4223,-7.4292,-89.4097,2.0748,5.3200,7.0000,0.0000,2.2650,7.2172,21.4216,89.3040,0.1691
0.02,2.1791,0.0795,1.9492,3.2336,-9.4362,-100.3506,2.1840,5.4600,7.0000,0.0000,2.4187,7.6857,23.4258,100.2085,0.2087
0.02,2.2881,0.1052,2.0093,3.0019,-11.5824,-107.3098,2.2960,5.6000,7.0000,0.0000,2.5827,8.1971,25.5682,107.1237,0.2549
0.02,2.3984,0.1370,2.0638,2.7282,-13.6874,-105.2533,2.4108,5.7400,7.0000,0.0000,2.7577,8.7504,27.6687,105.0207,0.3084
0.02,2.5093,0.1761,2.1122,2.4198,-15.4179,-86.5242,2.5284,5.8800,7.0000,0.0000,2.9445,9.3383,29.3938,86.2564,0.3699
0.02,2.6196,0.2232,2.1540,2.0886,-16.5632,-57.2639,2.6484,6.0000,7.0000,0.0000,3.1426,9.9090,28.5350,-42.9384,0.4394
0.02,2.7262,0.2783,2.1889,1.7442,-17.2183,-32.7541,2.7684,6.0000,7.0000,0.0000,3.3477,10.2529,17.1960,-566.9498,0.5151
0.02,2.8282,0.3415,2.2184,1.4761,-13.4050,190.6642,2.8884,6.0000,7.0000,0.0000,3.5581,10.5207,13.3863,-190.4844,0.5955
0.02,2.9246,0.4129,2.2448,1.3190,-7.8545,277.5245,3.0084,6.0000,7.0000,0.0000,3.7717,10.6775,7.8430,-277.1657,0.6787
0.02,3.0147,0.4920,2.2707,1.2962,-1.1419,335.6305,3.1284,6.0000,7.0000,0.0000,3.9857,10.7003,1.1402,-335.1415,0.7623
0.02,3.0980,0.5784,2.2989,1.4111,5.7450,344.3467,3.2484,6.0000,7.0000,0.0000,4.1974,10.5856,-5.7366,-343.8372,0.8439
0.02,3.1742,0.6711,2.3318,1.6461,11.7498,300.2377,3.3684,6.0000,7.0000,0.0000,4.4044,10.3509,-11.7331,-299.8284,0.9213
0.02,3.2432,0.7692,2.3712,1.9688,16.1359,219.3051,3.4884,6.0000,7.0000,0.0000,4.6050,10.0286,-16.1145,-219.0673,0.9930
0.02,3.3054,0.8718,2.4181,2.3423,18.6760,127.0052,3.6084,6.0000,7.0000,0.0000,4.7981,9.6556,-18.6533,-126.9410,1.0580
0.02,3.3611,0.9780,2.4727,2.7339,19.5777,45.0843,3.7284,6.0000,7.0000,0.0000,4.9834,9.2645,-19.5563,-45.1488,1.1160
0.02,3.4110,1.0872,2.5351,3.1193,19.2714,-15.3132,3.8484,6.0000,7.0000,0.0000,5.1610,8.8794,-19.2527,15.1777,1.1672
0.02,3.4556,1.1986,2.6048,3.4836,18.2146,-52.8402,3.9684,6.0000,7.0000,0.0000,5.3313,8.5154,-18.1991,52.6809,1.2120
0.02,3.4955,1.3117,2.6812,3.8192,16.7821,-71.6258,4.0884,6.0000,7.0000,0.0000,5.4949,8.1800,-16.7697,71.4720,1.2507
0.02,3.5313,1.4263,2.7637,4.1239,15.2353,-77.3415,4.2084,6.0000,7.0000,0.0000,5.6524,7.8755,-15.2255,77.2070,1.2841
0.02,3.5635,1.5419,2.8516,4.3986,13.7348,-75.0241,4.3284,6.0000,7.0000,0.0000,5.8044,7.6010,-13.7272,74.9133,1.3126
0.02,3.5927,1.6582,2.9446,4.6460,12.3676,-68.3596,4.4484,6.0000,7.0000,0.0000,5.9515,7.3537,-12.3618,68.2711,1.3366
0.02,3.6194,1.7752,3.0419,4.8694,11.1729,-59.7351,4.5684,6.0000,7.0000,0.0000,6.0941,7.1304,-11.1685,59.6657,1.3567
0.02,3.6439,1.8927,3.1434,5.0727,10.1619,-50.5509,4.6884,6.0000,7.0000,0.0000,6.2326,6.9272,-10.1586,50.4969,1.3732
0.02,3.6666,2.0105,3.2486,5.2593,9.3310,-41.5453,4.8084,6.0000,7.0000,0.0000,6.3674,6.7406,-9.3285,41.5030,1.3864
0.02,3.6880,2.1286,3.3572,5.4327,8.6701,-33.0451,4.9284,6.0000,7.0000,0.0000,6.4988,6.5673,-8.6683,33.0118,1.3965
0.02,3.7084,2.2469,3.4692,5.5960,8.1673,-25.1373,5.0484,6.0000,7.0000,0.0000,6.6269,6.4039,-8.1661,25.1103,1.4036
0.02,3.7280,2.3653,3.5842,5.7523,7.8118,-17.7749,5.1684,6.0000,7.0000,0.0000,6.7518,6.2477,-7.8110,17.7525,1.4080
0.02,3.7474,2.4837,3.7023,5.9042,7.5950,-10.8414,5.2884,6.0000,7.0000,0.0000,6.8737,6.0958,-7.5946,10.8218,1.4098
0.02,3.7666,2.6021,3.8234,6.0544,7.5113,-4.1850,5.4084,6.0000,7.0000,0.0000,6.9926,5.9456,-7.5112,4.1669,1.4088
0.02,3.7862,2.7205,3.9475,6.2056,7.5585,2.3611,5.5284,6.0000,7.0000,0.0000,7.1085,5.7944,-7.5588,-2.3791,1.4051
0.02,3.8063,2.8388,4.0747,6.3603,7.7379,8.9691,5.6484,6.0000,7.0000,0.0000,7.2213,5.6396,-7.7386,-8.9881,1.3987
0.02,3.8274,2.9570,4.2051,6.5214,8.0541,15.8078,5.7684,6.0000,7.0000,0.0000,7.3309,5.4785,-8.0552,-15.8293,1.3895
0.02,3.8497,3.0749,4.3390,6.6917,8.5147,23.0345,5.8884,6.0000,7.0000,0.0000,7.4371,5.3082,-8.5164,-23.0600,1.3772
0.02,3.8737,3.1925,4.4764,6.8743,9.1303,30.7778,6.0084,6.0000,7.0000,0.0000,7.5396,5.1256,-9.1326,-30.8092,1.3616
0.02,3.8997,3.3096,4.6179,7.0726,9.9125,39.1082,6.1284,6.0000,7.0000,0.0000,7.6381,4.9273,-9.9155,-39.1477,1.3425
0.02,3.9281,3.4262,4.7637,7.2900,10.8721,47.9837,6.2484,6.0000,7.0000,0.0000,7.7323,4.7097,-10.8762,-48.0341,1.3196
0.02,3.9595,3.5420,4.9143,7.5303,12.0153,57.1567,6.3684,6.0000,7.0000,0.0000,7.8217,4.4693,-12.0206,-57.2214,1.2924
0.02,3.9943,3.6568,5.0702,7.7970,13.3357,66.0233,6.4884,6.0000,7.0000,0.0000,7.9057,4.2025,-13.3428,-66.1063,1.2604
0.02,4.0330,3.7704,5.2321,8.0931,14.8037,73.3958,6.6084,6.0000,7.0000,0.0000,7.9839,3.9062,-14.8128,-73.5002,1.2232
0.02,4.0762,3.8824,5.4005,8.4201,16.3475,77.1945,6.7284,6.0000,7.0000,0.0000,8.0554,3.5790,-16.3592,-77.3225,1.1802
0.02,4.1246,3.9922,5.5760,8.7767,17.8299,74.1183,6.8484,6.0000,7.0000,0.0000,8.1199,3.2221,-17.8446,-74.2677,1.1308
0.02,4.1786,4.0993,5.7592,9.1570,19.0196,59.4842,6.9684,6.0000,7.0000,0.0000,8.1767,2.8414,-19.0374,-59.6442,1.0747
0.02,4.2390,4.2030,5.9501,9.5485,19.5729,27.6665,7.0884,6.0000,7.0000,0.0000,8.2257,2.4495,-19.5937,-27.8124,1.0116
0.02,4.3061,4.3024,6.1487,9.9295,19.0490,-26.1945,7.2084,6.0000,7.0000,0.0000,8.2671,2.0681,-19.0716,26.1048,0.9417
0.02,4.3803,4.3967,6.3541,10.2694,16.9948,-102.7101,7.3284,6.0000,7.0000,0.0000,8.3016,1.7277,-17.0169,102.7332,0.8657
0.02,4.4616,4.4849,6.5648,10.5318,13.1196,-193.7598,7.4484,6.0000,7.0000,0.0000,8.3309,1.4650,-13.1380,193.9474,0.7851
0.02,4.5499,4.5661,6.7784,10.6821,7.5149,-280.2378,7.5684,6.0000,7.0000,0.0000,8.3572,1.3145,-7.5259,280.6040,0.7018
0.02,4.6447,4.6396,6.9924,10.6977,0.7827,-336.6106,7.6884,6.0000,7.0000,0.0000,8.3832,1.2988,-0.7838,337.1034,0.6182
0.02,4.7452,4.7051,7.2039,10.5762,-6.0770,-342.9817,7.8084,6.0000,7.0000,0.0000,8.4116,1.4205,6.0859,343.4891,0.5368
0.02,4.8506,4.7624,7.4106,10.3358,-12.0184,-297.0724,7.9284,6.0000,7.0000,0.0000,8.4448,1.6612,12.0354,297.4750,0.4597
0.02,4.9600,4.8117,7.6108,10.0092,-16.3324,-215.7008,8.0484,6.0000,7.0000,0.0000,8.4846,1.9883,16.3541,215.9307,0.3884
0.02,5.0725,4.8535,7.8034,9.6328,-18.8197,-124.3631,8.1684,6.0000,7.0000,0.0000,8.5319,2.3651,18.8425,124.4211,0.3238
0.02,5.1873,4.8883,7.9882,9.2387,-19.7053,-44.2781,8.2884,6.0000,7.0000,0.0000,8.5871,2.7597,19.7267,44.2105,0.2662
0.02,5.3039,4.9168,8.1652,8.8502,-19.4250,14.0131,8.4084,6.0000,7.0000,0.0000,8.6501,3.1485,19.4437,-14.1492,0.2155
0.02,5.4216,4.9398,8.3348,8.4815,-18.4344,49.5278,8.5284,6.0000,7.0000,0.0000,8.7204,3.5175,18.4500,-49.6864,0.1714
0.02,5.5402,4.9580,8.4976,8.1394,-17.1048,66.4824,8.6484,6.0000,7.0000,0.0000,8.7976,3.8599,17.1173,-66.6346,0.1333
0.02,5.6594,4.9720,8.6541,7.8255,-15.6957,70.4525,8.7684,6.0000,7.0000,0.0000,8.8811,4.1740,15.7056,-70.5855,0.1009
0.02,5.7790,4.9824,8.8049,7.5381,-14.3698,66.2957,8.8884,6.0000,7.0000,0.0000,8.9703,4.4616,14.3775,-66.4056,0.0735
0.02,5.8987,4.9898,8.9504,7.2737,-13.2201,57.4839,9.0084,6.0000,7.0000,0.0000,9.0648,4.7261,13.2260,-57.5721,0.0509
0.02,6.0186,4.9947,9.0909,7.0277,-12.2969,46.1641,9.1284,6.0000,7.0000,0.0000,9.1643,4.9721,12.3013,-46.2343,0.0326
0.02,6.1386,4.9978,9.2268,6.7952,-11.6278,33.4514,9.2484,6.0000,7.0000,0.0000,9.2684,5.2047,11.6312,-33.5075,0.0185
0.02,6.2586,4.9993,9.3582,6.5705,-11.2335,19.7143,9.3684,6.0000,7.0000,0.0000,9.3770,5.4294,11.2360,-19.7606,0.0083
0.02,6.3786,4.9999,9.4852,6.3477,-11.1382,4.7688,9.4884,6.0000,7.0000,0.0000,9.4900,5.6522,11.1398,-4.8092,0.0021
0.02,6.4986,5.0000,9.6076,6.1202,-11.3789,-12.0377,9.6084,6.0000,7.0000,0.0000,9.6076,5.8798,11.3798,11.9990,0.0000
0.02,6.6186,5.0000,9.7276,6.0000,-6.0073,268.5801,9.7284,6.0000,7.0000,0.0000,9.7276,6.0000,6.0074,-268.6161,0.0000
0.02,6.7414,5.0000,9.8504,6.1400,6.9991,650.3232,9.8512,6.1400,7.0000,0.0000,9.8504,6.1400,7.0009,49.6707,0.0000
0.02,6.8670,5.0000,9.9760,6.2800,7.0000,0.0429,9.9768,6.2800,7.0000,0.0000,9.9760,6.2800,7.0000,-0.0429,0.0000
0.02,6.9954,5.0000,10.1044,6.4200,7.0000,0.0000,10.1052,6.4200,7.0000,0.0000,10.1044,6.4200,7.0000,0.0000,0.0000
0.02,7.1266,5.0000,10.2356,6.5600,7.0000,0.0000,10.2364,6.5600,7.0000,0.0000,10.2356,6.5600,7.0000,0.0000,0.0000
0.02,7.2606,5.0000,10.3696,6.7000,7.0000,0.0000,10.3704,6.7000,7.0000,0.0000,10.3696,6.7000,7.0000,0.0000,0.0000
0.02,7.3974,5.0000,10.5064,6.8400,7.0000,0.0000,10.5072,6.8400,7.0000,0.0000,10.5064,6.8400,7.0000,0.0000,0.0000
0.02,7.5370,5.0000,10.6460,6.9800,7.0000,0.0000,10.6468,6.9800,7.0000,0.0000,10.6460,6.9800,7.0000,0.0000,0.0000
0.02,7.6794,5.0000,10.7884,7.1200,7.0000,0.0000,10.7892,7.1200,7.0000,0.0000,10.7884,7.1200,7.0000,0.0000,0.0000
0.02,7.8246,5.0000,10.9336,7.2600,7.0000,0.0000,10.9344,7.2600,7.0000,0.0000,10.9336,7.2600,7.0000,0.0000,0.0000
0.02,7.9726,5.0000,11.0816,7.4000,7.0000,0.0000,11.0824,7.4000,7.0000,0.0000,11.0816,7.4000,7.0000,0.0000,0.0000
0.02,8.1234,5.0000,11.2324,7.5400,7.0000,0.0000,11.2332,7.5400,7.0000,0.0000,11.2324,7.5400,7.0000,0.0000,0.0000
0.02,8.2770,5.0000,11.3860,7.6800,7.0000,0.0000,11.3868,7.6800,7.0000,0.0000,11.3860,7.6800,7.0000,0.0000,0.0000
0.02,8.4334,5.0000,11.5424,7.8200,7.0000,0.0000,11.5432,7.8200,7.0000,0.0000,11.5424,7.8200,7.0000,0.0000,0.0000
0.02,8.5926,5.0000,11.7016,7.9600,7.0000,0.0000,11.7024,7.9600,7.0000,0.0000,11.7016,7.9600,7.0000,0.0000,0.0000
0.02,8.7546,5.0000,11.8636,8.1000,7.0000,0.0000,11.8644,8.1000,7.0000,0.0000,11.8636,8.1000,7.0000,0.0000,0.0000
0.02,8.9194,5.0000,12.0284,8.2400,7.0000,0.0000,12.0292,8.2400,7.0000,0.0000,12.0284,8.2400,7.0000,0.0000,0.0000
0.02,9.0870,5.0000,12.1960,8.3800,7.0000,0.0000,12.1968,8.3800,7.0000,0.0000,12.1960,8.3800,7.0000,0.0000,0.0000
0.02,9.2574,5.0000,12.3664,8.5200,7.0000,0.0000,12.3672,8.5200,7.0000,0.0000,12.3664,8.5200,7.0000,0.0000,0.0000
0.02,9.4306,5.0000,12.5396,8.6600,7.0000,0.0000,12.5404,8.6600,7.0000,0.0000,12.5396,8.6600,7.0000,0.0000,0.0000
0.02,9.6066,5.0000,12.7156,8.8000,7.0000,0.0000,12.7164,8.8000,7.0000,0.0000,12.7156,8.8000,7.0000,0.0000,0.0000
0.02,9.7854,5.0000,12.8944,8.9400,7.0000,0.0000,12.8952,8.9400,7.0000,0.0000,12.8944,8.9400,7.0000,0.0000,0.0000
0.02,9.9670,5.0000,13.0760,9.0800,7.0000,0.0000,13.0768,9.0800,7.0000,0.0000,13.0760,9.0800,7.0000,0.0000,0.0000
0.02,10.1514,5.0000,13.2604,9.2200,7.0000,0.0000,13.2612,9.2200,7.0000,0.0000,13.2604,9.2200,7.0000,0.0000,0.0000
0.02,10.3386,5.0000,13.4476,9.3600,7.0000,0.0000,13.4484,9.3600,7.0000,0.0000,13.4476,9.3600,7.0000,0.0000,0.0000
0.02,10.5286,5.0000,13.6376,9.5000,7.0000,0.0000,13.6384,9.5000,7.0000,0.0000,13.6376,9.5000,7.0000,0.0000,0.0000
0.02,10.7214,5.0000,13.8304,9.6400,7.0000,0.0000,13.8312,9.6400,7.0000,0.0000,13.8304,9.6400,7.0000,0.0000,0.0000
0.02,10.9170,5.0000,14.0260,9.7800,7.0000,0.0000,14.0268,9.7800,7.0000,0.0000,14.0260,9.7800,7.0000,0.0000,0.0000
0.02,11.1098,5.0000,14.2188,9.6400,-7.0000,-700.0000,14.2196,9.6400,-7.0000,0.0000,14.2188,9.6400,-7.0000,-700.0000,0.0000
0.02,11.2998,5.0000,14.4088,9.5000,-7.0000,0.0000,14.4096,9.5000,-7.0000,0.0000,14.4088,9.5000,-7.0000,0.0000,0.0000
0.02,11.4870,5.0000,14.5960,9.3600,-7.0000,0.0000,14.5968,9.3600,-7.0000,0.0000,14.5960,9.3600,-7.0000,0.0000,0.0000
0.02,11.6714,5.0000,14.7804,9.2200,-7.0000,0.0000,14.7812,9.2200,-7.0000,0.0000,14.7804,9.2200,-7.0000,0.0000,0.0000
0.02,11.8530,5.0000,14.9620,9.0800,-7.0000,0.0000,14.9628,9.0800,-7.0000,0.0000,14.9620,9.0800,-7.0000,0.0000,0.0000
0.02,12.0318,5.0000,15.1408,8.9400,-7.0000,0.0000,15.1416,8.9400,-7.0000,0.0000,15.1408,8.9400,-7.0000,0.0000,0.0000
0.02,12.2078,5.0000,15.3168,8.8000,-7.0000,0.0000,15.3176,8.8000,-7.0000,0.0000,15.3168,8.8000,-7.0000,0.0000,0.0000
0.02,12.3810,5.0000,15.4900,8.6600,-7.0000,0.0000,15.4908,8.6600,-7.0000,0.0000,15.4900,8.6600,-7.0000,0.0000,0.0000
0.02,12.5514,5.0000,15.6604,8.5200,-7.0000,0.0000,15.6612,8.5200,-7.0000,0.0000,15.6604,8.5200,-7.0000,0.0000,0.0000
