dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0.0030,-1.1250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,0.0120,-1.1250,0.0120,0.4500,7.5000,-375.0000,0.0000
0.02,0.0270,-1.1250,0.0270,0.7500,15.0000,375.0000,0.0000
0.02,0.0480,-1.1250,0.0480,1.0500,15.0000,0.0000,0.0000
0.02,0.0750,-1.1250,0.0750,1.3500,15.0000,0.0000,0.0000
0.02,0.1080,-1.1250,0.1080,1.6500,15.0000,0.0000,0.0000
0.02,0.1470,-1.1250,0.1470,1.9500,15.0000,0.0000,0.0000
0.02,0.1920,-1.1250,0.1920,2.2500,15.0000,0.0000,0.0000
0.02,0.2430,-1.1250,0.2430,2.5500,15.0000,0.0000,0.0000
0.02,0.3000,-1.1250,0.3000,2.8500,15.0000,0.0000,0.0000
0.02,0.3630,-1.1250,0.3630,3.1500,15.0000,0.0000,0.0000
0.02,0.4320,-1.1250,0.4320,3.4500,15.0000,0.0000,0.0000
0.02,0.5070,-1.1250,0.5070,3.7500,15.0000,0.0000,0.0000
0.02,0.5880,-1.1250,0.5880,4.0500,15.0000,0.0000,0.0000
0.02,0.6750,-1.1250,0.6750,4.3500,15.0000,0.0000,0.0000
0.02,0.7680,-1.1250,0.7680,4.6500,15.0000,0.0000,0.0000
0.02,0.8670,-1.1250,0.8670,4.9500,15.0000,0.0000,0.0000
0.02,0.9720,-1.1250,0.9720,5.2500,15.0000,0.0000,0.0000
0.02,1.0838,-1.1250,1.0838,5.5914,17.0686,103.4300,0.0007
0.02,1.2047,-1.1247,1.2047,6.0453,22.6975,281.4461,0.0042
0.02,1.3320,-1.1238,1.3320,6.3631,15.8897,-340.3896,0.0107
0.02,1.4625,-1.1218,1.4626,6.5282,8.2529,-381.8429,0.0201
0.02,1.5965,-1.1183,1.5965,6.6979,8.4864,11.6771,0.0325
0.02,1.7339,-1.1128,1.7341,6.8766,8.9372,22.5403,0.0480
0.02,1.8750,-1.1047,1.8754,7.0688,9.6085,33.5633,0.0671
0.02,2.0202,-1.0934,2.0210,7.2790,10.5106,45.1076,0.0898
0.02,2.1696,-1.0779,2.1713,7.5122,11.6575,57.3427,0.1167
0.02,2.3237,-1.0574,2.3267,7.7734,13.0602,70.1362,0.1482
0.02,2.4828,-1.0307,2.4881,8.0677,14.7169,82.8351,0.1850
0.02,2.6473,-0.9964,2.6561,8.3996,16.5949,93.8975,0.2277
0.02,2.8172,-0.9527,2.8315,8.7717,18.6018,100.3486,0.2769
0.02,2.9924,-0.8975,3.0151,9.1825,20.5445,97.1314,0.3335
0.02,3.1721,-0.8288,3.2076,9.6241,22.0787,76.7119,0.3980
0.02,3.3550,-0.7440,3.4092,10.0776,22.6752,29.8248,0.4705
0.02,3.5385,-0.6414,3.6194,10.5107,21.6522,-51.1509,0.5508
0.02,3.7188,-0.5196,3.8370,10.8776,18.3491,-165.1524,0.6375
0.02,3.8914,-0.3792,4.0595,11.1270,12.4679,-294.0614,0.7288
0.02,4.0516,-0.2222,4.2838,11.2159,4.4430,-401.2460,0.8216
0.02,4.1956,-0.0525,4.5063,11.1263,-4.4763,-445.9647,0.9128
0.02,4.3209,0.1252,4.7238,10.8733,-12.6513,-408.7496,0.9995
0.02,4.4272,0.3062,4.9338,10.4980,-18.7652,-305.6940,1.0795
0.02,4.5156,0.4868,5.1348,10.0521,-22.2976,-176.6226,1.1515
0.02,4.5879,0.6643,5.3264,9.5822,-23.4905,-59.6452,1.2153
0.02,4.6466,0.8371,5.5089,9.1224,-22.9900,25.0249,1.2708
0.02,4.6939,1.0044,5.6827,8.6926,-21.4908,74.9598,1.3187
0.02,4.7319,1.1660,5.8488,8.3018,-19.5439,97.3489,1.3596
0.02,4.7625,1.3221,6.0078,7.9515,-17.5122,101.5831,1.3943
0.02,4.7871,1.4729,6.1606,7.6395,-15.6021,95.5056,1.4235
0.02,4.8069,1.6187,6.3078,7.3612,-13.9128,84.4661,1.4477
0.02,4.8229,1.7601,6.4501,7.1116,-12.4796,71.6607,1.4674
0.02,4.8360,1.8971,6.5878,6.8855,-11.3038,58.7873,1.4832
0.02,4.8469,2.0303,6.7213,6.6781,-10.3715,46.6166,1.4952
