dt,x,y,position,velocity,acceleration,jerk,heading
0.02,2.5030,0.0000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,2.5120,0.0000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,2.5270,0.0000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,2.5480,0.0000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,2.5750,0.0000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,2.6080,0.0000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,2.6470,0.0000,0.1470,2.1000,15.0000,0.0000,0.0000
0.02,2.6920,0.0000,0.1920,2.4000,15.0000,0.0000,0.0000
0.02,2.7430,0.0000,0.2430,2.7000,15.0000,0.0000,0.0000
0.02,2.8000,0.0000,0.3000,3.0000,15.0000,0.0000,0.0000
0.02,2.8630,0.0000,0.3630,3.3000,15.0000,0.0000,0.0000
0.02,2.9320,0.0000,0.4320,3.6000,15.0000,0.0000,0.0000
0.02,3.0070,0.0000,0.5070,3.9000,15.0000,0.0000,0.0000
0.02,3.0880,0.0000,0.5880,4.2000,15.0000,0.0000,0.0000
0.02,3.1750,0.0000,0.6750,4.5000,15.0000,0.0000,0.0000
0.02,3.2680,0.0000,0.7680,4.8000,15.0000,0.0000,0.0000
0.02,3.3670,0.0000,0.8670,5.1000,15.0000,0.0000,0.0000
0.02,3.4720,0.0000,0.9720,5.4000,15.0000,0.0000,0.0000
0.02,3.5830,0.0000,1.0830,5.7000,15.0000,0.0000,0.0000
0.02,3.7000,0.0000,1.2000,6.0000,15.0000,0.0000,0.0000
0.02,3.8230,0.0000,1.3230,6.3000,15.0000,0.0000,0.0000
0.02,3.9520,0.0000,1.4520,6.6000,15.0000,0.0000,0.0000
0.02,4.0870,0.0000,1.5870,6.9000,15.0000,0.0000,0.0000
0.02,4.2280,0.0000,1.7280,7.2000,15.0000,0.0000,0.0000
0.02,4.3750,0.0000,1.8750,7.5000,15.0000,0.0000,0.0000
0.02,4.5280,0.0000,2.0280,7.8000,15.0000,0.0000,0.0000
0.02,4.6870,0.0000,2.1870,8.1000,15.0000,0.0000,0.0000
0.02,4.8520,0.0000,2.3520,8.4000,15.0000,0.0000,0.0000
0.02,5.0230,0.0000,2.5230,8.7000,15.0000,0.0000,0.0000
0.02,5.2000,0.0000,2.7000,9.0000,15.0000,0.0000,0.0000
0.02,5.3830,0.0000,2.8830,9.3000,15.0000,0.0000,0.0000
0.02,5.5720,0.0000,3.0720,9.6000,15.0000,0.0000,0.0000
0.02,5.7670,0.0000,3.2670,9.9000,15.0000,0.0000,0.0000
0.02,5.9660,0.0000,3.4660,10.0000,15.0000,0.0000,0.0000
0.02,6.1660,0.0000,3.6660,10.0000,15.0000,0.0000,0.0000
0.02,6.3660,0.0000,3.8660,10.0000,15.0000,0.0000,0.0000
0.02,6.5660,0.0000,4.0660,10.0000,15.0000,0.0000,0.0000
0.02,6.7660,0.0000,4.2660,10.0000,15.0000,0.0000,0.0000
0.02,6.9660,0.0000,4.4660,10.0000,15.0000,0.0000,0.0000
0.02,7.1660,0.0000,4.6660,10.0000,15.0000,0.0000,0.0000
0.02,7.3660,0.0000,4.8660,10.0000,15.0000,0.0000,0.0000
0.02,7.5660,0.0000,5.0660,10.0000,15.0000,0.0000,0.0000
0.02,7.7660,0.0000,5.2660,10.0000,15.0000,0.0000,0.0000
0.02,7.9660,0.0000,5.4660,10.0000,15.0000,0.0000,0.0000
0.02,8.1660,0.0000,5.6660,10.0000,15.0000,0.0000,0.0000
0.02,8.3660,0.0000,5.8660,10.0000,15.0000,0.0000,0.0000
0.02,8.5660,0.0000,6.0660,10.0000,15.0000,0.0000,0.0000
0.02,8.7660,0.0000,6.2660,10.0000,15.0000,0.0000,0.0000
0.02,8.9660,0.0000,6.4660,10.0000,15.0000,0.0000,0.0000
0.02,9.1660,0.0000,6.6660,10.0000,15.0000,0.0000,0.0000
0.02,9.3660,0.0000,6.8660,10.0000,15.0000,0.0000,0.0000
0.02,9.5632,0.0000,7.0632,9.7153,-14.2369,0.0000,0.0000
0.02,9.7546,0.0000,7.2546,9.4305,-14.2369,0.0000,0.0000
0.02,9.9404,0.0000,7.4404,9.1458,-14.2369,0.0000,0.0000
0.02,10.1204,0.0000,7.6204,8.8610,-14.2369,0.0000,0.0000
0.02,10.2948,0.0000,7.7948,8.5763,-14.2369,0.0000,0.0000
0.02,10.4635,0.0000,7.9635,8.2916,-14.2369,0.0000,0.0000
0.02,10.6265,0.0000,8.1265,8.0068,-14.2369,0.0000,0.0000
0.02,10.7838,0.0000,8.2838,7.7221,-14.2369,0.0000,0.0000
0.02,10.9354,0.0000,8.4354,7.4374,-14.2369,0.0000,0.0000
0.02,11.0813,0.0000,8.5813,7.1526,-14.2369,0.0000,0.0000
0.02,11.2215,0.0000,8.7215,6.8679,-14.2369,0.0000,0.0000
0.02,11.3560,0.0000,8.8560,6.5831,-14.2369,0.0000,0.0000
0.02,11.4848,0.0000,8.9848,6.2984,-14.2369,0.0000,0.0000
0.02,11.6079,0.0000,9.1079,6.0137,-14.2369,0.0000,0.0000
0.02,11.7253,0.0000,9.2253,5.7289,-14.2369,0.0000,0.0000
0.02,11.8371,0.0000,9.3371,5.4442,-14.2369,0.0000,0.0000
0.02,11.9431,0.0000,9.4431,5.1595,-14.2369,0.0000,0.0000
0.02,12.0493,0.0000,9.5493,5.4595,15.0000,0.0000,-0.0009
0.02,12.1539,-0.0005,9.6539,5.0000,15.0000,0.0000,-0.0089
0.02,12.2539,-0.0020,9.7539,5.0000,15.0000,0.0000,-0.0237
0.02,12.3538,-0.0054,9.8539,5.0000,15.0000,0.0000,-0.0451
0.02,12.4536,-0.0113,9.9539,5.0000,15.0000,0.0000,-0.0728
0.02,12.5532,-0.0202,10.0539,5.0000,15.0000,0.0000,-0.1063
0.02,12.6524,-0.0327,10.1539,5.0000,15.0000,0.0000,-0.1455
0.02,12.7510,-0.0493,10.2539,5.0000,15.0000,0.0000,-0.1898
0.02,12.8488,-0.0705,10.3539,5.0000,15.0000,0.0000,-0.2387
0.02,12.9453,-0.0967,10.4539,5.0000,15.0000,0.0000,-0.2917
0.02,13.0402,-0.1281,10.5539,5.0000,15.0000,0.0000,-0.3480
0.02,13.1331,-0.1650,10.6539,5.0000,15.0000,0.0000,-0.4068
0.02,13.2237,-0.2073,10.7539,5.0000,15.0000,0.0000,-0.4670
0.02,13.3116,-0.2550,10.8539,5.0000,15.0000,0.0000,-0.5279
0.02,13.3964,-0.3079,10.9539,5.0000,15.0000,0.0000,-0.5885
0.02,13.4779,-0.3659,11.0539,5.0000,15.0000,0.0000,-0.6480
0.02,13.5558,-0.4286,11.1539,5.0000,15.0000,0.0000,-0.7060
0.02,13.6300,-0.4955,11.2539,5.0000,15.0000,0.0000,-0.7618
0.02,13.7005,-0.5665,11.3539,5.0000,15.0000,0.0000,-0.8152
0.02,13.7672,-0.6410,11.4539,5.0000,15.0000,0.0000,-0.8661
0.02,13.8301,-0.7187,11.5539,5.0000,15.0000,0.0000,-0.9144
0.02,13.8893,-0.7993,11.6539,5.0000,15.0000,0.0000,-0.9601
0.02,13.9448,-0.8825,11.7539,5.0000,15.0000,0.0000,-1.0034
0.02,13.9968,-0.9679,11.8539,5.0000,15.0000,0.0000,-1.0443
0.02,14.0453,-1.0553,11.9539,5.0000,15.0000,0.0000,-1.0832
0.02,14.0905,-1.1445,12.0539,5.0000,15.0000,0.0000,-1.1201
0.02,14.1325,-1.2353,12.1539,5.0000,15.0000,0.0000,-1.1553
0.02,14.1713,-1.3274,12.2539,5.0000,15.0000,0.0000,-1.1889
0.02,14.2070,-1.4208,12.3539,5.0000,15.0000,0.0000,-1.2212
0.02,14.2398,-1.5153,12.4539,5.0000,15.0000,0.0000,-1.2522
0.02,14.2697,-1.6107,12.5539,5.0000,15.0000,0.0000,-1.2822
0.02,14.2968,-1.7070,12.6539,5.0000,15.0000,0.0000,-1.3113
0.02,14.3211,-1.8040,12.7539,5.0000,15.0000,0.0000,-1.3397
0.02,14.3426,-1.9016,12.8539,5.0000,15.0000,0.0000,-1.3675
0.02,14.3615,-1.9998,12.9539,5.0000,15.0000,0.0000,-1.3948
0.02,14.3776,-2.0985,13.0539,5.0000,15.0000,0.0000,-1.4218
0.02,14.3911,-2.1976,13.1539,5.0000,15.0000,0.0000,-1.4486
0.02,14.4020,-2.2970,13.2539,5.0000,15.0000,0.0000,-1.4754
0.02,14.4102,-2.3966,13.3539,5.0000,15.0000,0.0000,-1.5022
0.02,14.4157,-2.4965,13.4539,5.0000,15.0000,0.0000,-1.5292
0.02,14.4185,-2.5964,13.5539,5.0000,15.0000,0.0000,-1.5565
0.02,14.4185,-2.6964,13.6539,5.0000,15.0000,0.0000,-1.5844
0.02,14.4158,-2.7964,13.7539,5.0000,15.0000,0.0000,-1.6128
0.02,14.4101,-2.8962,13.8539,5.0000,15.0000,0.0000,-1.6421
0.02,14.4015,-2.9959,13.9539,5.0000,15.0000,0.0000,-1.6723
0.02,14.3898,-3.0952,14.0539,5.0000,15.0000,0.0000,-1.7037
