dt,x,y,position,velocity,acceleration,jerk,heading
0.02,2.5030,-1.1250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,2.5120,-1.1250,0.0120,0.4500,7.5000,-375.0000,0.0000
0.02,2.5270,-1.1250,0.0270,0.7500,15.0000,375.0000,0.0000
0.02,2.5480,-1.1250,0.0480,1.0500,15.0000,0.0000,0.0000
0.02,2.5750,-1.1250,0.0750,1.3500,15.0000,0.0000,0.0000
0.02,2.6080,-1.1250,0.1080,1.6500,15.0000,0.0000,0.0000
0.02,2.6470,-1.1250,0.1470,1.9500,15.0000,0.0000,0.0000
0.02,2.6920,-1.1250,0.1920,2.2500,15.0000,0.0000,0.0000
0.02,2.7430,-1.1250,0.2430,2.5500,15.0000,0.0000,0.0000
0.02,2.8000,-1.1250,0.3000,2.8500,15.0000,0.0000,0.0000
0.02,2.8630,-1.1250,0.3630,3.1500,15.0000,0.0000,0.0000
0.02,2.9320,-1.1250,0.4320,3.4500,15.0000,0.0000,0.0000
0.02,3.0070,-1.1250,0.5070,3.7500,15.0000,0.0000,0.0000
0.02,3.0880,-1.1250,0.5880,4.0500,15.0000,0.0000,0.0000
0.02,3.1750,-1.1250,0.6750,4.3500,15.0000,0.0000,0.0000
0.02,3.2680,-1.1250,0.7680,4.6500,15.0000,0.0000,0.0000
0.02,3.3670,-1.1250,0.8670,4.9500,15.0000,0.0000,0.0000
0.02,3.4720,-1.1250,0.9720,5.2500,15.0000,0.0000,0.0000
0.02,3.5830,-1.1250,1.0830,5.5500,15.0000,-0.0001,0.0000
0.02,3.7000,-1.1250,1.2000,5.8500,15.0000,0.0001,0.0000
0.02,3.8230,-1.1250,1.3230,6.1500,15.0000,0.0000,0.0000
0.02,3.9520,-1.1250,1.4520,6.4500,15.0000,0.0000,0.0000
0.02,4.0870,-1.1250,1.5870,6.7500,15.0000,0.0000,0.0000
0.02,4.2280,-1.1250,1.7280,7.0500,15.0000,0.0000,0.0000
0.02,4.3750,-1.1250,1.8750,7.3500,15.0000,0.0000,0.0000
0.02,4.5280,-1.1250,2.0280,7.6500,15.0000,0.0001,0.0000
0.02,4.6870,-1.1250,2.1870,7.9500,15.0000,0.0000,0.0000
0.02,4.8520,-1.1250,2.3520,8.2500,15.0000,0.0000,0.0000
0.02,5.0230,-1.1250,2.5230,8.5500,15.0000,0.0000,0.0000
0.02,5.2000,-1.1250,2.7000,8.8500,15.0000,0.0000,0.0000
0.02,5.3830,-1.1250,2.8830,9.1500,15.0000,0.0000,0.0000
0.02,5.5720,-1.1250,3.0720,9.4500,15.0000,-0.0001,0.0000
0.02,5.7670,-1.1250,3.2670,9.7500,15.0000,0.0001,0.0000
0.02,5.9660,-1.1250,3.4660,9.9500,10.0000,-250.0000,0.0000
0.02,6.1660,-1.1250,3.6660,10.0000,2.5000,-375.0001,0.0000
0.02,6.3660,-1.1250,3.8660,10.0000,0.0000,-124.9999,0.0000
0.02,6.5660,-1.1250,4.0660,10.0000,0.0000,-0.0001,0.0000
0.02,6.7660,-1.1250,4.2660,10.0000,0.0000,0.0001,0.0000
0.02,6.9660,-1.1250,4.4660,10.0000,0.0000,0.0000,0.0000
0.02,7.1660,-1.1250,4.6660,10.0000,0.0000,0.0000,0.0000
0.02,7.3660,-1.1250,4.8660,10.0000,0.0000,0.0000,0.0000
0.02,7.5660,-1.1250,5.0660,10.0000,0.0000,0.0000,0.0000
0.02,7.7660,-1.1250,5.2660,10.0000,0.0000,0.0000,0.0000
0.02,7.9660,-1.1250,5.4660,10.0000,0.0000,0.0000,0.0000
0.02,8.1660,-1.1250,5.6660,10.0000,0.0000,0.0000,0.0000
0.02,8.3660,-1.1250,5.8660,10.0000,0.0000,0.0000,0.0000
0.02,8.5660,-1.1250,6.0660,10.0000,0.0000,0.0000,0.0000
0.02,8.7660,-1.1250,6.2660,10.0000,0.0000,-0.0001,0.0000
0.02,8.9660,-1.1250,6.4660,10.0000,0.0000,0.0001,0.0000
0.02,9.1660,-1.1250,6.6660,10.0000,0.0000,-0.0001,0.0000
0.02,9.3660,-1.1250,6.8660,10.0000,0.0000,0.0001,0.0000
0.02,9.5632,-1.1250,7.0632,9.8576,-7.1185,-355.9226,0.0000
0.02,9.7546,-1.1250,7.2546,9.5729,-14.2369,-355.9225,0.0000
0.02,9.9404,-1.1250,7.4404,9.2882,-14.2369,-0.0001,0.0000
0.02,10.1204,-1.1250,7.6204,9.0034,-14.2369,0.0001,0.0000
0.02,10.2948,-1.1250,7.7948,8.7187,-14.2369,-0.0001,0.0000
0.02,10.4635,-1.1250,7.9635,8.4339,-14.2369,0.0001,0.0000
0.02,10.6265,-1.1250,8.1265,8.1492,-14.2369,-0.0001,0.0000
0.02,10.7838,-1.1250,8.2838,7.8645,-14.2369,0.0001,0.0000
0.02,10.9354,-1.1250,8.4354,7.5797,-14.2369,0.0000,0.0000
0.02,11.0813,-1.1250,8.5813,7.2950,-14.2369,0.0000,0.0000
0.02,11.2215,-1.1250,8.7215,7.0103,-14.2369,0.0000,0.0000
0.02,11.3560,-1.1250,8.8560,6.7255,-14.2369,0.0000,0.0000
0.02,11.4848,-1.1250,8.9848,6.4408,-14.2369,0.0000,0.0000
0.02,11.6079,-1.1250,9.1079,6.1560,-14.2369,0.0000,0.0000
0.02,11.7253,-1.1250,9.2253,5.8713,-14.2369,0.0000,0.0000
0.02,11.8371,-1.1250,9.3371,5.5866,-14.2369,0.0000,0.0000
0.02,11.9431,-1.1250,9.4431,5.3018,-14.2369,0.0000,0.0000
0.02,12.0482,-1.1250,9.5482,5.2566,-2.2632,598.6828,-0.0009
0.02,12.1439,-1.1254,9.6439,4.7807,-23.7924,-1076.4566,-0.0089
0.02,12.2272,-1.1267,9.7272,4.1671,-30.6780,-344.2835,-0.0237
0.02,12.3031,-1.1293,9.8031,3.7963,-18.5444,606.6825,-0.0451
0.02,12.3718,-1.1333,9.8720,3.4449,-17.5673,48.8543,-0.0728
0.02,12.4338,-1.1388,9.9343,3.1119,-16.6527,45.7310,-0.1063
0.02,12.4894,-1.1458,9.9902,2.7983,-15.6789,48.6883,-0.1455
0.02,12.5388,-1.1541,10.0404,2.5077,-14.5304,57.4242,-0.1898
0.02,12.5827,-1.1636,10.0853,2.2455,-13.1099,71.0262,-0.2387
0.02,12.6217,-1.1742,10.1257,2.0184,-11.3547,87.7619,-0.2917
0.02,12.6565,-1.1857,10.1623,1.8333,-9.2538,105.0426,-0.3480
0.02,12.6880,-1.1982,10.1962,1.6961,-6.8597,119.7077,-0.4068
0.02,12.7172,-1.2118,10.2284,1.6104,-4.2865,128.6600,-0.4670
0.02,12.7449,-1.2268,10.2600,1.5765,-1.6928,129.6824,-0.5279
0.02,12.7719,-1.2437,10.2918,1.5915,0.7492,122.0993,-0.5885
0.02,12.7988,-1.2628,10.3248,1.6493,2.8883,106.9564,-0.6480
0.02,12.8259,-1.2847,10.3596,1.7417,4.6208,86.6269,-0.7060
0.02,12.8535,-1.3096,10.3968,1.8597,5.9017,64.0446,-0.7618
0.02,12.8817,-1.3379,10.4367,1.9945,6.7402,41.9218,-0.8152
0.02,12.9102,-1.3698,10.4795,2.1382,7.1848,22.2329,-0.8661
0.02,12.9389,-1.4053,10.5252,2.2843,7.3059,6.0536,-0.9144
0.02,12.9676,-1.4444,10.5737,2.4279,7.1794,-6.3256,-0.9601
0.02,12.9961,-1.4871,10.6250,2.5655,6.8763,-15.1562,-1.0034
0.02,13.0241,-1.5332,10.6789,2.6946,6.4566,-20.9807,-1.0443
0.02,13.0514,-1.5824,10.7352,2.8139,5.9679,-24.4380,-1.0832
0.02,13.0779,-1.6345,10.7937,2.9228,5.4451,-26.1410,-1.1201
0.02,13.1032,-1.6894,10.8541,3.0211,4.9127,-26.6156,-1.1553
0.02,13.1273,-1.7467,10.9163,3.1088,4.3871,-26.2820,-1.1889
0.02,13.1501,-1.8062,10.9800,3.1864,3.8779,-25.4582,-1.2212
0.02,13.1714,-1.8677,11.0451,3.2542,3.3904,-24.3762,-1.2522
0.02,13.1912,-1.9309,11.1113,3.3127,2.9264,-23.1988,-1.2822
0.02,13.2094,-1.9956,11.1786,3.3625,2.4857,-22.0379,-1.3113
0.02,13.2260,-2.0617,11.2467,3.4038,2.0663,-20.9678,-1.3397
0.02,13.2408,-2.1288,11.3154,3.4371,1.6656,-20.0374,-1.3675
0.02,13.2538,-2.1968,11.3846,3.4627,1.2800,-19.2781,-1.3948
0.02,13.2651,-2.2655,11.4543,3.4808,0.9058,-18.7105,-1.4218
0.02,13.2745,-2.3347,11.5241,3.4916,0.5388,-18.3489,-1.4486
0.02,13.2821,-2.4042,11.5940,3.4951,0.1747,-18.2044,-1.4754
0.02,13.2878,-2.4738,11.6638,3.4913,-0.1910,-18.2873,-1.5022
0.02,13.2917,-2.5433,11.7334,3.4800,-0.5632,-18.6085,-1.5292
0.02,13.2936,-2.6125,11.8026,3.4611,-0.9468,-19.1801,-1.5565
0.02,13.2936,-2.6812,11.8713,3.4341,-1.3471,-20.0164,-1.5844
0.02,13.2918,-2.7491,11.9393,3.3987,-1.7698,-21.1330,-1.6128
0.02,13.2880,-2.8161,12.0064,3.3543,-2.2207,-22.5459,-1.6421
0.02,13.2823,-2.8818,12.0724,3.3002,-2.7061,-24.2695,-1.6723
0.02,13.2747,-2.9461,12.1371,3.2355,-3.2323,-26.3125,-1.7037
0.02,13.2653,-3.0086,12.2003,3.1594,-3.8057,-28.6711,-1.7364
0.02,13.2542,-3.0690,12.2617,3.0708,-4.4321,-31.3195,-1.7707
0.02,13.2414,-3.1270,12.3211,2.9685,-5.1160,-34.1929,-1.8068
0.02,13.2270,-3.1821,12.3781,2.8513,-5.8593,-37.1641,-1.8450
0.02,13.2112,-3.2342,12.4325,2.7181,-6.6594,-40.0089,-1.8856
0.02,13.1943,-3.2827,12.4838,2.5680,-7.5066,-42.3586,-1.9288
0.02,13.1765,-3.3272,12.5318,2.4004,-8.3794,-43.6391,-1.9750
0.02,13.1581,-3.3675,12.5761,2.2156,-9.2395,-43.0051,-2.0245
0.02,13.1395,-3.4033,12.6164,2.0151,-10.0252,-39.2848,-2.0776
0.02,13.1211,-3.4343,12.6525,1.8022,-10.6448,-30.9803,-2.1344
0.02,13.1034,-3.4606,12.6841,1.5827,-10.9727,-16.3957,-2.1952
0.02,13.0868,-3.4822,12.7115,1.3657,-10.8525,6.0111,-2.2598
0.02,13.0714,-3.4997,12.7347,1.1634,-10.1131,36.9706,-2.3280
0.02,13.0573,-3.5136,12.7545,0.9913,-8.6033,75.4892,-2.3992
0.02,13.0441,-3.5249,12.7719,0.8665,-6.2434,117.9962,-2.4727
0.02,13.0311,-3.5344,12.7880,0.8049,-3.0798,158.1809,-2.5473
