dt,x,y,position,velocity,acceleration,jerk,heading
0.02,25.0030,-11.0000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,25.0120,-11.0000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,25.0270,-11.0000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,25.0480,-11.0000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,25.0750,-11.0000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,25.1080,-11.0000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,25.1470,-11.0000,0.1470,2.1000,15.0000,0.0000,0.0000
0.02,25.1920,-11.0000,0.1920,2.4000,15.0000,0.0000,0.0000
0.02,25.2430,-11.0000,0.2430,2.7000,15.0000,0.0000,0.0000
0.02,25.3000,-11.0000,0.3000,3.0000,15.0000,0.0000,0.0000
0.02,25.3600,-11.0000,0.3600,3.0000,15.0000,0.0000,0.0000
0.02,25.4200,-11.0000,0.4200,3.0000,15.0000,0.0000,0.0000
0.02,25.4800,-11.0000,0.4800,3.0000,15.0000,0.0000,0.0000
0.02,25.5400,-11.0000,0.5400,3.0000,15.0000,0.0000,0.0000
0.02,25.6000,-11.0000,0.6000,3.0000,15.0000,0.0000,0.0000
0.02,25.6600,-11.0000,0.6600,3.0000,15.0000,0.0000,0.0000
0.02,25.7200,-11.0000,0.7200,3.0000,15.0000,0.0000,0.0000
0.02,25.7800,-11.0000,0.7800,3.0000,15.0000,0.0000,0.0000
0.02,25.8400,-11.0000,0.8400,3.0000,15.0000,0.0000,0.0000
0.02,25.9000,-11.0000,0.9000,3.0000,15.0000,0.0000,0.0000
0.02,25.9600,-11.0000,0.9600,3.0000,15.0000,0.0000,0.0000
0.02,26.0200,-11.0000,1.0200,3.0000,15.0000,0.0000,0.0000
0.02,26.0800,-11.0000,1.0800,3.0000,15.0000,0.0000,0.0000
0.02,26.1400,-11.0000,1.1400,3.0000,15.0000,0.0000,0.0000
0.02,26.2000,-11.0000,1.2000,3.0000,15.0000,0.0000,0.0000
0.02,26.2600,-11.0000,1.2600,3.0000,15.0000,0.0000,0.0000
0.02,26.3200,-11.0000,1.3200,3.0000,15.0000,0.0000,0.0000
0.02,26.3800,-11.0000,1.3800,3.0000,15.0000,0.0000,0.0000
0.02,26.4400,-11.0000,1.4400,3.0000,15.0000,0.0000,0.0000
0.02,26.5000,-11.0000,1.5000,3.0000,15.0000,0.0000,0.0000
0.02,26.5600,-11.0000,1.5600,3.0000,15.0000,0.0000,0.0000
0.02,26.6200,-11.0000,1.6200,3.0000,15.0000,0.0000,0.0000
0.02,26.6800,-11.0000,1.6800,3.0000,15.0000,0.0000,0.0000
0.02,26.7400,-11.0000,1.7400,3.0000,15.0000,0.0000,0.0000
0.02,26.8000,-11.0000,1.8000,3.0000,15.0000,0.0000,0.0000
0.02,26.8600,-11.0000,1.8600,3.0000,15.0000,0.0000,0.0000
0.02,26.9200,-11.0000,1.9200,3.0000,15.0000,0.0000,0.0000
0.02,26.9800,-11.0000,1.9800,3.0000,15.0000,0.0000,0.0000
0.02,27.0400,-11.0000,2.0400,3.0000,15.0000,0.0000,0.0000
0.02,27.1000,-11.0000,2.1000,3.0000,15.0000,0.0000,0.0000
0.02,27.1600,-11.0000,2.1600,3.0000,15.0000,0.0000,0.0000
0.02,27.2200,-11.0000,2.2200,3.0000,15.0000,0.0000,0.0000
0.02,27.2800,-11.0000,2.2800,3.0000,15.0000,0.0000,0.0000
0.02,27.3400,-11.0000,2.3400,3.0000,15.0000,0.0000,0.0000
0.02,27.4000,-11.0000,2.4000,3.0000,15.0000,0.0000,0.0000
0.02,27.4600,-11.0000,2.4600,3.0000,15.0000,0.0000,0.0000
0.02,27.5200,-11.0000,2.5200,3.0000,15.0000,0.0000,0.0000
0.02,27.5800,-11.0000,2.5800,3.0000,15.0000,0.0000,0.0000
0.02,27.6400,-11.0000,2.6400,3.0000,15.0000,0.0000,0.0000
0.02,27.7000,-11.0000,2.7000,3.0000,15.0000,0.0000,0.0000
0.02,27.7600,-11.0000,2.7600,3.0000,15.0000,0.0000,0.0000
0.02,27.8200,-11.0000,2.8200,3.0000,15.0000,0.0000,0.0000
0.02,27.8800,-11.0000,2.8800,3.0000,15.0000,0.0000,0.0000
0.02,27.9400,-11.0000,2.9400,3.0000,15.0000,0.0000,0.0000
0.02,28.0000,-11.0000,3.0000,3.0000,15.0000,0.0000,0.0000
0.02,28.0600,-11.0000,3.0600,3.0000,15.0000,0.0000,0.0000
0.02,28.1200,-11.0000,3.1200,3.0000,15.0000,0.0000,0.0000
0.02,28.1800,-11.0000,3.1800,3.0000,15.0000,0.0000,0.0000
0.02,28.2400,-11.0000,3.2400,3.0000,15.0000,0.0000,0.0000
0.02,28.3000,-11.0000,3.3000,3.0000,15.0000,0.0000,0.0000
0.02,28.3600,-11.0000,3.3600,3.0000,15.0000,0.0000,0.0000
0.02,28.4200,-11.0000,3.4200,3.0000,15.0000,0.0000,0.0000
0.02,28.4800,-11.0000,3.4800,3.0000,15.0000,0.0000,0.0000
0.02,28.5400,-11.0000,3.5400,3.0000,15.0000,0.0000,0.0000
0.02,28.6000,-11.0000,3.6000,3.0000,15.0000,0.0000,0.0000
0.02,28.6600,-11.0000,3.6600,3.0000,15.0000,0.0000,0.0000
0.02,28.7200,-11.0000,3.7200,3.0000,15.0000,0.0000,0.0000
0.02,28.7800,-11.0000,3.7800,3.0000,15.0000,0.0000,0.0000
0.02,28.8400,-11.0000,3.8400,3.0000,15.0000,0.0000,0.0000
