dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,25.0060,-11.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0000
0.02,25.0180,-11.0000,0.0180,0.6000,15.0000,0.0000,0.0180,0.6000,15.0000,0.0000,0.0180,0.6000,15.0000,0.0000,0.0000
0.02,25.0360,-11.0000,0.0360,0.9000,15.0000,0.0000,0.0360,0.9000,15.0000,0.0000,0.0360,0.9000,15.0000,0.0000,0.0000
0.02,25.0600,-11.0000,0.0600,1.2000,15.0000,0.0000,0.0600,1.2000,15.0000,0.0000,0.0600,1.2000,15.0000,0.0000,0.0000
0.02,25.0900,-11.0000,0.0900,1.5000,15.0000,0.0000,0.0900,1.5000,15.0000,0.0000,0.0900,1.5000,15.0000,0.0000,0.0000
0.02,25.1260,-11.0000,0.1260,1.8000,15.0000,0.0000,0.1260,1.8000,15.0000,0.0000,0.1260,1.8000,15.0000,0.0000,0.0000
0.02,25.1680,-11.0000,0.1680,2.1000,15.0000,0.0000,0.1680,2.1000,15.0000,0.0000,0.1680,2.1000,15.0000,0.0000,0.0000
0.02,25.2160,-11.0000,0.2160,2.4000,15.0000,0.0000,0.2160,2.4000,15.0000,0.0000,0.2160,2.4000,15.0000,0.0000,0.0000
0.02,25.2700,-11.0000,0.2700,2.7000,15.0000,0.0000,0.2700,2.7000,15.0000,0.0000,0.2700,2.7000,15.0000,0.0000,0.0000
0.02,25.3300,-11.0000,0.3300,3.0000,15.0000,0.0000,0.3300,3.0000,15.0000,0.0000,0.3300,3.0000,15.0000,0.0000,0.0000
0.02,25.3900,-11.0000,0.3900,3.0000,0.0000,-750.0000,0.3900,3.0000,15.0000,0.0000,0.3900,3.0000,0.0000,-750.0000,0.0000
0.02,25.4500,-11.0000,0.4500,3.0000,0.0000,0.0000,0.4500,3.0000,15.0000,0.0000,0.4500,3.0000,0.0000,0.0000,0.0000
0.02,25.5100,-11.0000,0.5100,3.0000,0.0000,0.0000,0.5100,3.0000,15.0000,0.0000,0.5100,3.0000,0.0000,0.0000,0.0000
0.02,25.5700,-11.0000,0.5700,3.0000,0.0000,0.0000,0.5700,3.0000,15.0000,0.0000,0.5700,3.0000,0.0000,0.0000,0.0000
0.02,25.6300,-11.0000,0.6300,3.0000,0.0000,0.0000,0.6300,3.0000,15.0000,0.0000,0.6300,3.0000,0.0000,0.0000,0.0000
0.02,25.6900,-11.0000,0.6900,3.0000,0.0000,0.0000,0.6900,3.0000,15.0000,0.0000,0.6900,3.0000,0.0000,0.0000,0.0000
