dt,x,y,position,velocity,acceleration,jerk,heading
0.02,25.0030,-12.1250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,25.0120,-12.1250,0.0120,0.4500,7.5000,-375.0000,0.0000
0.02,25.0270,-12.1250,0.0270,0.7500,15.0000,375.0000,0.0000
0.02,25.0480,-12.1250,0.0480,1.0500,15.0000,0.0000,0.0000
0.02,25.0750,-12.1250,0.0750,1.3500,15.0000,0.0000,0.0000
0.02,25.1080,-12.1250,0.1080,1.6500,15.0000,0.0000,0.0000
0.02,25.1470,-12.1250,0.1470,1.9500,15.0000,0.0000,0.0000
0.02,25.1920,-12.1250,0.1920,2.2500,15.0000,0.0000,0.0000
0.02,25.2430,-12.1250,0.2430,2.5500,15.0000,0.0000,0.0000
0.02,25.3000,-12.1250,0.3000,2.8500,15.0000,0.0000,0.0000
0.02,25.3600,-12.1250,0.3600,3.0000,7.5000,-375.0000,0.0000
0.02,25.4200,-12.1250,0.4200,3.0000,0.0000,-375.0000,0.0000
0.02,25.4800,-12.1250,0.4800,3.0000,0.0000,0.0000,0.0000
0.02,25.5400,-12.1250,0.5400,3.0000,0.0000,0.0000,0.0000
0.02,25.6000,-12.1250,0.6000,3.0000,0.0000,0.0000,0.0000
0.02,25.6600,-12.1250,0.6600,3.0000,0.0000,0.0000,0.0000
0.02,25.7200,-12.1250,0.7200,3.0000,0.0000,0.0000,0.0000
0.02,25.7800,-12.1250,0.7800,3.0000,0.0000,0.0000,0.0000
0.02,25.8400,-12.1250,0.8400,3.0000,0.0000,0.0000,0.0000
0.02,25.9000,-12.1250,0.9000,3.0000,0.0000,0.0000,0.0000
0.02,25.9600,-12.1250,0.9600,3.0000,0.0000,0.0000,0.0000
0.02,26.0200,-12.1250,1.0200,3.0000,0.0000,0.0000,0.0000
0.02,26.0800,-12.1250,1.0800,3.0000,0.0000,0.0000,0.0000
0.02,26.1400,-12.1250,1.1400,3.0000,0.0000,0.0001,0.0000
0.02,26.2000,-12.1250,1.2000,3.0000,0.0000,-0.0001,0.0000
0.02,26.2600,-12.1250,1.2600,3.0000,0.0000,0.0000,0.0000
0.02,26.3200,-12.1250,1.3200,3.0000,0.0000,0.0000,0.0000
0.02,26.3800,-12.1250,1.3800,3.0000,0.0000,0.0000,0.0000
0.02,26.4400,-12.1250,1.4400,3.0000,0.0000,0.0000,0.0000
0.02,26.5000,-12.1250,1.5000,3.0000,0.0000,0.0000,0.0000
0.02,26.5600,-12.1250,1.5600,3.0000,0.0000,0.0000,0.0000
0.02,26.6200,-12.1250,1.6200,3.0000,0.0000,0.0000,0.0000
0.02,26.6800,-12.1250,1.6800,3.0000,0.0000,0.0000,0.0000
0.02,26.7400,-12.1250,1.7400,3.0000,0.0000,0.0000,0.0000
0.02,26.8000,-12.1250,1.8000,3.0000,0.0000,-0.0001,0.0000
0.02,26.8600,-12.1250,1.8600,3.0000,0.0000,0.0001,0.0000
0.02,26.9200,-12.1250,1.9200,3.0000,0.0000,0.0000,0.0000
0.02,26.9800,-12.1250,1.9800,3.0000,0.0000,0.0000,0.0000
0.02,27.0400,-12.1250,2.0400,3.0000,0.0000,0.0000,0.0000
0.02,27.1000,-12.1250,2.1000,3.0000,0.0000,0.0000,0.0000
0.02,27.1600,-12.1250,2.1600,3.0000,0.0000,0.0000,0.0000
0.02,27.2200,-12.1250,2.2200,3.0000,0.0000,0.0000,0.0000
0.02,27.2800,-12.1250,2.2800,3.0000,0.0000,0.0000,0.0000
0.02,27.3400,-12.1250,2.3400,3.0000,0.0000,0.0000,0.0000
0.02,27.4000,-12.1250,2.4000,3.0000,0.0000,0.0001,0.0000
0.02,27.4600,-12.1250,2.4600,3.0000,0.0000,-0.0001,0.0000
0.02,27.5200,-12.1250,2.5200,3.0000,0.0000,0.0000,0.0000
0.02,27.5800,-12.1250,2.5800,3.0000,0.0000,0.0000,0.0000
0.02,27.6400,-12.1250,2.6400,3.0000,0.0000,0.0000,0.0000
0.02,27.7000,-12.1250,2.7000,3.0000,0.0000,0.0000,0.0000
0.02,27.7600,-12.1250,2.7600,3.0000,0.0000,0.0000,0.0000
0.02,27.8200,-12.1250,2.8200,3.0000,0.0000,0.0000,0.0000
0.02,27.8800,-12.1250,2.8800,3.0000,0.0000,0.0000,0.0000
0.02,27.9400,-12.1250,2.9400,3.0000,0.0000,0.0000,0.0000
0.02,28.0000,-12.1250,3.0000,3.0000,0.0000,0.0000,0.0000
0.02,28.0600,-12.1250,3.0600,3.0000,0.0000,0.0000,0.0000
0.02,28.1200,-12.1250,3.1200,3.0000,0.0000,0.0000,0.0000
0.02,28.1800,-12.1250,3.1800,3.0000,0.0000,0.0000,0.0000
0.02,28.2400,-12.1250,3.2400,3.0000,0.0000,0.0000,0.0000
0.02,28.3000,-12.1250,3.3000,3.0000,0.0000,0.0000,0.0000
0.02,28.3600,-12.1250,3.3600,3.0000,0.0000,0.0000,0.0000
0.02,28.4200,-12.1250,3.4200,3.0000,0.0000,0.0000,0.0000
0.02,28.4800,-12.1250,3.4800,3.0000,0.0000,0.0000,0.0000
0.02,28.5400,-12.1250,3.5400,3.0000,0.0000,0.0000,0.0000
0.02,28.6000,-12.1250,3.6000,3.0000,0.0000,0.0000,0.0000
0.02,28.6600,-12.1250,3.6600,3.0000,0.0000,0.0000,0.0000
0.02,28.7200,-12.1250,3.7200,3.0000,0.0000,0.0000,0.0000
0.02,28.7800,-12.1250,3.7800,3.0000,0.0000,0.0000,0.0000
0.02,28.8400,-12.1250,3.8400,3.0000,0.0000,0.0000,0.0000
0.02,28.9000,-12.1250,3.9000,3.0000,0.0000,0.0000,0.0000
0.02,28.9600,-12.1250,3.9600,3.0000,0.0000,0.0000,0.0000
0.02,29.0200,-12.1250,4.0200,3.0000,0.0000,0.0000,0.0000
0.02,29.0800,-12.1250,4.0800,3.0000,0.0000,0.0000,0.0000
0.02,29.1400,-12.1250,4.1400,3.0000,0.0000,0.0000,0.0000
0.02,29.2000,-12.1250,4.2000,3.0000,0.0000,0.0000,0.0000
0.02,29.2600,-12.1250,4.2600,3.0000,0.0000,0.0000,0.0000
0.02,29.3200,-12.1250,4.3200,3.0000,0.0000,0.0000,0.0000
0.02,29.3800,-12.1250,4.3800,3.0000,0.0000,0.0000,0.0000
0.02,29.4400,-12.1250,4.4400,3.0000,0.0000,0.0000,0.0000
0.02,29.5000,-12.1250,4.5000,3.0000,0.0000,0.0000,0.0000
0.02,29.5600,-12.1250,4.5600,3.0000,0.0000,0.0000,0.0000
0.02,29.6200,-12.1250,4.6200,3.0000,0.0000,0.0000,0.0000
0.02,29.6800,-12.1250,4.6800,3.0000,0.0000,0.0000,0.0000
0.02,29.7400,-12.1250,4.7400,3.0000,0.0000,0.0000,0.0000
0.02,29.8000,-12.1250,4.8000,3.0000,0.0000,0.0000,0.0000
0.02,29.8600,-12.1250,4.8600,3.0000,0.0000,0.0000,0.0000
0.02,29.9200,-12.1250,4.9200,3.0000,0.0000,0.0001,0.0000
0.02,29.9800,-12.1250,4.9800,3.0000,0.0000,0.0000,0.0000
0.02,30.0400,-12.1250,5.0400,3.0000,0.0000,-0.0001,0.0000
0.02,30.1000,-12.1250,5.1000,3.0000,0.0000,0.0001,0.0000
0.02,30.1600,-12.1250,5.1600,3.0000,0.0000,0.0000,0.0000
0.02,30.2200,-12.1250,5.2200,3.0000,0.0000,-0.0001,0.0000
0.02,30.2800,-12.1250,5.2800,3.0000,0.0000,0.0000,0.0000
0.02,30.3400,-12.1250,5.3400,3.0000,0.0000,0.0000,0.0000
0.02,30.4000,-12.1250,5.4000,3.0000,0.0000,0.0000,0.0000
0.02,30.4600,-12.1250,5.4600,3.0000,0.0000,0.0000,0.0000
0.02,30.5200,-12.1250,5.5200,3.0000,0.0000,0.0000,0.0000
0.02,30.5800,-12.1250,5.5800,3.0000,0.0000,0.0000,0.0000
