dt,x,y,position,velocity,acceleration,jerk,heading
0.02,27.0030,-5.5000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,27.0120,-5.5000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,27.0270,-5.5000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,27.0480,-5.5000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,27.0750,-5.5000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,27.1080,-5.5000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,27.1470,-5.5000,0.1470,2.1000,15.0000,0.0000,0.0000
0.02,27.1920,-5.5000,0.1920,2.4000,15.0000,0.0000,0.0000
0.02,27.2430,-5.5000,0.2430,2.7000,15.0000,0.0000,0.0000
0.02,27.3000,-5.5000,0.3000,3.0000,15.0000,0.0000,0.0000
0.02,27.3630,-5.5000,0.3630,3.3000,15.0000,0.0000,0.0000
0.02,27.4320,-5.5000,0.4320,3.6000,15.0000,0.0000,0.0000
0.02,27.5070,-5.5000,0.5070,3.9000,15.0000,0.0000,0.0000
0.02,27.5880,-5.5000,0.5880,4.2000,15.0000,0.0000,0.0000
0.02,27.6750,-5.5000,0.6750,4.5000,15.0000,0.0000,0.0000
0.02,27.7680,-5.5000,0.7680,4.8000,15.0000,0.0000,0.0000
0.02,27.8670,-5.5000,0.8670,5.1000,15.0000,0.0000,0.0000
0.02,27.9720,-5.5000,0.9720,5.4000,15.0000,0.0000,0.0000
0.02,28.0830,-5.5000,1.0830,5.7000,15.0000,0.0000,0.0000
0.02,28.2000,-5.5000,1.2000,6.0000,15.0000,0.0000,0.0000
0.02,28.3230,-5.5000,1.3230,6.3000,15.0000,0.0000,0.0000
0.02,28.4520,-5.5000,1.4520,6.6000,15.0000,0.0000,0.0000
0.02,28.5870,-5.5000,1.5870,6.9000,15.0000,0.0000,0.0000
0.02,28.7260,-5.5000,1.7260,7.0000,15.0000,0.0000,0.0000
0.02,28.8660,-5.5000,1.8660,7.0000,15.0000,0.0000,0.0000
0.02,29.0060,-5.5000,2.0060,7.0000,15.0000,0.0000,0.0000
0.02,29.1460,-5.5000,2.1460,7.0000,15.0000,0.0000,0.0000
0.02,29.2860,-5.5000,2.2860,7.0000,15.0000,0.0000,0.0000
0.02,29.4231,-5.5000,2.4231,6.7141,-14.2940,0.0000,0.0000
0.02,29.5546,-5.5000,2.5546,6.4282,-14.2940,0.0000,0.0000
0.02,29.6803,-5.5000,2.6803,6.1424,-14.2940,0.0000,0.0000
0.02,29.8003,-5.5000,2.8003,5.8565,-14.2940,0.0000,0.0000
0.02,29.9145,-5.5000,2.9145,5.5706,-14.2940,0.0000,0.0000
0.02,30.0231,-5.5000,3.0231,5.2847,-14.2940,0.0000,0.0000
0.02,30.1259,-5.5000,3.1259,4.9988,-14.2940,0.0000,0.0000
0.02,30.2230,-5.5000,3.2230,4.7130,-14.2940,0.0000,0.0000
0.02,30.3144,-5.5000,3.3144,4.4271,-14.2940,0.0000,0.0000
0.02,30.4001,-5.5000,3.4001,4.1412,-14.2940,0.0000,0.0000
0.02,30.4801,-5.5000,3.4801,3.8553,-14.2940,0.0000,0.0000
0.02,30.5543,-5.5000,3.5543,3.5694,-14.2940,0.0000,0.0000
0.02,30.6229,-5.5000,3.6229,3.2835,-14.2940,0.0000,0.0000
0.02,30.6857,-5.5000,3.6857,2.9977,-14.2940,0.0000,0.0000
0.02,30.7428,-5.5000,3.7428,2.7118,-14.2940,0.0000,0.0000
0.02,30.7941,-5.5000,3.7941,2.4259,-14.2940,0.0000,0.0000
0.02,30.8398,-5.5000,3.8398,2.1400,-14.2940,0.0000,0.0000
0.02,30.8797,-5.5000,3.8797,1.8541,-14.2940,0.0000,0.0000
0.02,30.9140,-5.5000,3.9140,1.5683,-14.2940,0.0000,0.0000
0.02,30.9425,-5.5000,3.9425,1.2824,-14.2940,0.0000,0.0000
0.02,30.9653,-5.5000,3.9653,0.9965,-14.2940,0.0000,0.0000
0.02,30.9823,-5.5000,3.9823,0.7106,-14.2940,0.0000,0.0000
0.02,30.9937,-5.5000,3.9937,0.4247,-14.2940,0.0000,0.0000
0.02,30.9993,-5.5000,3.9993,0.1389,-14.2940,0.0000,0.0000
