dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,27.0060,-5.5000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0000
0.02,27.0180,-5.5000,0.0180,0.6000,15.0000,0.0000,0.0180,0.6000,15.0000,0.0000,0.0180,0.6000,15.0000,0.0000,0.0000
0.02,27.0360,-5.5000,0.0360,0.9000,15.0000,0.0000,0.0360,0.9000,15.0000,0.0000,0.0360,0.9000,15.0000,0.0000,0.0000
0.02,27.0600,-5.5000,0.0600,1.2000,15.0000,0.0000,0.0600,1.2000,15.0000,0.0000,0.0600,1.2000,15.0000,0.0000,0.0000
0.02,27.0900,-5.5000,0.0900,1.5000,15.0000,0.0000,0.0900,1.5000,15.0000,0.0000,0.0900,1.5000,15.0000,0.0000,0.0000
0.02,27.1260,-5.5000,0.1260,1.8000,15.0000,0.0000,0.1260,1.8000,15.0000,0.0000,0.1260,1.8000,15.0000,0.0000,0.0000
0.02,27.1680,-5.5000,0.1680,2.1000,15.0000,0.0000,0.1680,2.1000,15.0000,0.0000,0.1680,2.1000,15.0000,0.0000,0.0000
0.02,27.2160,-5.5000,0.2160,2.4000,15.0000,0.0000,0.2160,2.4000,15.0000,0.0000,0.2160,2.4000,15.0000,0.0000,0.0000
0.02,27.2700,-5.5000,0.2700,2.7000,15.0000,0.0000,0.2700,2.7000,15.0000,0.0000,0.2700,2.7000,15.0000,0.0000,0.0000
0.02,27.3300,-5.5000,0.3300,3.0000,15.0000,0.0000,0.3300,3.0000,15.0000,0.0000,0.3300,3.0000,15.0000,0.0000,0.0000
0.02,27.3960,-5.5000,0.3960,3.3000,15.0000,0.0000,0.3960,3.3000,15.0000,0.0000,0.3960,3.3000,15.0000,0.0000,0.0000
0.02,27.4680,-5.5000,0.4680,3.6000,15.0000,0.0000,0.4680,3.6000,15.0000,0.0000,0.4680,3.6000,15.0000,0.0000,0.0000
0.02,27.5460,-5.5000,0.5460,3.9000,15.0000,0.0000,0.5460,3.9000,15.0000,0.0000,0.5460,3.9000,15.0000,0.0000,0.0000
0.02,27.6300,-5.5000,0.6300,4.2000,15.0000,0.0000,0.6300,4.2000,15.0000,0.0000,0.6300,4.2000,15.0000,0.0000,0.0000
0.02,27.7200,-5.5000,0.7200,4.5000,15.0000,0.0000,0.7200,4.5000,15.0000,0.0000,0.7200,4.5000,15.0000,0.0000,0.0000
0.02,27.8160,-5.5000,0.8160,4.8000,15.0000,0.0000,0.8160,4.8000,15.0000,0.0000,0.8160,4.8000,15.0000,0.0000,0.0000
0.02,27.9180,-5.5000,0.9180,5.1000,15.0000,0.0000,0.9180,5.1000,15.0000,0.0000,0.9180,5.1000,15.0000,0.0000,0.0000
0.02,28.0260,-5.5000,1.0260,5.4000,15.0000,0.0000,1.0260,5.4000,15.0000,0.0000,1.0260,5.4000,15.0000,0.0000,0.0000
0.02,28.1400,-5.5000,1.1400,5.7000,15.0000,0.0000,1.1400,5.7000,15.0000,0.0000,1.1400,5.7000,15.0000,0.0000,0.0000
0.02,28.2600,-5.5000,1.2600,6.0000,15.0000,0.0000,1.2600,6.0000,15.0000,0.0000,1.2600,6.0000,15.0000,0.0000,0.0000
0.02,28.3860,-5.5000,1.3860,6.3000,15.0000,0.0000,1.3860,6.3000,15.0000,0.0000,1.3860,6.3000,15.0000,0.0000,0.0000
0.02,28.5180,-5.5000,1.5180,6.6000,15.0000,0.0000,1.5180,6.6000,15.0000,0.0000,1.5180,6.6000,15.0000,0.0000,0.0000
0.02,28.6560,-5.5000,1.6560,6.9000,15.0000,0.0000,1.6560,6.9000,15.0000,0.0000,1.6560,6.9000,15.0000,0.0000,0.0000
0.02,28.7960,-5.5000,1.7960,7.0000,5.0000,-500.0000,1.7960,7.0000,15.0000,0.0000,1.7960,7.0000,5.0000,-500.0000,0.0000
0.02,28.9360,-5.5000,1.9360,7.0000,0.0000,-250.0000,1.9360,7.0000,15.0000,0.0000,1.9360,7.0000,0.0000,-250.0000,0.0000
0.02,29.0760,-5.5000,2.0760,7.0000,0.0000,0.0000,2.0760,7.0000,15.0000,0.0000,2.0760,7.0000,0.0000,0.0000,0.0000
0.02,29.2160,-5.5000,2.2160,7.0000,0.0000,0.0000,2.2160,7.0000,15.0000,0.0000,2.2160,7.0000,0.0000,0.0000,0.0000
0.02,29.3560,-5.5000,2.3560,7.0000,0.0000,0.0000,2.3560,7.0000,15.0000,0.0000,2.3560,7.0000,0.0000,0.0000,0.0000
0.02,29.4960,-5.5000,2.4960,7.0000,0.0000,0.0000,2.4960,7.0000,15.0000,0.0000,2.4960,7.0000,0.0000,0.0000,0.0000
0.02,29.6300,-5.5000,2.6300,6.7000,-15.0000,-750.0000,2.6300,6.7000,-15.0000,0.0000,2.6300,6.7000,-15.0000,-750.0000,0.0000
0.02,29.7580,-5.5000,2.7580,6.4000,-15.0000,0.0000,2.7580,6.4000,-15.0000,0.0000,2.7580,6.4000,-15.0000,0.0000,0.0000
0.02,29.8800,-5.5000,2.8800,6.1000,-15.0000,0.0000,2.8800,6.1000,-15.0000,0.0000,2.8800,6.1000,-15.0000,0.0000,0.0000
0.02,29.9960,-5.5000,2.9960,5.8000,-15.0000,0.0000,2.9960,5.8000,-15.0000,0.0000,2.9960,5.8000,-15.0000,0.0000,0.0000
0.02,30.1060,-5.5000,3.1060,5.5000,-15.0000,0.0000,3.1060,5.5000,-15.0000,0.0000,3.1060,5.5000,-15.0000,0.0000,0.0000
0.02,30.2100,-5.5000,3.2100,5.2000,-15.0000,0.0000,3.2100,5.2000,-15.0000,0.0000,3.2100,5.2000,-15.0000,0.0000,0.0000
0.02,30.3080,-5.5000,3.3080,4.9000,-15.0000,0.0000,3.3080,4.9000,-15.0000,0.0000,3.3080,4.9000,-15.0000,0.0000,0.0000
0.02,30.4000,-5.5000,3.4000,4.6000,-15.0000,0.0000,3.4000,4.6000,-15.0000,0.0000,3.4000,4.6000,-15.0000,0.0000,0.0000
