dt,x,y,position,velocity,acceleration,jerk,heading
0.02,27.0030,-6.6250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,27.0120,-6.6250,0.0120,0.4500,7.5000,-375.0000,0.0000
0.02,27.0270,-6.6250,0.0270,0.7500,15.0000,375.0000,0.0000
0.02,27.0480,-6.6250,0.0480,1.0500,15.0000,0.0000,0.0000
0.02,27.0750,-6.6250,0.0750,1.3500,15.0000,0.0000,0.0000
0.02,27.1080,-6.6250,0.1080,1.6500,15.0000,0.0000,0.0000
0.02,27.1470,-6.6250,0.1470,1.9500,15.0000,0.0000,0.0000
0.02,27.1920,-6.6250,0.1920,2.2500,15.0000,0.0000,0.0000
0.02,27.2430,-6.6250,0.2430,2.5500,15.0000,0.0000,0.0000
0.02,27.3000,-6.6250,0.3000,2.8500,15.0000,0.0000,0.0000
0.02,27.3630,-6.6250,0.3630,3.1500,15.0000,0.0000,0.0000
0.02,27.4320,-6.6250,0.4320,3.4500,15.0000,0.0000,0.0000
0.02,27.5070,-6.6250,0.5070,3.7500,15.0000,0.0000,0.0000
0.02,27.5880,-6.6250,0.5880,4.0500,15.0000,0.0000,0.0000
0.02,27.6750,-6.6250,0.6750,4.3500,15.0000,0.0000,0.0000
0.02,27.7680,-6.6250,0.7680,4.6500,15.0000,0.0000,0.0000
0.02,27.8670,-6.6250,0.8670,4.9500,15.0000,0.0000,0.0000
0.02,27.9720,-6.6250,0.9720,5.2500,15.0000,0.0000,0.0000
0.02,28.0830,-6.6250,1.0830,5.5500,15.0000,0.0000,0.0000
0.02,28.2000,-6.6250,1.2000,5.8500,15.0000,0.0000,0.0000
0.02,28.3230,-6.6250,1.3230,6.1500,15.0000,0.0000,0.0000
0.02,28.4520,-6.6250,1.4520,6.4500,15.0000,0.0000,0.0000
0.02,28.5870,-6.6250,1.5870,6.7500,15.0000,0.0000,0.0000
0.02,28.7260,-6.6250,1.7260,6.9500,10.0000,-250.0000,0.0000
0.02,28.8660,-6.6250,1.8660,7.0000,2.5000,-375.0000,0.0000
0.02,29.0060,-6.6250,2.0060,7.0000,0.0000,-125.0000,0.0000
0.02,29.1460,-6.6250,2.1460,7.0000,0.0000,0.0000,0.0000
0.02,29.2860,-6.6250,2.2860,7.0000,0.0000,0.0000,0.0000
0.02,29.4231,-6.6250,2.4231,6.8571,-7.1470,-357.3512,0.0000
0.02,29.5546,-6.6250,2.5546,6.5712,-14.2940,-357.3512,0.0000
0.02,29.6803,-6.6250,2.6803,6.2853,-14.2940,0.0000,0.0000
0.02,29.8003,-6.6250,2.8003,5.9994,-14.2940,0.0000,0.0000
0.02,29.9145,-6.6250,2.9145,5.7135,-14.2940,0.0000,0.0000
0.02,30.0231,-6.6250,3.0231,5.4277,-14.2940,0.0000,0.0000
0.02,30.1259,-6.6250,3.1259,5.1418,-14.2940,0.0000,0.0000
0.02,30.2230,-6.6250,3.2230,4.8559,-14.2940,0.0000,0.0000
0.02,30.3144,-6.6250,3.3144,4.5700,-14.2940,0.0000,0.0000
0.02,30.4001,-6.6250,3.4001,4.2841,-14.2940,0.0000,0.0000
0.02,30.4801,-6.6250,3.4801,3.9982,-14.2940,0.0000,0.0000
0.02,30.5543,-6.6250,3.5543,3.7124,-14.2940,0.0000,0.0000
0.02,30.6229,-6.6250,3.6229,3.4265,-14.2940,0.0000,0.0000
0.02,30.6857,-6.6250,3.6857,3.1406,-14.2940,0.0000,0.0000
0.02,30.7428,-6.6250,3.7428,2.8547,-14.2940,0.0000,0.0000
0.02,30.7941,-6.6250,3.7941,2.5688,-14.2940,0.0000,0.0000
0.02,30.8398,-6.6250,3.8398,2.2830,-14.2940,0.0000,0.0000
0.02,30.8797,-6.6250,3.8797,1.9971,-14.2940,0.0000,0.0000
0.02,30.9140,-6.6250,3.9140,1.7112,-14.2940,0.0000,0.0000
0.02,30.9425,-6.6250,3.9425,1.4253,-14.2940,0.0000,0.0000
0.02,30.9653,-6.6250,3.9653,1.1394,-14.2940,0.0000,0.0000
0.02,30.9823,-6.6250,3.9823,0.8536,-14.2940,0.0000,0.0000
0.02,30.9937,-6.6250,3.9937,0.5677,-14.2940,0.0000,0.0000
0.02,30.9993,-6.6250,3.9993,0.2818,-14.2940,0.0000,0.0000
