dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0.0030,0.0000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,0.0120,0.0000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,0.0270,0.0000,0.0270,0.9000,15.0000,0.0000,0.0001
0.02,0.0480,0.0000,0.0480,1.2000,15.0000,0.0000,0.0003
0.02,0.0750,0.0000,0.0750,1.5000,15.0000,0.0000,0.0006
0.02,0.1080,0.0000,0.1080,1.8000,15.0000,0.0000,0.0013
0.02,0.1470,0.0001,0.1470,2.1000,15.0000,0.0000,0.0024
0.02,0.1920,0.0003,0.1920,2.4000,15.0000,0.0000,0.0040
0.02,0.2430,0.0005,0.2430,2.7000,15.0000,0.0000,0.0064
0.02,0.3000,0.0010,0.3000,3.0000,15.0000,0.0000,0.0097
0.02,0.3630,0.0017,0.3630,3.3000,15.0000,0.0000,0.0142
0.02,0.4320,0.0029,0.4320,3.6000,15.0000,0.0000,0.0200
0.02,0.5070,0.0047,0.5070,3.9000,15.0000,0.0000,0.0275
0.02,0.5879,0.0073,0.5880,4.2000,15.0000,0.0000,0.0370
0.02,0.6748,0.0110,0.6750,4.5000,15.0000,0.0000,0.0489
0.02,0.7677,0.0162,0.7680,4.8000,15.0000,0.0000,0.0638
0.02,0.8664,0.0234,0.8670,5.1000,15.0000,0.0000,0.0823
0.02,0.9710,0.0332,0.9720,5.4000,15.0000,0.0000,0.1051
0.02,1.0812,0.0464,1.0830,5.7000,15.0000,0.0000,0.1333
0.02,1.1969,0.0639,1.2000,6.0000,15.0000,0.0000,0.1682
0.02,1.3177,0.0870,1.3230,6.3000,15.0000,0.0000,0.2115
0.02,1.4430,0.1174,1.4520,6.6000,15.0000,0.0000,0.2653
0.02,1.5721,0.1570,1.5870,6.9000,15.0000,0.0000,0.3318
0.02,1.7034,0.2081,1.7280,7.2000,15.0000,0.0000,0.4134
0.02,1.8350,0.2735,1.8750,7.5000,15.0000,0.0000,0.5109
0.02,1.9641,0.3555,2.0280,7.8000,15.0000,0.0000,0.6221
0.02,2.0875,0.4556,2.1870,8.1000,15.0000,0.0000,0.7396
0.02,2.2028,0.5735,2.3520,8.4000,15.0000,0.0000,0.8508
0.02,2.3092,0.7073,2.5230,8.7000,15.0000,0.0000,0.9415
0.02,2.4087,0.8537,2.7000,9.0000,15.0000,0.0000,1.0001
0.02,2.5055,1.0090,2.8830,9.3000,15.0000,0.0000,1.0192
0.02,2.6029,1.1642,3.0663,9.0292,-13.5378,0.0000,0.9951
0.02,2.7039,1.3106,3.2442,8.7585,-13.5378,0.0000,0.9315
0.02,2.8129,1.4441,3.4166,8.4877,-13.5378,0.0000,0.8361
0.02,2.9316,1.5616,3.5837,8.2170,-13.5378,0.0000,0.7210
0.02,3.0591,1.6607,3.7453,7.9462,-13.5378,0.0000,0.6011
0.02,3.1927,1.7416,3.9015,7.6755,-13.5378,0.0000,0.4890
0.02,3.3291,1.8057,4.0523,7.4047,-13.5378,0.0000,0.3918
0.02,3.4657,1.8556,4.1977,7.1339,-13.5378,0.0000,0.3111
0.02,3.6002,1.8939,4.3377,6.8632,-13.5378,0.0000,0.2456
0.02,3.7316,1.9231,4.4722,6.5924,-13.5378,0.0000,0.1929
0.02,3.8588,1.9451,4.6014,6.3217,-13.5378,0.0000,0.1507
0.02,3.9815,1.9615,4.7251,6.0509,-13.5378,0.0000,0.1167
0.02,4.0991,1.9736,4.8434,5.7802,-13.5378,0.0000,0.0894
0.02,4.2117,1.9824,4.9563,5.5094,-13.5378,0.0000,0.0674
0.02,4.3190,1.9887,5.0638,5.2386,-13.5378,0.0000,0.0499
0.02,4.4210,1.9930,5.1659,4.9679,-13.5378,0.0000,0.0359
0.02,4.5176,1.9960,5.2625,4.6971,-13.5378,0.0000,0.0249
0.02,4.6088,1.9978,5.3537,4.4264,-13.5378,0.0000,0.0164
0.02,4.6946,1.9990,5.4396,4.1556,-13.5378,0.0000,0.0101
0.02,4.7750,1.9996,5.5200,3.8849,-13.5378,0.0000,0.0055
0.02,4.8500,1.9999,5.5950,3.6141,-13.5378,0.0000,0.0025
0.02,4.9196,2.0000,5.6645,3.3433,-13.5378,0.0000,0.0007
0.02,4.9837,2.0000,5.7287,3.0726,-13.5378,0.0000,0.0000
0.02,5.0482,2.0000,5.7931,3.3726,15.0000,0.0000,0.0000
0.02,5.1186,2.0000,5.8636,3.6726,15.0000,0.0000,0.0000
0.02,5.1951,2.0000,5.9401,3.9726,15.0000,0.0000,0.0000
0.02,5.2775,2.0000,6.0225,4.2726,15.0000,0.0000,0.0000
0.02,5.3660,2.0000,6.1110,4.5726,15.0000,0.0000,0.0000
0.02,5.4604,2.0000,6.2054,4.8726,15.0000,0.0000,0.0000
0.02,5.5609,2.0000,6.3059,5.1726,15.0000,0.0000,0.0000
0.02,5.6673,2.0000,6.4123,5.4726,15.0000,0.0000,0.0000
0.02,5.7798,2.0000,6.5248,5.7726,15.0000,0.0000,0.0000
0.02,5.8982,2.0000,6.6432,6.0726,15.0000,0.0000,0.0000
0.02,6.0227,2.0000,6.7677,6.3726,15.0000,0.0000,0.0000
0.02,6.1531,2.0000,6.8981,6.6726,15.0000,0.0000,0.0000
0.02,6.2896,2.0000,7.0346,6.9726,15.0000,0.0000,0.0000
0.02,6.4320,2.0000,7.1770,7.2726,15.0000,0.0000,0.0000
0.02,6.5805,2.0000,7.3255,7.5726,15.0000,0.0000,0.0000
0.02,6.7349,2.0000,7.4799,7.8726,15.0000,0.0000,0.0000
0.02,6.8954,2.0000,7.6404,8.1726,15.0000,0.0000,0.0000
0.02,7.0619,2.0000,7.8068,8.4726,15.0000,0.0000,0.0000
0.02,7.2343,2.0000,7.9793,8.7726,15.0000,0.0000,0.0000
0.02,7.4070,2.0000,8.1520,8.4943,-13.9130,0.0000,0.0000
0.02,7.5741,2.0000,8.3191,8.2161,-13.9130,0.0000,0.0000
0.02,7.7356,2.0000,8.4806,7.9378,-13.9130,0.0000,0.0000
0.02,7.8916,2.0000,8.6366,7.6596,-13.9130,0.0000,0.0000
0.02,8.0420,2.0000,8.7870,7.3813,-13.9130,0.0000,0.0000
0.02,8.1868,2.0000,8.9318,7.1030,-13.9130,0.0000,0.0000
0.02,8.3261,2.0000,9.0711,6.8248,-13.9130,0.0000,0.0000
0.02,8.4598,2.0000,9.2048,6.5465,-13.9130,0.0000,0.0000
0.02,8.5880,2.0000,9.3330,6.2682,-13.9130,0.0000,0.0000
0.02,8.7106,2.0000,9.4555,5.9900,-13.9130,0.0000,0.0000
0.02,8.8276,2.0000,9.5726,5.7117,-13.9130,0.0000,0.0000
0.02,8.9390,2.0000,9.6840,5.4335,-13.9130,0.0000,0.0000
0.02,9.0449,2.0000,9.7899,5.1552,-13.9130,0.0000,0.0000
0.02,9.1452,2.0000,9.8902,4.8769,-13.9130,0.0000,0.0000
0.02,9.2400,2.0000,9.9850,4.5987,-13.9130,0.0000,0.0000
0.02,9.3292,2.0000,10.0742,4.3204,-13.9130,0.0000,0.0000
0.02,9.4128,2.0000,10.1578,4.0422,-13.9130,0.0000,0.0000
0.02,9.4909,2.0000,10.2359,3.7639,-13.9130,0.0000,0.0000
0.02,9.5634,2.0000,10.3083,3.4856,-13.9130,0.0000,0.0000
0.02,9.6303,2.0000,10.3753,3.2074,-13.9130,0.0000,0.0000
0.02,9.6917,2.0000,10.4366,2.9291,-13.9130,0.0000,0.0000
0.02,9.7475,2.0000,10.4924,2.6509,-13.9130,0.0000,0.0000
0.02,9.7977,2.0000,10.5427,2.3726,-13.9130,0.0000,0.0000
0.02,9.8424,2.0000,10.5873,2.0943,-13.9130,0.0000,0.0000
0.02,9.8815,2.0000,10.6264,1.8161,-13.9130,0.0000,0.0000
0.02,9.9150,2.0000,10.6600,1.5378,-13.9130,0.0000,0.0000
0.02,9.9430,2.0000,10.6880,1.2596,-13.9130,0.0000,0.0000
0.02,9.9654,2.0000,10.7104,0.9813,-13.9130,0.0000,0.0000
0.02,9.9822,2.0000,10.7272,0.7030,-13.9130,0.0000,0.0000
0.02,9.9935,2.0000,10.7385,0.4248,-13.9130,0.0000,0.0000
0.02,9.9992,2.0000,10.7442,0.1465,-13.9130,0.0000,0.0000
