dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,0.0060,0.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0000
0.02,0.0180,0.0000,0.0179,0.5951,14.7526,-12.3717,0.0180,0.6000,15.0000,0.0000,0.0181,0.6049,15.2474,12.3717,0.0001
0.02,0.0360,0.0000,0.0356,0.8834,14.4186,-16.6970,0.0360,0.9000,15.0000,0.0000,0.0364,0.9166,15.5814,16.6970,0.0004
0.02,0.0600,0.0000,0.0588,1.1611,13.8844,-26.7107,0.0600,1.2000,15.0000,0.0000,0.0612,1.2389,16.1156,26.7107,0.0011
0.02,0.0900,0.0001,0.0873,1.4250,13.1953,-34.4532,0.0900,1.5000,15.0000,0.0000,0.0927,1.5750,16.8046,34.4528,0.0024
0.02,0.1260,0.0002,0.1207,1.6724,12.3682,-41.3574,0.1260,1.8000,15.0000,0.0000,0.1313,1.9276,17.6318,41.3564,0.0047
0.02,0.1680,0.0005,0.1588,1.9008,11.4207,-47.3747,0.1680,2.1000,15.0000,0.0000,0.1772,2.2992,18.5792,47.3725,0.0082
0.02,0.2160,0.0010,0.2009,2.1082,10.3705,-52.5122,0.2160,2.4000,15.0000,0.0000,0.2311,2.6918,19.6294,52.5078,0.0134
0.02,0.2700,0.0019,0.2468,2.2929,9.2345,-56.7981,0.2700,2.7000,15.0000,0.0000,0.2932,3.1071,20.7652,56.7901,0.0207
0.02,0.3300,0.0034,0.2958,2.4535,8.0300,-60.2267,0.3300,3.0000,15.0000,0.0000,0.3642,3.5465,21.9694,60.2132,0.0304
0.02,0.3959,0.0058,0.3476,2.5890,6.7763,-62.6836,0.3960,3.3000,15.0000,0.0000,0.4444,4.0109,23.2227,62.6623,0.0430
0.02,0.4678,0.0095,0.4016,2.6990,5.4993,-63.8506,0.4680,3.6000,15.0000,0.0000,0.5344,4.5009,24.4991,63.8188,0.0590
0.02,0.5456,0.0148,0.4573,2.7838,4.2374,-63.0934,0.5460,3.9000,15.0000,0.0000,0.6347,5.0161,25.7600,63.0485,0.0789
0.02,0.6293,0.0224,0.5142,2.8448,3.0504,-59.3484,0.6300,4.2000,15.0000,0.0000,0.7458,5.5550,26.9458,59.2880,0.1030
0.02,0.7187,0.0330,0.5719,2.8854,2.0296,-51.0442,0.7200,4.5000,15.0000,0.0000,0.8681,6.1143,27.9651,50.9675,0.1317
0.02,0.8136,0.0471,0.6301,2.9115,1.3068,-36.1372,0.8160,4.8000,15.0000,0.0000,1.0019,6.6881,28.6861,36.0470,0.1652
0.02,0.9139,0.0658,0.6888,2.9327,1.0590,-12.3918,0.9180,5.1000,15.0000,0.0000,1.1472,7.2667,28.9320,12.2962,0.2038
0.02,1.0192,0.0899,0.7480,2.9626,1.4979,21.9441,1.0260,5.4000,15.0000,0.0000,1.3039,7.8365,28.4914,-22.0290,0.2471
0.02,1.1290,0.1204,0.8084,3.0194,2.8379,67.0019,1.1400,5.7000,15.0000,0.0000,1.4715,8.3795,27.1504,-67.0517,0.2947
0.02,1.2429,0.1582,0.8709,3.1241,5.2367,119.9424,1.2600,6.0000,15.0000,0.0000,1.6490,8.8746,24.7518,-119.9285,0.3459
0.02,1.3602,0.2041,0.9369,3.2985,8.7197,174.1465,1.3860,6.3000,15.0000,0.0000,1.8350,9.3000,21.2709,-174.0453,0.3992
0.02,1.4804,0.2587,1.0081,3.5609,13.1202,220.0259,1.5180,6.6000,15.0000,0.0000,2.0278,9.6375,16.8743,-219.8325,0.4532
