dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0.0030,-1.1250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,0.0120,-1.1250,0.0120,0.4509,7.5431,-372.8455,0.0000
0.02,0.0271,-1.1250,0.0271,0.7537,15.1428,379.9872,0.0001
0.02,0.0483,-1.1250,0.0483,1.0600,15.3116,8.4378,0.0003
0.02,0.0757,-1.1250,0.0757,1.3708,15.5436,11.5992,0.0006
0.02,0.1095,-1.1250,0.1095,1.6875,15.8357,14.6061,0.0013
0.02,0.1497,-1.1249,0.1497,2.0112,16.1855,17.4918,0.0024
0.02,0.1965,-1.1247,0.1965,2.3431,16.5923,20.3371,0.0040
0.02,0.2502,-1.1245,0.2502,2.6842,17.0577,23.2739,0.0064
0.02,0.3109,-1.1240,0.3109,3.0360,17.5875,26.4875,0.0097
0.02,0.3789,-1.1232,0.3789,3.3998,18.1919,30.2224,0.0142
0.02,0.4545,-1.1219,0.4545,3.7776,18.8878,34.7921,0.0200
0.02,0.5379,-1.1199,0.5379,4.1716,19.6997,40.5972,0.0275
0.02,0.6295,-1.1170,0.6296,4.5848,20.6628,48.1544,0.0370
0.02,0.7299,-1.1126,0.7301,5.0214,21.8256,58.1380,0.0489
0.02,0.8394,-1.1065,0.8398,5.4864,23.2543,71.4344,0.0638
0.02,0.9589,-1.0978,0.9595,5.9872,25.0383,89.2026,0.0823
0.02,1.0889,-1.0856,1.0902,6.5331,27.2966,112.9121,0.1051
0.02,1.2307,-1.0687,1.2329,7.1368,30.1820,144.2727,0.1333
0.02,1.3852,-1.0452,1.3892,7.8143,33.8785,184.8265,0.1682
0.02,1.5538,-1.0129,1.5609,8.5858,38.5712,234.6329,0.2115
0.02,1.7380,-0.9683,1.7504,9.4727,44.3461,288.7458,0.2653
0.02,1.9385,-0.9067,1.9602,10.4912,50.9268,329.0331,0.3318
0.02,2.1553,-0.8221,2.1929,11.6333,57.1010,308.7128,0.4134
0.02,2.3850,-0.7078,2.4495,12.8293,59.8013,135.0136,0.5109
0.02,2.6197,-0.5587,2.7275,13.9005,53.5590,-312.1180,0.6221
