dt,x,y,position,velocity,acceleration,jerk,heading
0.02,5.0030,-3.5000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,5.0120,-3.5000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,5.0270,-3.5000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,5.0480,-3.5000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,5.0750,-3.5000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,5.1080,-3.5000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,5.1470,-3.5000,0.1470,2.1000,15.0000,0.0000,0.0001
0.02,5.1920,-3.5000,0.1920,2.4000,15.0000,0.0000,0.0001
0.02,5.2430,-3.5000,0.2430,2.7000,15.0000,0.0000,0.0002
0.02,5.3000,-3.5000,0.3000,3.0000,15.0000,0.0000,0.0003
0.02,5.3630,-3.4999,0.3630,3.3000,15.0000,0.0000,0.0004
0.02,5.4320,-3.4999,0.4320,3.6000,15.0000,0.0000,0.0006
0.02,5.5070,-3.4999,0.5070,3.9000,15.0000,0.0000,0.0009
0.02,5.5880,-3.4998,0.5880,4.2000,15.0000,0.0000,0.0012
0.02,5.6750,-3.4996,0.6750,4.5000,15.0000,0.0000,0.0017
0.02,5.7680,-3.4995,0.7680,4.8000,15.0000,0.0000,0.0022
0.02,5.8670,-3.4992,0.8670,5.1000,15.0000,0.0000,0.0030
0.02,5.9720,-3.4988,0.9720,5.4000,15.0000,0.0000,0.0039
0.02,6.0830,-3.4984,1.0830,5.7000,15.0000,0.0000,0.0050
0.02,6.2000,-3.4977,1.2000,6.0000,15.0000,0.0000,0.0065
0.02,6.3230,-3.4968,1.3230,6.3000,15.0000,0.0000,0.0083
0.02,6.4520,-3.4956,1.4520,6.6000,15.0000,0.0000,0.0107
0.02,6.5870,-3.4939,1.5870,6.9000,15.0000,0.0000,0.0137
0.02,6.7280,-3.4917,1.7280,7.2000,15.0000,0.0000,0.0175
0.02,6.8749,-3.4888,1.8750,7.5000,15.0000,0.0000,0.0225
