dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,5.0028,-3.5000,0.0028,0.1400,7.0000,0.0000,0.0028,0.1400,7.0000,0.0000,0.0028,0.1400,7.0000,0.0000,0.0000
0.02,5.0084,-3.5000,0.0084,0.2798,6.9914,-0.4277,0.0084,0.2800,7.0000,0.0000,0.0084,0.2802,7.0086,0.4277,0.0000
0.02,5.0168,-3.5000,0.0168,0.4194,6.9797,-0.5852,0.0168,0.4200,7.0000,0.0000,0.0168,0.4206,7.0203,0.5852,0.0000
0.02,5.0280,-3.5000,0.0280,0.5586,6.9607,-0.9516,0.0280,0.5600,7.0000,0.0000,0.0280,0.5614,7.0393,0.9516,0.0000
0.02,5.0420,-3.5000,0.0419,0.6973,6.9356,-1.2568,0.0420,0.7000,7.0000,0.0000,0.0421,0.7027,7.0644,1.2568,0.0001
0.02,5.0588,-3.5000,0.0586,0.8354,6.9045,-1.5519,0.0588,0.8400,7.0000,0.0000,0.0590,0.8446,7.0955,1.5519,0.0002
0.02,5.0784,-3.5000,0.0781,0.9728,6.8678,-1.8347,0.0784,0.9800,7.0000,0.0000,0.0787,0.9872,7.1322,1.8347,0.0003
0.02,5.1008,-3.5000,0.1003,1.1093,6.8258,-2.1028,0.1008,1.1200,7.0000,0.0000,0.1013,1.1307,7.1742,2.1028,0.0005
0.02,5.1260,-3.5000,0.1252,1.2449,6.7787,-2.3545,0.1260,1.2600,7.0000,0.0000,0.1268,1.2751,7.2213,2.3545,0.0008
0.02,5.1540,-3.4999,0.1527,1.3794,6.7269,-2.5877,0.1540,1.4000,7.0000,0.0000,0.1553,1.4206,7.2731,2.5877,0.0011
0.02,5.1848,-3.4999,0.1830,1.5128,6.6709,-2.8010,0.1848,1.5400,7.0000,0.0000,0.1866,1.5672,7.3291,2.8009,0.0016
0.02,5.2184,-3.4998,0.2159,1.6451,6.6111,-2.9927,0.2184,1.6800,7.0000,0.0000,0.2209,1.7149,7.3889,2.9926,0.0022
0.02,5.2548,-3.4997,0.2514,1.7760,6.5478,-3.1615,0.2548,1.8200,7.0000,0.0000,0.2582,1.8640,7.4522,3.1615,0.0030
0.02,5.2940,-3.4996,0.2895,1.9057,6.4817,-3.3063,0.2940,1.9600,7.0000,0.0000,0.2985,2.0143,7.5183,3.3062,0.0040
0.02,5.3360,-3.4994,0.3302,2.0339,6.4132,-3.4259,0.3360,2.1000,7.0000,0.0000,0.3418,2.1661,7.5868,3.4258,0.0051
0.02,5.3808,-3.4992,0.3734,2.1608,6.3428,-3.5194,0.3808,2.2400,7.0000,0.0000,0.3882,2.3192,7.6572,3.5193,0.0066
0.02,5.4284,-3.4988,0.4192,2.2862,6.2711,-3.5857,0.4284,2.3800,7.0000,0.0000,0.4376,2.4738,7.7289,3.5855,0.0082
0.02,5.4788,-3.4983,0.4674,2.4102,6.1986,-3.6238,0.4788,2.5200,7.0000,0.0000,0.4902,2.6298,7.8014,3.6236,0.0102
0.02,5.5320,-3.4977,0.5180,2.5327,6.1260,-3.6328,0.5320,2.6600,7.0000,0.0000,0.5460,2.7873,7.8740,3.6326,0.0124
0.02,5.5880,-3.4970,0.5711,2.6538,6.0537,-3.6114,0.5880,2.8000,7.0000,0.0000,0.6049,2.9462,7.9462,3.6111,0.0150
0.02,5.6468,-3.4960,0.6266,2.7734,5.9826,-3.5584,0.6468,2.9400,7.0000,0.0000,0.6670,3.1066,8.0174,3.5581,0.0180
0.02,5.7084,-3.4948,0.6844,2.8917,5.9131,-3.4723,0.7084,3.0800,7.0000,0.0000,0.7324,3.2683,8.0868,3.4719,0.0213
0.02,5.7727,-3.4933,0.7446,3.0086,5.8461,-3.3513,0.7728,3.2200,7.0000,0.0000,0.8010,3.4314,8.1539,3.3508,0.0251
0.02,5.8399,-3.4915,0.8070,3.1242,5.7822,-3.1935,0.8400,3.3600,7.0000,0.0000,0.8730,3.5958,8.2177,3.1929,0.0293
0.02,5.9099,-3.4893,0.8718,3.2387,5.7223,-2.9967,0.9100,3.5000,7.0000,0.0000,0.9482,3.7613,8.2776,2.9961,0.0339
0.02,5.9826,-3.4866,0.9389,3.3520,5.6671,-2.7584,0.9828,3.6400,7.0000,0.0000,1.0267,3.9280,8.3328,2.7577,0.0391
0.02,6.0582,-3.4834,1.0081,3.4644,5.6176,-2.4760,1.0584,3.7800,7.0000,0.0000,1.1087,4.0956,8.3823,2.4752,0.0447
0.02,6.1365,-3.4797,1.0797,3.5759,5.5747,-2.1468,1.1368,3.9200,7.0000,0.0000,1.1939,4.2641,8.4252,2.1459,0.0508
0.02,6.2176,-3.4753,1.1534,3.6867,5.5393,-1.7680,1.2180,4.0600,7.0000,0.0000,1.2826,4.4333,8.4606,1.7671,0.0574
0.02,6.3014,-3.4702,1.2293,3.7969,5.5126,-1.3370,1.3020,4.2000,7.0000,0.0000,1.3747,4.6031,8.4873,1.3360,0.0646
0.02,6.3880,-3.4643,1.3075,3.9068,5.4955,-0.8516,1.3888,4.3400,7.0000,0.0000,1.4701,4.7732,8.5043,0.8505,0.0723
0.02,6.4773,-3.4574,1.3878,4.0166,5.4893,-0.3100,1.4784,4.4800,7.0000,0.0000,1.5690,4.9434,8.5105,0.3090,0.0805
0.02,6.5694,-3.4496,1.4703,4.1265,5.4951,0.2884,1.5708,4.6200,7.0000,0.0000,1.6713,5.1135,8.5047,-0.2895,0.0893
0.02,6.6642,-3.4407,1.5551,4.2368,5.5140,0.9434,1.6660,4.7600,7.0000,0.0000,1.7769,5.2832,8.4858,-0.9444,0.0986
0.02,6.7617,-3.4305,1.6420,4.3477,5.5470,1.6530,1.7640,4.9000,7.0000,0.0000,1.8860,5.4522,8.4527,-1.6539,0.1084
0.02,6.8618,-3.4191,1.7312,4.4596,5.5953,2.4137,1.8648,5.0400,7.0000,0.0000,1.9984,5.6203,8.4044,-2.4144,0.1187
0.02,6.9646,-3.4063,1.8227,4.5728,5.6597,3.2195,1.9684,5.1800,7.0000,0.0000,2.1141,5.7871,8.3400,-3.2201,0.1295
0.02,7.0700,-3.3920,1.9164,4.6877,5.7409,4.0623,2.0748,5.3200,7.0000,0.0000,2.2332,5.9523,8.2588,-4.0627,0.1408
0.02,7.1781,-3.3760,2.0125,4.8044,5.8396,4.9314,2.1840,5.4600,7.0000,0.0000,2.3555,6.1155,8.1601,-4.9315,0.1524
0.02,7.2887,-3.3583,2.1110,4.9236,5.9558,5.8137,2.2960,5.6000,7.0000,0.0000,2.4810,6.2764,8.0439,-5.8135,0.1645
0.02,7.4018,-3.3388,2.2119,5.0454,6.0897,6.6935,2.4108,5.7400,7.0000,0.0000,2.6097,6.4346,7.9100,-6.6929,0.1768
0.02,7.5174,-3.3174,2.3153,5.1702,6.2408,7.5530,2.5284,5.8800,7.0000,0.0000,2.7415,6.5897,7.7590,-7.5520,0.1894
0.02,7.6355,-3.2940,2.4213,5.2983,6.4082,8.3730,2.6488,6.0200,7.0000,0.0000,2.8763,6.7416,7.5915,-8.3716,0.2022
0.02,7.7561,-3.2685,2.5299,5.4302,6.5909,9.1332,2.7720,6.1600,7.0000,0.0000,3.0141,6.8898,7.4089,-9.1314,0.2152
0.02,7.8790,-3.2407,2.6412,5.5659,6.7872,9.8132,2.8980,6.3000,7.0000,0.0000,3.1548,7.0340,7.2127,-9.8110,0.2283
0.02,8.0042,-3.2108,2.7553,5.7058,6.9950,10.3934,3.0268,6.4400,7.0000,0.0000,3.2983,7.1741,7.0049,-10.3909,0.2413
0.02,8.1318,-3.1785,2.8723,5.8500,7.2121,10.8558,3.1584,6.5800,7.0000,0.0000,3.4445,7.3099,6.7878,-10.8530,0.2543
0.02,8.2617,-3.1438,2.9923,5.9988,7.4358,11.1849,3.2928,6.7200,7.0000,0.0000,3.5933,7.4411,6.5642,-11.1819,0.2671
0.02,8.3938,-3.1068,3.1153,6.1520,7.6632,11.3683,3.4300,6.8600,7.0000,0.0000,3.7447,7.5679,6.3369,-11.3652,0.2797
0.02,8.5281,-3.0673,3.2415,6.3098,7.8911,11.3970,3.5700,7.0000,7.0000,0.0000,3.8985,7.6901,6.1090,-11.3939,0.2920
0.02,8.6646,-3.0254,3.3710,6.4722,8.1165,11.2656,3.7128,7.1400,7.0000,0.0000,4.0546,7.8077,5.8837,-11.2626,0.3038
0.02,8.8033,-2.9810,3.5037,6.6389,8.3359,10.9720,3.8584,7.2800,7.0000,0.0000,4.2130,7.9210,5.6644,-10.9693,0.3152
0.02,8.9441,-2.9342,3.6399,6.8098,8.5462,10.5167,4.0068,7.4200,7.0000,0.0000,4.3736,8.0301,5.4541,-10.5142,0.3261
0.02,9.0871,-2.8851,3.7796,6.9847,8.7443,9.9017,4.1580,7.5600,7.0000,0.0000,4.5363,8.1352,5.2561,-9.8997,0.3363
0.02,9.2322,-2.8335,3.9229,7.1632,8.9269,9.1299,4.3120,7.7000,7.0000,0.0000,4.7011,8.2367,5.0735,-9.1283,0.3459
0.02,9.3795,-2.7797,4.0698,7.3451,9.0909,8.2032,4.4688,7.8400,7.0000,0.0000,4.8678,8.3349,4.9095,-8.2023,0.3547
0.02,9.5237,-2.7257,4.2151,7.2646,-4.0221,-655.6525,4.6228,7.7000,-7.0000,0.0000,5.0305,8.1353,-9.9773,-744.3367,0.3624
0.02,9.6649,-2.6716,4.3587,7.1810,-4.1792,-7.8548,4.7740,7.5600,-7.0000,0.0000,5.1893,7.9389,-9.8203,7.8491,0.3691
0.02,9.8031,-2.6176,4.5006,7.0940,-4.3520,-8.6408,4.9224,7.4200,-7.0000,0.0000,5.3442,7.7460,-9.6476,8.6358,0.3749
0.02,9.9385,-2.5640,4.6407,7.0033,-4.5361,-9.2026,5.0680,7.2800,-7.0000,0.0000,5.4953,7.5567,-9.4636,9.1983,0.3799
0.02,10.0710,-2.5107,4.7788,6.9087,-4.7276,-9.5755,5.2108,7.1400,-7.0000,0.0000,5.6427,7.3713,-9.2722,9.5718,0.3840
0.02,10.2007,-2.4581,4.9150,6.8103,-4.9234,-9.7897,5.3508,7.0000,-7.0000,0.0000,5.7865,7.1897,-9.0764,9.7866,0.3873
0.02,10.3277,-2.4061,5.0492,6.7078,-5.1208,-9.8706,5.4880,6.8600,-7.0000,0.0000,5.9268,7.0122,-8.8791,9.8682,0.3900
0.02,10.4519,-2.3548,5.1812,6.6015,-5.3176,-9.8395,5.6224,6.7200,-7.0000,0.0000,6.0635,6.8385,-8.6823,9.8376,0.3921
0.02,10.5735,-2.3044,5.3110,6.4912,-5.5119,-9.7134,5.7540,6.5800,-7.0000,0.0000,6.1969,6.6688,-8.4881,9.7119,0.3937
0.02,10.6924,-2.2550,5.4386,6.3772,-5.7020,-9.5063,5.8828,6.4400,-7.0000,0.0000,6.3270,6.5028,-8.2980,9.5052,0.3948
0.02,10.8087,-2.2064,5.5638,6.2595,-5.8866,-9.2296,6.0088,6.3000,-7.0000,0.0000,6.4538,6.3405,-8.1134,9.2288,0.3956
0.02,10.9224,-2.1589,5.6865,6.1382,-6.0644,-8.8927,6.1320,6.1600,-7.0000,0.0000,6.5774,6.1818,-7.9356,8.8922,0.3960
0.02,11.0334,-2.1125,5.8068,6.0135,-6.2345,-8.5036,6.2524,6.0200,-7.0000,0.0000,6.6980,6.0265,-7.7655,8.5033,0.3961
0.02,11.1419,-2.0671,5.9245,5.8856,-6.3959,-8.0692,6.3700,5.8800,-7.0000,0.0000,6.8154,5.8744,-7.6041,8.0690,0.3960
0.02,11.2479,-2.0229,6.0396,5.7546,-6.5478,-7.5956,6.4848,5.7400,-7.0000,0.0000,6.9299,5.7254,-7.4522,7.5955,0.3957
0.02,11.3512,-1.9797,6.1520,5.6208,-6.6896,-7.0887,6.5968,5.6000,-7.0000,0.0000,7.0415,5.5792,-7.3104,7.0887,0.3953
0.02,11.4520,-1.9377,6.2617,5.4844,-6.8207,-6.5539,6.7060,5.4600,-7.0000,0.0000,7.1502,5.4356,-7.1793,6.5540,0.3949
0.02,11.5502,-1.8968,6.3686,5.3456,-6.9406,-5.9968,6.8124,5.3200,-7.0000,0.0000,7.2561,5.2944,-7.0594,5.9968,0.3944
0.02,11.6459,-1.8570,6.4727,5.2046,-7.0490,-5.4225,6.9160,5.1800,-7.0000,0.0000,7.3592,5.1554,-6.9510,5.4226,0.3940
0.02,11.7390,-1.8183,6.5740,5.0617,-7.1458,-4.8365,7.0168,5.0400,-7.0000,0.0000,7.4596,5.0183,-6.8542,4.8365,0.3936
0.02,11.8295,-1.7807,6.6723,4.9171,-7.2306,-4.2439,7.1148,4.9000,-7.0000,0.0000,7.5573,4.8829,-6.7694,4.2439,0.3933
0.02,11.9174,-1.7443,6.7677,4.7710,-7.3036,-3.6499,7.2100,4.7600,-7.0000,0.0000,7.6522,4.7490,-6.6964,3.6498,0.3931
0.02,12.0000,-1.7100,6.8572,4.4747,-14.8164,-375.6382,7.2994,4.6200,-7.0000,0.0000,7.7416,4.4672,-14.0872,-369.5415,0.3931
0.02,12.0000,-1.7100,6.8572,0.0000,-223.7347,-10445.9168,7.2994,4.4800,-7.0000,0.0000,7.7416,0.0000,-223.3617,-10463.7239,0.3931
0.02,12.0831,-1.6755,6.9470,4.4905,224.5230,22412.8868,7.3894,4.5000,7.0000,0.0000,7.8318,4.5095,225.4770,22441.9336,0.3932
0.02,12.1663,-1.6410,7.0362,4.4581,-1.6200,-11307.1478,7.4794,4.5000,7.0000,0.0000,7.9226,4.5419,1.6200,-11192.8526,0.3940
0.02,12.2493,-1.6064,7.1243,4.4066,-2.5725,-47.6251,7.5694,4.5000,7.0000,0.0000,8.0145,4.5934,2.5724,47.6235,0.3956
0.02,12.3323,-1.5716,7.2111,4.3370,-3.4790,-45.3277,7.6594,4.5000,7.0000,0.0000,8.1077,4.6630,3.4789,45.3245,0.3985
0.02,12.4152,-1.5365,7.2961,4.2497,-4.3643,-44.2647,7.7494,4.5000,7.0000,0.0000,8.2027,4.7502,4.3641,44.2593,0.4030
0.02,12.4979,-1.5010,7.3789,4.1446,-5.2577,-44.6709,7.8394,4.5000,7.0000,0.0000,8.2999,4.8554,5.2574,44.6627,0.4093
0.02,12.5803,-1.4648,7.4594,4.0207,-6.1928,-46.7517,7.9294,4.5000,7.0000,0.0000,8.3994,4.9792,6.1922,46.7400,0.4178
0.02,12.6624,-1.4279,7.5369,3.8766,-7.2070,-50.7107,8.0194,4.5000,7.0000,0.0000,8.5019,5.1234,7.2060,50.6942,0.4289
0.02,12.7440,-1.3899,7.6111,3.7097,-8.3423,-56.7653,8.1094,4.5000,7.0000,0.0000,8.6077,5.2902,8.3409,56.7426,0.4429
0.02,12.8250,-1.3506,7.6814,3.5168,-9.6452,-65.1454,8.1994,4.5000,7.0000,0.0000,8.7174,5.4830,9.6432,65.1140,0.4604
0.02,12.9052,-1.3098,7.7473,3.2935,-11.1663,-76.0575,8.2894,4.5000,7.0000,0.0000,8.8315,5.7063,11.1634,76.0140,0.4819
0.02,12.9844,-1.2671,7.8080,3.0344,-12.9581,-89.5875,8.3794,4.5000,7.0000,0.0000,8.9508,5.9654,12.9540,89.5273,0.5079
0.02,13.0623,-1.2221,7.8626,2.7330,-15.0679,-105.4907,8.4694,4.5000,7.0000,0.0000,9.0761,6.2666,15.0621,105.4074,0.5393
0.02,13.1387,-1.1745,7.9103,2.3825,-17.5235,-122.7784,8.5594,4.5000,7.0000,0.0000,9.2085,6.6169,17.5154,122.6640,0.5770
0.02,13.2130,-1.1238,7.9498,1.9765,-20.3031,-138.9796,8.6494,4.5000,7.0000,0.0000,9.3489,7.0228,20.2919,138.8253,0.6218
0.02,13.2848,-1.0695,7.9800,1.5108,-23.2823,-148.9606,8.7394,4.5000,7.0000,0.0000,9.4987,7.4881,23.2671,148.7597,0.6750
0.02,13.3533,-1.0111,7.9998,0.9878,-26.1503,-143.4014,8.8294,4.5000,7.0000,0.0000,9.6589,8.0107,26.1303,143.1583,0.7374
0.02,13.4177,-0.9483,8.0082,0.4217,-28.3056,-107.7668,8.9194,4.5000,7.0000,0.0000,9.8304,8.5763,28.2807,107.5199,0.8099
0.02,13.4771,-0.8807,8.0113,0.1542,-13.3747,746.5454,9.0094,4.5000,7.0000,0.0000,10.0135,9.1516,28.7626,24.0936,0.8927
0.02,13.5303,-0.8082,8.0250,0.6824,26.4099,1989.2306,9.0994,4.5000,7.0000,0.0000,10.2071,9.6792,26.3810,-119.0802,0.9848
0.02,13.5763,-0.7308,8.0467,1.0864,20.2002,-310.4854,9.1894,4.5000,7.0000,0.0000,10.4087,10.0827,20.1746,-310.3169,1.0841
0.02,13.6142,-0.6493,8.0725,1.2907,10.2164,-499.1860,9.2794,4.5000,7.0000,0.0000,10.6144,10.2868,10.2027,-498.5936,1.1871
0.02,13.6436,-0.5642,8.0975,1.2523,-1.9216,-606.9044,9.3694,4.5000,7.0000,0.0000,10.8194,10.2484,-1.9190,-606.0884,1.2893
0.02,13.6643,-0.4767,8.1172,0.9821,-13.5118,-579.5076,9.4594,4.5000,7.0000,0.0000,11.0190,9.9785,-13.4939,-578.7439,1.3868
0.02,13.6767,-0.3876,8.1280,0.5390,-22.1529,-432.0552,9.5494,4.5000,7.0000,0.0000,11.2097,9.5360,-22.1256,-431.5846,1.4764
0.02,13.6815,-0.2977,8.1281,0.0041,-26.7446,-229.5873,9.6394,4.5000,7.0000,0.0000,11.3897,8.9993,-26.8330,-235.3691,1.5564
0.02,13.6796,-0.2078,8.1393,0.5600,27.7935,2726.9090,9.7294,4.5000,7.0000,0.0000,11.5585,8.4382,-28.0574,-61.2199,1.6265
0.02,13.6718,-0.1181,8.1612,1.0990,26.9518,-42.0886,9.8194,4.5000,7.0000,0.0000,11.7164,7.8996,-26.9286,56.4375,1.6869
0.02,13.6590,-0.0290,8.1930,1.5909,24.5918,-118.0006,9.9094,4.5000,7.0000,0.0000,11.8646,7.4081,-24.5735,117.7583,1.7386
0.02,13.6420,0.0593,8.2336,2.0272,21.8177,-138.7023,9.9994,4.5000,7.0000,0.0000,12.0040,6.9721,-21.8038,138.4813,1.7826
0.02,13.6214,0.1469,8.2818,2.4093,19.1064,-135.5634,10.0894,4.5000,7.0000,0.0000,12.1359,6.5901,-19.0961,135.3853,1.8198
0.02,13.5978,0.2338,8.3366,2.7432,16.6906,-120.7932,10.1794,4.5000,7.0000,0.0000,12.2610,6.2565,-16.6830,120.6575,1.8510
0.02,13.5718,0.3199,8.3974,3.0363,14.6574,-101.6562,10.2694,4.5000,7.0000,0.0000,12.3802,5.9634,-14.6519,101.5556,1.8770
