dt,x,y,position,velocity,acceleration,jerk,heading
0.02,4.9830,-3.5850,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,4.9920,-3.5850,0.0120,0.4500,7.5022,-374.8875,0.0000
0.02,5.0070,-3.5850,0.0270,0.7502,15.0075,375.2648,0.0000
0.02,5.0280,-3.5850,0.0480,1.0505,15.0168,0.4615,0.0000
0.02,5.0550,-3.5850,0.0750,1.3511,15.0300,0.6627,0.0000
0.02,5.0881,-3.5850,0.1081,1.6521,15.0477,0.8825,0.0001
0.02,5.1271,-3.5850,0.1471,1.9535,15.0703,1.1290,0.0001
0.02,5.1723,-3.5850,0.1923,2.2555,15.0985,1.4124,0.0002
0.02,5.2234,-3.5850,0.2434,2.5581,15.1334,1.7462,0.0004
0.02,5.2807,-3.5849,0.3007,2.8617,15.1764,2.1483,0.0006
0.02,5.3440,-3.5849,0.3640,3.1662,15.2292,2.6422,0.0009
0.02,5.4134,-3.5848,0.4334,3.4721,15.2944,3.2598,0.0013
0.02,5.4890,-3.5847,0.5090,3.7796,15.3753,4.0442,0.0018
0.02,5.5708,-3.5845,0.5908,4.0892,15.4764,5.0548,0.0025
0.02,5.6588,-3.5843,0.6788,4.4012,15.6039,6.3752,0.0034
0.02,5.7532,-3.5839,0.7732,4.7166,15.7664,8.1234,0.0046
0.02,5.8539,-3.5834,0.8739,5.0361,15.9758,10.4701,0.0061
0.02,5.9611,-3.5826,0.9811,5.3611,16.2491,13.6662,0.0081
0.02,6.0750,-3.5815,1.0950,5.6933,16.6108,18.0857,0.0106
0.02,6.1956,-3.5801,1.2157,6.0352,17.0968,24.2988,0.0139
0.02,6.3234,-3.5780,1.3435,6.3904,17.7606,33.1895,0.0182
0.02,6.4587,-3.5752,1.4788,6.7641,18.6837,46.1556,0.0238
0.02,6.6019,-3.5713,1.6220,7.1640,19.9926,65.4461,0.0311
0.02,6.7539,-3.5658,1.7741,7.6017,21.8872,94.7294,0.0410
0.02,6.9156,-3.5582,1.9360,8.0955,24.6875,140.0121,0.0542
0.02,7.0887,-3.5473,2.1095,8.6736,28.9061,210.9345,0.0724
0.02,7.2756,-3.5314,2.2971,9.3804,35.3406,321.7222,0.0978
0.02,7.4799,-3.5078,2.5027,10.2822,45.0911,487.5268,0.1340
0.02,7.7063,-3.4715,2.7320,11.4634,59.0577,698.3298,0.1858
0.02,7.9594,-3.4146,2.9914,12.9711,75.3863,816.4307,0.2591
0.02,8.2335,-3.3280,3.2788,14.3710,69.9963,-269.5034,0.3547
0.02,8.5081,-3.2094,3.5780,14.9586,29.3794,-2030.8442,0.4607
0.02,8.7585,-3.0696,3.8648,14.3388,-30.9907,-3018.5058,0.5558
0.02,8.9709,-2.9270,4.1206,12.7900,-77.4417,-2322.5508,0.6232
0.02,9.1494,-2.7929,4.3438,11.1633,-81.3339,-194.6069,0.6616
0.02,9.3029,-2.6710,4.5399,9.8025,-68.0383,664.7784,0.6785
0.02,9.4393,-2.5604,4.7155,8.7804,-51.1072,846.5535,0.6823
0.02,9.5652,-2.4583,4.8776,8.1041,-33.8142,864.6525,0.6792
0.02,9.6842,-2.3629,5.0301,7.6273,-23.8390,498.7580,0.6728
0.02,9.7981,-2.2728,5.1753,7.2603,-18.3500,274.4501,0.6650
0.02,9.9079,-2.1874,5.3144,6.9523,-15.3977,147.6173,0.6569
0.02,10.0139,-2.1063,5.4479,6.6754,-13.8451,77.6293,0.6489
0.02,10.1164,-2.0292,5.5762,6.4142,-13.0617,39.1692,0.6415
0.02,10.2154,-1.9558,5.6994,6.1602,-12.7016,18.0040,0.6347
0.02,10.3108,-1.8860,5.8175,5.9087,-12.5745,6.3591,0.6286
0.02,10.4025,-1.8198,5.9307,5.6572,-12.5745,-0.0035,0.6231
0.02,10.4904,-1.7569,6.0388,5.4043,-12.6428,-3.4142,0.6183
0.02,10.5745,-1.6974,6.1418,5.1494,-12.7462,-5.1704,0.6141
0.02,10.6545,-1.6412,6.2396,4.8921,-12.8663,-6.0025,0.6104
0.02,10.7305,-1.5882,6.3322,4.6322,-12.9928,-6.3258,0.6073
0.02,10.8024,-1.5384,6.4196,4.3698,-13.1203,-6.3768,0.6046
0.02,10.8700,-1.4918,6.5017,4.1049,-13.2461,-6.2891,0.6024
0.02,10.9332,-1.4484,6.5785,3.8375,-13.3688,-6.1364,0.6005
0.02,10.9921,-1.4081,6.6498,3.5678,-13.4880,-5.9563,0.5990
0.02,11.0466,-1.3710,6.7158,3.2957,-13.6032,-5.7646,0.5978
0.02,11.0966,-1.3370,6.7762,3.0214,-13.7145,-5.5639,0.5969
0.02,11.1420,-1.3061,6.8311,2.7450,-13.8215,-5.3488,0.5962
0.02,11.1828,-1.2785,6.8804,2.4665,-13.9237,-5.1091,0.5957
0.02,11.2190,-1.2539,6.9241,2.1861,-14.0203,-4.8327,0.5953
0.02,11.2505,-1.2326,6.9622,1.9039,-14.1105,-4.5073,0.5951
0.02,11.2774,-1.2144,6.9946,1.6200,-14.1929,-4.1225,0.5949
0.02,11.2995,-1.1995,7.0213,1.3347,-14.2663,-3.6708,0.5948
0.02,11.3168,-1.1877,7.0423,1.0481,-14.3293,-3.1488,0.5948
0.02,11.3294,-1.1792,7.0575,0.7605,-14.3805,-2.5584,0.5948
0.02,11.3373,-1.1739,7.0669,0.4721,-14.4186,-1.9067,0.5948
0.02,11.3403,-1.1718,7.0706,0.1833,-14.4427,-1.2061,0.5948
