dt,x,y,position,velocity,acceleration,jerk,heading
0.02,31.0030,1.0000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,31.0120,1.0000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,31.0270,1.0000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,31.0480,1.0000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,31.0750,1.0000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,31.1080,1.0000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,31.1470,1.0000,0.1470,2.1000,15.0000,0.0000,0.0000
0.02,31.1920,1.0000,0.1920,2.4000,15.0000,0.0000,0.0000
0.02,31.2430,1.0000,0.2430,2.7000,15.0000,0.0000,0.0000
0.02,31.3000,1.0000,0.3000,3.0000,15.0000,0.0000,0.0000
0.02,31.3630,1.0000,0.3630,3.3000,15.0000,0.0000,0.0000
0.02,31.4320,1.0000,0.4320,3.6000,15.0000,0.0000,0.0000
0.02,31.5070,1.0000,0.5070,3.9000,15.0000,0.0000,0.0000
0.02,31.5880,1.0000,0.5880,4.2000,15.0000,0.0000,0.0001
0.02,31.6750,1.0000,0.6750,4.5000,15.0000,0.0000,0.0002
0.02,31.7680,1.0000,0.7680,4.8000,15.0000,0.0000,0.0004
0.02,31.8670,1.0001,0.8670,5.1000,15.0000,0.0000,0.0007
0.02,31.9720,1.0002,0.9720,5.4000,15.0000,0.0000,0.0012
0.02,32.0830,1.0004,1.0830,5.7000,15.0000,0.0000,0.0018
0.02,32.2000,1.0006,1.2000,6.0000,15.0000,0.0000,0.0028
0.02,32.3230,1.0011,1.3230,6.3000,15.0000,0.0000,0.0041
0.02,32.4520,1.0017,1.4520,6.6000,15.0000,0.0000,0.0060
0.02,32.5870,1.0027,1.5870,6.9000,15.0000,0.0000,0.0088
0.02,32.7260,1.0042,1.7260,7.0000,15.0000,0.0000,0.0126
0.02,32.8660,1.0063,1.8660,7.0000,15.0000,0.0000,0.0180
0.02,33.0059,1.0093,2.0060,7.0000,15.0000,0.0000,0.0254
0.02,33.1459,1.0135,2.1460,7.0000,15.0000,0.0000,0.0356
0.02,33.2857,1.0195,2.2860,7.0000,15.0000,0.0000,0.0498
0.02,33.4255,1.0277,2.4260,7.0000,15.0000,0.0000,0.0695
0.02,33.5650,1.0392,2.5660,7.0000,15.0000,0.0000,0.0966
0.02,33.7041,1.0552,2.7060,7.0000,15.0000,0.0000,0.1334
0.02,33.8424,1.0770,2.8460,7.0000,15.0000,0.0000,0.1808
0.02,33.9793,1.1059,2.9860,7.0000,15.0000,0.0000,0.2367
0.02,34.1144,1.1427,3.1260,7.0000,15.0000,0.0000,0.2945
0.02,34.2472,1.1868,3.2660,7.0000,15.0000,0.0000,0.3452
0.02,34.3780,1.2368,3.4060,7.0000,15.0000,0.0000,0.3828
0.02,34.5072,1.2908,3.5460,7.0000,15.0000,0.0000,0.4070
0.02,34.6353,1.3472,3.6860,7.0000,15.0000,0.0000,0.4204
0.02,34.7629,1.4048,3.8260,7.0000,15.0000,0.0000,0.4264
0.02,34.8903,1.4628,3.9660,7.0000,15.0000,0.0000,0.4278
0.02,35.0178,1.5208,4.1060,7.0000,15.0000,0.0000,0.4264
0.02,35.1453,1.5785,4.2460,7.0000,15.0000,0.0000,0.4235
0.02,35.2730,1.6358,4.3860,7.0000,15.0000,0.0000,0.4198
0.02,35.4010,1.6926,4.5260,7.0000,15.0000,0.0000,0.4157
0.02,35.5266,1.7478,4.6632,6.7172,-14.1392,0.0000,0.4116
0.02,35.6472,1.8001,4.7947,6.4344,-14.1392,0.0000,0.4077
0.02,35.7629,1.8498,4.9205,6.1516,-14.1392,0.0000,0.4042
0.02,35.8735,1.8969,5.0408,5.8689,-14.1392,0.0000,0.4011
0.02,35.9790,1.9415,5.1553,5.5861,-14.1392,0.0000,0.3983
0.02,36.0794,1.9836,5.2642,5.3033,-14.1392,0.0000,0.3958
0.02,36.1747,2.0233,5.3674,5.0205,-14.1392,0.0000,0.3936
0.02,36.2649,2.0607,5.4650,4.7377,-14.1392,0.0000,0.3918
0.02,36.3498,2.0957,5.5569,4.4549,-14.1392,0.0000,0.3902
0.02,36.4297,2.1285,5.6432,4.1722,-14.1392,0.0000,0.3888
0.02,36.5043,2.1590,5.7238,3.8894,-14.1392,0.0000,0.3877
0.02,36.5737,2.1873,5.7988,3.6066,-14.1392,0.0000,0.3868
0.02,36.6379,2.2134,5.8681,3.3238,-14.1392,0.0000,0.3860
0.02,36.6968,2.2373,5.9317,3.0410,-14.1392,0.0000,0.3854
0.02,36.7506,2.2591,5.9897,2.7582,-14.1392,0.0000,0.3850
0.02,36.7991,2.2788,6.0421,2.4754,-14.1392,0.0000,0.3846
0.02,36.8424,2.2963,6.0888,2.1927,-14.1392,0.0000,0.3844
0.02,36.8804,2.3117,6.1298,1.9099,-14.1392,0.0000,0.3842
0.02,36.9132,2.3249,6.1651,1.6271,-14.1392,0.0000,0.3841
0.02,36.9407,2.3361,6.1949,1.3443,-14.1392,0.0000,0.3840
0.02,36.9631,2.3451,6.2189,1.0615,-14.1392,0.0000,0.3840
0.02,36.9801,2.3520,6.2373,0.7787,-14.1392,0.0000,0.3840
0.02,36.9919,2.3567,6.2501,0.4960,-14.1392,0.0000,0.3840
0.02,36.9985,2.3594,6.2572,0.2132,-14.1392,0.0000,0.3840
