dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,31.0060,1.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0000
0.02,31.0180,1.0000,0.0180,0.5992,14.9589,-2.0540,0.0180,0.6000,15.0000,0.0000,0.0180,0.6008,15.0411,2.0540,0.0000
0.02,31.0360,1.0000,0.0359,0.8972,14.9031,-2.7930,0.0360,0.9000,15.0000,0.0000,0.0361,0.9028,15.0969,2.7930,0.0001
0.02,31.0600,1.0000,0.0598,1.1935,14.8129,-4.5070,0.0600,1.2000,15.0000,0.0000,0.0602,1.2065,15.1871,4.5070,0.0002
0.02,31.0900,1.0000,0.0895,1.4874,14.6953,-5.8830,0.0900,1.5000,15.0000,0.0000,0.0905,1.5126,15.3047,5.8830,0.0004
0.02,31.1260,1.0000,0.1251,1.7784,14.5522,-7.1546,0.1260,1.8000,15.0000,0.0000,0.1269,1.8216,15.4478,7.1546,0.0008
0.02,31.1680,1.0001,0.1664,2.0662,14.3862,-8.3003,0.1680,2.1000,15.0000,0.0000,0.1696,2.1338,15.6138,8.3002,0.0014
0.02,31.2160,1.0002,0.2134,2.3502,14.2001,-9.3009,0.2160,2.4000,15.0000,0.0000,0.2186,2.4498,15.7999,9.3007,0.0023
0.02,31.2700,1.0003,0.2660,2.6301,13.9973,-10.1398,0.2700,2.7000,15.0000,0.0000,0.2740,2.7699,16.0026,10.1395,0.0035
0.02,31.3300,1.0006,0.3242,2.9057,13.7813,-10.8026,0.3300,3.0000,15.0000,0.0000,0.3358,3.0943,16.2187,10.8021,0.0052
0.02,31.3960,1.0010,0.3877,3.1769,13.5558,-11.2765,0.3960,3.3000,15.0000,0.0000,0.4043,3.4231,16.4442,11.2759,0.0074
0.02,31.4680,1.0016,0.4566,3.4434,13.3248,-11.5500,0.4680,3.6000,15.0000,0.0000,0.4794,3.7566,16.6752,11.5491,0.0102
0.02,31.5460,1.0025,0.5307,3.7052,13.0925,-11.6116,0.5460,3.9000,15.0000,0.0000,0.5613,4.0948,16.9074,11.6102,0.0136
0.02,31.6300,1.0039,0.6099,3.9625,12.8636,-11.4488,0.6300,4.2000,15.0000,0.0000,0.6501,4.4375,17.1363,11.4469,0.0179
0.02,31.7200,1.0057,0.6942,4.2153,12.6426,-11.0478,0.7200,4.5000,15.0000,0.0000,0.7458,4.7847,17.3572,11.0452,0.0229
0.02,31.8159,1.0082,0.7835,4.4640,12.4348,-10.3920,0.8160,4.8000,15.0000,0.0000,0.8485,5.1360,17.5650,10.3887,0.0289
0.02,31.9179,1.0115,0.8777,4.7089,12.2455,-9.4622,0.9180,5.1000,15.0000,0.0000,0.9583,5.4910,17.7542,9.4582,0.0358
0.02,32.0258,1.0158,0.9767,4.9506,12.0808,-8.2366,1.0260,5.4000,15.0000,0.0000,1.0753,5.8494,17.9188,8.2318,0.0438
0.02,32.1397,1.0213,1.0805,5.1895,11.9470,-6.6916,1.1400,5.7000,15.0000,0.0000,1.1995,6.2105,18.0525,6.6861,0.0529
0.02,32.2595,1.0282,1.1890,5.4265,11.8509,-4.8040,1.2600,6.0000,15.0000,0.0000,1.3310,6.5734,18.1485,4.7979,0.0631
0.02,32.3852,1.0369,1.3023,5.6625,11.7998,-2.5542,1.3860,6.3000,15.0000,0.0000,1.4697,6.9374,18.1994,2.5477,0.0744
0.02,32.5167,1.0475,1.4202,5.8985,11.8012,0.0695,1.5180,6.6000,15.0000,0.0000,1.6158,7.3014,18.1979,-0.0761,0.0869
0.02,32.6541,1.0604,1.5430,6.1358,11.8625,3.0654,1.6560,6.9000,15.0000,0.0000,1.7690,7.6641,18.1365,-3.0716,0.1005
0.02,32.7933,1.0754,1.6669,6.1988,3.1514,-435.5539,1.7960,7.0000,15.0000,0.0000,1.9251,7.8011,6.8480,-564.4251,0.1147
0.02,32.9323,1.0925,1.7905,6.1791,-0.9828,-206.7091,1.9360,7.0000,15.0000,0.0000,2.0815,7.8207,0.9825,-293.2751,0.1293
0.02,33.0710,1.1116,1.9138,6.1658,-0.6661,15.8317,2.0760,7.0000,15.0000,0.0000,2.2382,7.8340,0.6659,-15.8271,0.1442
0.02,33.2094,1.1327,2.0370,6.1587,-0.3579,15.4136,2.2160,7.0000,15.0000,0.0000,2.3950,7.8412,0.3578,-15.4089,0.1591
