dt,x,y,position,velocity,acceleration,jerk,heading
0.02,31.0030,-0.1250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,31.0120,-0.1250,0.0120,0.4500,7.4997,-375.0160,0.0000
0.02,31.0270,-0.1250,0.0270,0.7500,14.9990,374.9657,0.0000
0.02,31.0480,-0.1250,0.0480,1.0499,14.9980,-0.0495,0.0000
0.02,31.0750,-0.1250,0.0750,1.3499,14.9970,-0.0498,0.0000
0.02,31.1080,-0.1250,0.1080,1.6498,14.9964,-0.0308,0.0000
0.02,31.1470,-0.1250,0.1470,1.9497,14.9966,0.0126,0.0000
0.02,31.1920,-0.1250,0.1920,2.2497,14.9984,0.0859,0.0000
0.02,31.2430,-0.1250,0.2430,2.5497,15.0023,0.1953,0.0000
0.02,31.3000,-0.1250,0.3000,2.8499,15.0092,0.3483,0.0000
0.02,31.3630,-0.1250,0.3630,3.1503,15.0203,0.5550,0.0000
0.02,31.4320,-0.1250,0.4320,3.4511,15.0369,0.8298,0.0000
0.02,31.5070,-0.1250,0.5070,3.7523,15.0608,1.1925,0.0000
0.02,31.5881,-0.1250,0.5881,4.0542,15.0942,1.6724,0.0001
0.02,31.6753,-0.1250,0.6753,4.3570,15.1405,2.3118,0.0002
0.02,31.7685,-0.1250,0.7685,4.6611,15.2039,3.1736,0.0004
0.02,31.8678,-0.1249,0.8678,4.9669,15.2910,4.3510,0.0007
0.02,31.9733,-0.1248,0.9733,5.2751,15.4107,5.9849,0.0012
0.02,32.0851,-0.1246,1.0851,5.5866,15.5765,8.2919,0.0018
0.02,32.2031,-0.1244,1.2031,5.9028,15.8087,11.6098,0.0028
0.02,32.3276,-0.1239,1.3276,6.2256,16.1382,16.4778,0.0041
0.02,32.4588,-0.1233,1.4588,6.5578,16.6137,23.7736,0.0060
0.02,32.5969,-0.1223,1.5969,6.9041,17.3129,34.9591,0.0088
0.02,32.7402,-0.1207,1.7402,7.1677,13.1800,-206.6461,0.0126
0.02,32.8862,-0.1185,1.8863,7.3017,6.6996,-324.0196,0.0180
0.02,33.0345,-0.1153,2.0346,7.4158,5.7045,-49.7519,0.0254
0.02,33.1859,-0.1107,2.1861,7.5746,7.9419,111.8701,0.0356
0.02,33.3417,-0.1041,2.3420,7.7968,11.1113,158.4665,0.0498
0.02,33.5036,-0.0946,2.5041,8.1065,15.4807,218.4706,0.0695
0.02,33.6736,-0.0805,2.6747,8.5279,21.0703,279.4788,0.0966
0.02,33.8537,-0.0598,2.8560,9.0668,26.9487,293.9205,0.1334
0.02,34.0447,-0.0297,3.0493,9.6655,29.9322,149.1755,0.1808
0.02,34.2432,0.0123,3.2523,10.1466,24.0552,-293.8506,0.2367
0.02,34.4410,0.0661,3.4573,10.2494,5.1406,-945.7285,0.2945
0.02,34.6279,0.1282,3.6542,9.8481,-20.0636,-1260.2080,0.3452
0.02,34.7982,0.1932,3.8366,9.1168,-36.5656,-825.1011,0.3828
0.02,34.9525,0.2577,4.0037,8.3573,-37.9781,-70.6239,0.4070
0.02,35.0944,0.3201,4.1588,7.7536,-30.1832,389.7428,0.4204
0.02,35.2282,0.3805,4.3056,7.3396,-20.6994,474.1911,0.4264
0.02,35.3571,0.4392,4.4471,7.0787,-13.0458,382.6772,0.4278
0.02,35.4831,0.4965,4.5856,6.9232,-7.7746,263.5604,0.4264
0.02,35.6076,0.5529,4.7223,6.8354,-4.3921,169.1283,0.4235
0.02,35.7315,0.6085,4.8581,6.7896,-2.2888,105.1639,0.4198
0.02,35.8553,0.6634,4.9935,6.7696,-0.9982,64.5310,0.4157
0.02,35.9767,0.7167,5.1261,6.6287,-7.0443,-302.3081,0.4116
0.02,36.0933,0.7674,5.2533,6.3601,-13.4321,-319.3886,0.4077
0.02,36.2053,0.8155,5.3752,6.0955,-13.2268,10.2647,0.4042
0.02,36.3127,0.8612,5.4918,5.8324,-13.1553,3.5752,0.4011
0.02,36.4153,0.9046,5.6032,5.5693,-13.1549,0.0177,0.3983
0.02,36.5131,0.9456,5.7093,5.3055,-13.1918,-1.8433,0.3958
0.02,36.6062,0.9844,5.8101,5.0406,-13.2474,-2.7785,0.3936
0.02,36.6944,1.0209,5.9056,4.7743,-13.3116,-3.2098,0.3918
0.02,36.7777,1.0552,5.9958,4.5067,-13.3790,-3.3700,0.3902
0.02,36.8561,1.0874,6.0805,4.2378,-13.4468,-3.3887,0.3888
0.02,36.9296,1.1175,6.1599,3.9675,-13.5135,-3.3374,0.3877
0.02,36.9980,1.1454,6.2338,3.6960,-13.5786,-3.2544,0.3868
0.02,37.0615,1.1712,6.3022,3.4231,-13.6418,-3.1583,0.3860
0.02,37.1198,1.1949,6.3652,3.1491,-13.7029,-3.0564,0.3854
0.02,37.1731,1.2165,6.4227,2.8738,-13.7619,-2.9489,0.3850
0.02,37.2212,1.2360,6.4747,2.5975,-13.8185,-2.8321,0.3846
0.02,37.2642,1.2534,6.5211,2.3200,-13.8725,-2.6998,0.3844
0.02,37.3021,1.2687,6.5619,2.0416,-13.9234,-2.5451,0.3842
0.02,37.3348,1.2819,6.5971,1.7621,-13.9706,-2.3614,0.3841
0.02,37.3622,1.2930,6.6268,1.4819,-14.0135,-2.1431,0.3840
0.02,37.3845,1.3020,6.6508,1.2008,-14.0512,-1.8868,0.3840
0.02,37.4016,1.3089,6.6692,0.9192,-14.0831,-1.5914,0.3840
0.02,37.4134,1.3137,6.6819,0.6370,-14.1082,-1.2590,0.3840
0.02,37.4199,1.3163,6.6890,0.3545,-14.1261,-0.8946,0.3840
