dt,x,y,position,velocity,acceleration,jerk,heading
0.02,36.0030,-4.9800,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,36.0120,-4.9800,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,36.0270,-4.9800,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,36.0480,-4.9800,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,36.0750,-4.9800,0.0750,1.5000,15.0000,0.0000,-0.0001
0.02,36.1080,-4.9800,0.1080,1.8000,15.0000,0.0000,-0.0002
0.02,36.1470,-4.9800,0.1470,2.1000,15.0000,0.0000,-0.0005
0.02,36.1920,-4.9800,0.1920,2.4000,15.0000,0.0000,-0.0008
0.02,36.2430,-4.9801,0.2430,2.7000,15.0000,0.0000,-0.0012
0.02,36.3000,-4.9802,0.3000,3.0000,15.0000,0.0000,-0.0019
0.02,36.3630,-4.9803,0.3630,3.3000,15.0000,0.0000,-0.0028
0.02,36.4320,-4.9806,0.4320,3.6000,15.0000,0.0000,-0.0041
0.02,36.5070,-4.9809,0.5070,3.9000,15.0000,0.0000,-0.0059
0.02,36.5880,-4.9815,0.5880,4.2000,15.0000,0.0000,-0.0084
0.02,36.6750,-4.9824,0.6750,4.5000,15.0000,0.0000,-0.0122
0.02,36.7680,-4.9838,0.7680,4.8000,15.0000,0.0000,-0.0179
0.02,36.8670,-4.9859,0.8670,5.1000,15.0000,0.0000,-0.0258
0.02,36.9719,-4.9891,0.9720,5.4000,15.0000,0.0000,-0.0329
0.02,37.0770,-4.9925,1.0772,5.1164,-14.1800,0.0000,-0.0303
0.02,37.1765,-4.9951,1.1767,4.8328,-14.1800,0.0000,-0.0222
0.02,37.2703,-4.9969,1.2705,4.5492,-14.1800,0.0000,-0.0153
0.02,37.3584,-4.9980,1.3586,4.2656,-14.1800,0.0000,-0.0106
0.02,37.4409,-4.9987,1.4411,3.9820,-14.1800,0.0000,-0.0074
0.02,37.5177,-4.9992,1.5179,3.6984,-14.1800,0.0000,-0.0052
0.02,37.5888,-4.9995,1.5890,3.4148,-14.1800,0.0000,-0.0036
0.02,37.6543,-4.9997,1.6545,3.1312,-14.1800,0.0000,-0.0025
0.02,37.7141,-4.9998,1.7143,2.8476,-14.1800,0.0000,-0.0017
0.02,37.7682,-4.9999,1.7684,2.5640,-14.1800,0.0000,-0.0011
0.02,37.8166,-5.0000,1.8168,2.2804,-14.1800,0.0000,-0.0007
0.02,37.8594,-5.0000,1.8596,1.9968,-14.1800,0.0000,-0.0004
0.02,37.8965,-5.0000,1.8967,1.7132,-14.1800,0.0000,-0.0002
0.02,37.9279,-5.0000,1.9281,1.4296,-14.1800,0.0000,-0.0001
0.02,37.9537,-5.0000,1.9539,1.1460,-14.1800,0.0000,0.0000
0.02,37.9738,-5.0000,1.9740,0.8624,-14.1800,0.0000,0.0000
0.02,37.9882,-5.0000,1.9884,0.5788,-14.1800,0.0000,0.0000
0.02,37.9969,-5.0000,1.9971,0.2952,-14.1800,0.0000,0.0000
0.02,38.0000,-5.0000,2.0002,0.0116,-14.1800,0.0000,0.0000
