dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,36.0028,-4.9800,0.0028,0.1400,7.0000,0.0000,0.0028,0.1400,7.0000,0.0000,0.0028,0.1400,7.0000,0.0000,0.0000
0.02,36.0084,-4.9800,0.0084,0.2803,7.0131,0.6553,0.0084,0.2800,7.0000,0.0000,0.0084,0.2797,6.9869,-0.6553,0.0000
0.02,36.0168,-4.9800,0.0168,0.4209,7.0307,0.8778,0.0168,0.4200,7.0000,0.0000,0.0168,0.4191,6.9693,-0.8778,0.0000
0.02,36.0280,-4.9800,0.0281,0.5620,7.0584,1.3890,0.0280,0.5600,7.0000,0.0000,0.0279,0.5580,6.9416,-1.3890,-0.0001
0.02,36.0420,-4.9800,0.0421,0.7039,7.0936,1.7574,0.0420,0.7000,7.0000,0.0000,0.0419,0.6961,6.9064,-1.7574,-0.0001
0.02,36.0588,-4.9800,0.0591,0.8466,7.1345,2.0471,0.0588,0.8400,7.0000,0.0000,0.0585,0.8334,6.8655,-2.0471,-0.0002
0.02,36.0784,-4.9800,0.0789,0.9902,7.1794,2.2417,0.0784,0.9800,7.0000,0.0000,0.0779,0.9698,6.8206,-2.2417,-0.0004
0.02,36.1008,-4.9800,0.1016,1.1347,7.2259,2.3264,0.1008,1.1200,7.0000,0.0000,0.1000,1.1053,6.7741,-2.3264,-0.0007
0.02,36.1260,-4.9800,0.1272,1.2801,7.2717,2.2893,0.1260,1.2600,7.0000,0.0000,0.1248,1.2399,6.7283,-2.2893,-0.0010
0.02,36.1540,-4.9801,0.1557,1.4264,7.3141,2.1210,0.1540,1.4000,7.0000,0.0000,0.1523,1.3736,6.6859,-2.1210,-0.0015
0.02,36.1848,-4.9801,0.1872,1.5734,7.3504,1.8156,0.1848,1.5400,7.0000,0.0000,0.1824,1.5066,6.6496,-1.8156,-0.0021
0.02,36.2184,-4.9802,0.2216,1.7210,7.3778,1.3706,0.2184,1.6800,7.0000,0.0000,0.2152,1.6390,6.6222,-1.3707,-0.0028
