dt,x,y,position,velocity,acceleration,jerk,heading
0.02,36.0030,-6.1050,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,36.0120,-6.1050,0.0120,0.4498,7.4916,-375.4184,0.0000
0.02,36.0270,-6.1050,0.0270,0.7493,14.9725,374.0433,0.0000
0.02,36.0479,-6.1050,0.0479,1.0481,14.9407,-1.5908,0.0000
0.02,36.0749,-6.1050,0.0749,1.3461,14.8977,-2.1498,-0.0001
0.02,36.1077,-6.1050,0.1077,1.6429,14.8438,-2.6932,-0.0002
0.02,36.1465,-6.1050,0.1465,1.9385,14.7780,-3.2909,-0.0005
0.02,36.1911,-6.1050,0.1911,2.2324,14.6969,-4.0567,-0.0008
0.02,36.2416,-6.1051,0.2416,2.5243,14.5936,-5.1636,-0.0012
0.02,36.2979,-6.1052,0.2979,2.8134,14.4560,-6.8817,-0.0019
0.02,36.3599,-6.1053,0.3599,3.0987,14.2628,-9.6602,-0.0028
0.02,36.4274,-6.1056,0.4274,3.3782,13.9769,-14.2944,-0.0041
0.02,36.5004,-6.1059,0.5004,3.6488,13.5318,-22.2528,-0.0059
0.02,36.5785,-6.1065,0.5785,3.9050,12.8073,-36.2262,-0.0084
0.02,36.6612,-6.1073,0.6613,4.1370,11.6013,-60.3014,-0.0122
0.02,36.7479,-6.1086,0.7479,4.3319,9.7421,-92.9567,-0.0179
0.02,36.8379,-6.1106,0.8379,4.5021,8.5096,-61.6262,-0.0258
0.02,36.9349,-6.1135,0.9350,4.8536,17.5754,453.2876,-0.0329
0.02,37.0429,-6.1170,1.0430,5.4021,27.4282,492.6441,-0.0303
0.02,37.1515,-6.1198,1.1517,5.4339,1.5910,-1291.8618,-0.0222
0.02,37.2530,-6.1217,1.2532,5.0759,-17.9014,-974.6180,-0.0153
0.02,37.3465,-6.1229,1.3467,4.6718,-20.2042,-115.1399,-0.0106
0.02,37.4325,-6.1237,1.4327,4.3034,-18.4231,89.0543,-0.0074
0.02,37.5118,-6.1242,1.5120,3.9648,-16.9265,74.8280,-0.0052
0.02,37.5847,-6.1245,1.5849,3.6450,-15.9928,46.6862,-0.0036
0.02,37.6515,-6.1247,1.6517,3.3365,-15.4227,28.5040,-0.0025
0.02,37.7122,-6.1248,1.7124,3.0353,-15.0636,17.9579,-0.0017
0.02,37.7669,-6.1249,1.7672,2.7387,-14.8269,11.8309,-0.0011
0.02,37.8159,-6.1250,1.8161,2.4455,-14.6633,8.1829,-0.0007
0.02,37.8589,-6.1250,1.8592,2.1546,-14.5443,5.9496,-0.0004
0.02,37.8963,-6.1250,1.8965,1.8655,-14.4535,4.5406,-0.0002
0.02,37.9278,-6.1250,1.9280,1.5779,-14.3812,3.6133,-0.0001
0.02,37.9536,-6.1250,1.9538,1.2914,-14.3221,2.9565,0.0000
0.02,37.9738,-6.1250,1.9740,1.0060,-14.2734,2.4319,0.0000
0.02,37.9882,-6.1250,1.9884,0.7213,-14.2345,1.9475,0.0000
0.02,37.9969,-6.1250,1.9971,0.4372,-14.2056,1.4467,0.0000
0.02,38.0000,-6.1250,2.0002,0.1534,-14.1875,0.9044,0.0000
