dt,x,y,position,velocity,acceleration,jerk,heading
0.02,10.2530,-11.2000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,10.2620,-11.2000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,10.2770,-11.2000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,10.2980,-11.2000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,10.3250,-11.2000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,10.3580,-11.2000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,10.3970,-11.2000,0.1470,2.1000,15.0000,0.0000,0.0000
0.02,10.4420,-11.2000,0.1920,2.4000,15.0000,0.0000,0.0000
0.02,10.4930,-11.2000,0.2430,2.7000,15.0000,0.0000,0.0000
0.02,10.5500,-11.2000,0.3000,3.0000,15.0000,0.0000,0.0000
0.02,10.6130,-11.2000,0.3630,3.3000,15.0000,0.0000,0.0000
0.02,10.6820,-11.2000,0.4320,3.6000,15.0000,0.0000,0.0000
0.02,10.7570,-11.2000,0.5070,3.9000,15.0000,0.0000,0.0000
0.02,10.8380,-11.2000,0.5880,4.2000,15.0000,0.0000,0.0000
0.02,10.9250,-11.2000,0.6750,4.5000,15.0000,0.0000,0.0000
0.02,11.0180,-11.2000,0.7680,4.8000,15.0000,0.0000,0.0000
0.02,11.1170,-11.2000,0.8670,5.1000,15.0000,0.0000,0.0000
0.02,11.2220,-11.2000,0.9720,5.4000,15.0000,0.0000,0.0000
0.02,11.3330,-11.2000,1.0830,5.7000,15.0000,0.0000,0.0000
0.02,11.4500,-11.2000,1.2000,6.0000,15.0000,0.0000,0.0000
0.02,11.5730,-11.2000,1.3230,6.3000,15.0000,0.0000,0.0000
0.02,11.7020,-11.2000,1.4520,6.6000,15.0000,0.0000,0.0000
0.02,11.8370,-11.2000,1.5870,6.9000,15.0000,0.0000,0.0000
0.02,11.9760,-11.2000,1.7260,7.0000,15.0000,0.0000,0.0000
0.02,12.1160,-11.2000,1.8660,7.0000,15.0000,0.0000,0.0000
0.02,12.2560,-11.2000,2.0060,7.0000,15.0000,0.0000,0.0000
0.02,12.3960,-11.2000,2.1460,7.0000,15.0000,0.0000,0.0000
0.02,12.5360,-11.2000,2.2860,7.0000,15.0000,0.0000,0.0000
0.02,12.6760,-11.2000,2.4260,7.0000,15.0000,0.0000,0.0000
0.02,12.8160,-11.2000,2.5660,7.0000,15.0000,0.0000,0.0000
0.02,12.9560,-11.2000,2.7060,7.0000,15.0000,0.0000,0.0000
0.02,13.0960,-11.2000,2.8460,7.0000,15.0000,0.0000,0.0000
0.02,13.2360,-11.2000,2.9860,7.0000,15.0000,0.0000,0.0000
0.02,13.3760,-11.2000,3.1260,7.0000,15.0000,0.0000,0.0000
0.02,13.5160,-11.2000,3.2660,7.0000,15.0000,0.0000,0.0000
0.02,13.6560,-11.2000,3.4060,7.0000,15.0000,0.0000,0.0000
0.02,13.7960,-11.2000,3.5460,7.0000,15.0000,0.0000,0.0000
0.02,13.9360,-11.2000,3.6860,7.0000,15.0000,0.0000,0.0000
0.02,14.0760,-11.2000,3.8260,7.0000,15.0000,0.0000,0.0000
