dt,x,y,position,velocity,acceleration,jerk,heading
0.02,10.2530,-12.3250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,10.2620,-12.3250,0.0120,0.4500,7.5000,-375.0000,0.0000
0.02,10.2770,-12.3250,0.0270,0.7500,15.0000,375.0000,0.0000
0.02,10.2980,-12.3250,0.0480,1.0500,15.0000,0.0000,0.0000
0.02,10.3250,-12.3250,0.0750,1.3500,15.0000,0.0000,0.0000
0.02,10.3580,-12.3250,0.1080,1.6500,15.0000,0.0000,0.0000
0.02,10.3970,-12.3250,0.1470,1.9500,15.0000,0.0000,0.0000
0.02,10.4420,-12.3250,0.1920,2.2500,15.0000,0.0000,0.0000
0.02,10.4930,-12.3250,0.2430,2.5500,15.0000,0.0000,0.0000
0.02,10.5500,-12.3250,0.3000,2.8500,15.0000,0.0000,0.0000
0.02,10.6130,-12.3250,0.3630,3.1500,15.0000,0.0000,0.0000
0.02,10.6820,-12.3250,0.4320,3.4500,15.0000,0.0000,0.0000
0.02,10.7570,-12.3250,0.5070,3.7500,15.0000,0.0000,0.0000
0.02,10.8380,-12.3250,0.5880,4.0500,15.0000,0.0000,0.0000
0.02,10.9250,-12.3250,0.6750,4.3500,15.0000,0.0000,0.0000
0.02,11.0180,-12.3250,0.7680,4.6500,15.0000,0.0000,0.0000
0.02,11.1170,-12.3250,0.8670,4.9500,15.0000,0.0000,0.0000
0.02,11.2220,-12.3250,0.9720,5.2500,15.0000,0.0000,0.0000
0.02,11.3330,-12.3250,1.0830,5.5500,15.0000,0.0000,0.0000
0.02,11.4500,-12.3250,1.2000,5.8500,15.0000,0.0000,0.0000
0.02,11.5730,-12.3250,1.3230,6.1500,15.0000,0.0001,0.0000
0.02,11.7020,-12.3250,1.4520,6.4500,15.0000,-0.0001,0.0000
0.02,11.8370,-12.3250,1.5870,6.7500,15.0000,0.0001,0.0000
0.02,11.9760,-12.3250,1.7260,6.9500,10.0000,-250.0000,0.0000
0.02,12.1160,-12.3250,1.8660,7.0000,2.5000,-375.0000,0.0000
0.02,12.2560,-12.3250,2.0060,7.0000,0.0000,-125.0000,0.0000
0.02,12.3960,-12.3250,2.1460,7.0000,0.0000,0.0000,0.0000
0.02,12.5360,-12.3250,2.2860,7.0000,0.0000,0.0001,0.0000
0.02,12.6760,-12.3250,2.4260,7.0000,0.0000,0.0000,0.0000
0.02,12.8160,-12.3250,2.5660,7.0000,0.0000,0.0000,0.0000
0.02,12.9560,-12.3250,2.7060,7.0000,0.0000,0.0000,0.0000
0.02,13.0960,-12.3250,2.8460,7.0000,0.0000,0.0000,0.0000
0.02,13.2360,-12.3250,2.9860,7.0000,0.0000,0.0001,0.0000
0.02,13.3760,-12.3250,3.1260,7.0000,0.0000,0.0000,0.0000
0.02,13.5160,-12.3250,3.2660,7.0000,0.0000,0.0000,0.0000
0.02,13.6560,-12.3250,3.4060,7.0000,0.0000,0.0000,0.0000
0.02,13.7960,-12.3250,3.5460,7.0000,0.0000,0.0000,0.0000
0.02,13.9360,-12.3250,3.6860,7.0000,0.0000,0.0000,0.0000
0.02,14.0760,-12.3250,3.8260,7.0000,0.0000,0.0000,0.0000
0.02,14.2160,-12.3250,3.9660,7.0000,0.0000,0.0000,0.0000
0.02,14.3560,-12.3250,4.1060,7.0000,0.0000,0.0000,0.0000
0.02,14.4960,-12.3250,4.2460,7.0000,0.0000,0.0000,0.0000
0.02,14.6360,-12.3250,4.3860,7.0000,0.0000,0.0000,0.0000
0.02,14.7760,-12.3250,4.5260,7.0000,0.0000,0.0000,0.0000
0.02,14.9160,-12.3250,4.6660,7.0000,0.0000,0.0000,0.0000
0.02,15.0560,-12.3250,4.8060,7.0000,0.0000,-0.0001,0.0000
0.02,15.1960,-12.3250,4.9460,7.0000,0.0000,0.0001,0.0000
0.02,15.3360,-12.3250,5.0860,7.0000,0.0000,0.0000,0.0000
0.02,15.4760,-12.3250,5.2260,7.0000,0.0000,0.0000,0.0000
0.02,15.6160,-12.3250,5.3660,7.0000,0.0000,0.0000,0.0000
0.02,15.7560,-12.3250,5.5060,7.0000,0.0000,-0.0001,0.0000
0.02,15.8960,-12.3250,5.6460,7.0000,0.0000,0.0001,0.0000
0.02,16.0360,-12.3250,5.7860,7.0000,0.0000,0.0000,0.0000
