dt,x,y,position,velocity,acceleration,jerk,heading
0.02,23.0030,-11.2000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,23.0120,-11.2000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,23.0270,-11.2000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,23.0480,-11.2000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,23.0750,-11.2000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,23.1080,-11.2000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,23.1470,-11.2000,0.1470,2.1000,15.0000,0.0000,0.0000
0.02,23.1920,-11.2000,0.1920,2.4000,15.0000,0.0000,0.0000
0.02,23.2430,-11.2000,0.2430,2.7000,15.0000,0.0000,0.0000
0.02,23.3000,-11.2000,0.3000,3.0000,15.0000,0.0000,0.0000
0.02,23.3630,-11.2000,0.3630,3.3000,15.0000,0.0000,0.0000
0.02,23.4320,-11.2000,0.4320,3.6000,15.0000,0.0000,0.0000
0.02,23.5070,-11.2000,0.5070,3.9000,15.0000,0.0000,0.0000
0.02,23.5880,-11.2000,0.5880,4.2000,15.0000,0.0000,0.0000
0.02,23.6750,-11.2000,0.6750,4.5000,15.0000,0.0000,0.0000
0.02,23.7680,-11.2000,0.7680,4.8000,15.0000,0.0000,0.0000
0.02,23.8670,-11.2000,0.8670,5.1000,15.0000,0.0000,0.0000
0.02,23.9720,-11.2000,0.9720,5.4000,15.0000,0.0000,0.0000
0.02,24.0830,-11.2000,1.0830,5.7000,15.0000,0.0000,0.0000
0.02,24.2000,-11.2000,1.2000,6.0000,15.0000,0.0000,0.0000
0.02,24.3230,-11.2000,1.3230,6.3000,15.0000,0.0000,0.0000
0.02,24.4520,-11.2000,1.4520,6.6000,15.0000,0.0000,0.0000
0.02,24.5870,-11.2000,1.5870,6.9000,15.0000,0.0000,0.0000
0.02,24.7260,-11.2000,1.7260,7.0000,15.0000,0.0000,0.0000
0.02,24.8660,-11.2000,1.8660,7.0000,15.0000,0.0000,0.0000
0.02,25.0060,-11.2000,2.0060,7.0000,15.0000,0.0000,0.0000
0.02,25.1460,-11.2000,2.1460,7.0000,15.0000,0.0000,0.0000
0.02,25.2860,-11.2000,2.2860,7.0000,15.0000,0.0000,0.0000
0.02,25.4260,-11.2000,2.4260,7.0000,15.0000,0.0000,0.0000
0.02,25.5660,-11.2000,2.5660,7.0000,15.0000,0.0000,0.0000
0.02,25.7060,-11.2000,2.7060,7.0000,15.0000,0.0000,0.0000
0.02,25.8460,-11.2000,2.8460,7.0000,15.0000,0.0000,0.0000
0.02,25.9860,-11.2000,2.9860,7.0000,15.0000,0.0000,0.0000
0.02,26.1260,-11.2000,3.1260,7.0000,15.0000,0.0000,0.0000
0.02,26.2660,-11.2000,3.2660,7.0000,15.0000,0.0000,0.0000
0.02,26.4060,-11.2000,3.4060,7.0000,15.0000,0.0000,0.0000
0.02,26.5460,-11.2000,3.5460,7.0000,15.0000,0.0000,0.0000
0.02,26.6860,-11.2000,3.6860,7.0000,15.0000,0.0000,0.0000
0.02,26.8260,-11.2000,3.8260,7.0000,15.0000,0.0000,0.0000
0.02,26.9660,-11.2000,3.9660,7.0000,15.0000,0.0000,0.0000
0.02,27.1060,-11.2000,4.1060,7.0000,15.0000,0.0000,0.0000
0.02,27.2460,-11.2000,4.2460,7.0000,15.0000,0.0000,0.0000
0.02,27.3860,-11.2000,4.3860,7.0000,15.0000,0.0000,0.0000
0.02,27.5260,-11.2000,4.5260,7.0000,15.0000,0.0000,0.0000
0.02,27.6660,-11.2000,4.6660,7.0000,15.0000,0.0000,0.0000
0.02,27.8060,-11.2000,4.8060,7.0000,15.0000,0.0000,0.0000
0.02,27.9460,-11.2000,4.9460,7.0000,15.0000,0.0000,0.0000
0.02,28.0860,-11.2000,5.0860,7.0000,15.0000,0.0000,0.0000
0.02,28.2260,-11.2000,5.2260,7.0000,15.0000,0.0000,0.0000
0.02,28.3660,-11.2000,5.3660,7.0000,15.0000,0.0000,0.0000
0.02,28.5060,-11.2000,5.5060,7.0000,15.0000,0.0000,0.0000
0.02,28.6460,-11.2000,5.6460,7.0000,15.0000,0.0000,0.0000
0.02,28.7860,-11.2000,5.7860,7.0000,15.0000,0.0000,0.0000
0.02,28.9260,-11.2000,5.9260,7.0000,15.0000,0.0000,0.0000
0.02,29.0660,-11.2000,6.0660,7.0000,15.0000,0.0000,0.0000
0.02,29.2060,-11.2000,6.2060,7.0000,15.0000,0.0000,0.0000
0.02,29.3460,-11.2000,6.3460,7.0000,15.0000,0.0000,0.0000
0.02,29.4830,-11.2000,6.4830,6.7037,-14.8126,0.0000,0.0000
0.02,29.6141,-11.2000,6.6141,6.4075,-14.8126,0.0000,0.0000
0.02,29.7393,-11.2000,6.7393,6.1112,-14.8126,0.0000,0.0000
0.02,29.8586,-11.2000,6.8586,5.8150,-14.8126,0.0000,0.0000
0.02,29.9719,-11.2000,6.9719,5.5187,-14.8126,0.0000,0.0000
0.02,30.0793,-11.2000,7.0793,5.2225,-14.8126,0.0000,0.0000
0.02,30.1808,-11.2000,7.1808,4.9262,-14.8126,0.0000,0.0000
0.02,30.2764,-11.2000,7.2764,4.6300,-14.8126,0.0000,0.0000
0.02,30.3660,-11.2000,7.3660,4.3337,-14.8126,0.0000,0.0000
0.02,30.4497,-11.2000,7.4497,4.0375,-14.8126,0.0000,0.0000
0.02,30.5275,-11.2000,7.5275,3.7412,-14.8126,0.0000,0.0000
0.02,30.5994,-11.2000,7.5994,3.4450,-14.8126,0.0000,0.0000
0.02,30.6653,-11.2000,7.6653,3.1487,-14.8126,0.0000,0.0000
0.02,30.7253,-11.2000,7.7253,2.8525,-14.8126,0.0000,0.0000
0.02,30.7794,-11.2000,7.7794,2.5562,-14.8126,0.0000,0.0000
0.02,30.8276,-11.2000,7.8276,2.2600,-14.8126,0.0000,0.0000
0.02,30.8698,-11.2000,7.8698,1.9637,-14.8126,0.0000,0.0000
0.02,30.9061,-11.2000,7.9061,1.6675,-14.8126,0.0000,0.0000
0.02,30.9365,-11.2000,7.9365,1.3712,-14.8126,0.0000,0.0000
0.02,30.9610,-11.2000,7.9610,1.0750,-14.8126,0.0000,0.0000
0.02,30.9795,-11.2000,7.9795,0.7787,-14.8126,0.0000,0.0000
0.02,30.9921,-11.2000,7.9921,0.4825,-14.8126,0.0000,0.0000
0.02,30.9988,-11.2000,7.9988,0.1862,-14.8126,0.0000,0.0000
