dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,23.0060,-11.2000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0000
0.02,23.0180,-11.2000,0.0180,0.6000,15.0000,0.0000,0.0180,0.6000,15.0000,0.0000,0.0180,0.6000,15.0000,0.0000,0.0000
0.02,23.0360,-11.2000,0.0360,0.9000,15.0000,0.0000,0.0360,0.9000,15.0000,0.0000,0.0360,0.9000,15.0000,0.0000,0.0000
0.02,23.0600,-11.2000,0.0600,1.2000,15.0000,0.0000,0.0600,1.2000,15.0000,0.0000,0.0600,1.2000,15.0000,0.0000,0.0000
0.02,23.0900,-11.2000,0.0900,1.5000,15.0000,0.0000,0.0900,1.5000,15.0000,0.0000,0.0900,1.5000,15.0000,0.0000,0.0000
0.02,23.1260,-11.2000,0.1260,1.8000,15.0000,0.0000,0.1260,1.8000,15.0000,0.0000,0.1260,1.8000,15.0000,0.0000,0.0000
0.02,23.1680,-11.2000,0.1680,2.1000,15.0000,0.0000,0.1680,2.1000,15.0000,0.0000,0.1680,2.1000,15.0000,0.0000,0.0000
0.02,23.2160,-11.2000,0.2160,2.4000,15.0000,0.0000,0.2160,2.4000,15.0000,0.0000,0.2160,2.4000,15.0000,0.0000,0.0000
0.02,23.2700,-11.2000,0.2700,2.7000,15.0000,0.0000,0.2700,2.7000,15.0000,0.0000,0.2700,2.7000,15.0000,0.0000,0.0000
0.02,23.3300,-11.2000,0.3300,3.0000,15.0000,0.0000,0.3300,3.0000,15.0000,0.0000,0.3300,3.0000,15.0000,0.0000,0.0000
0.02,23.3960,-11.2000,0.3960,3.3000,15.0000,0.0000,0.3960,3.3000,15.0000,0.0000,0.3960,3.3000,15.0000,0.0000,0.0000
0.02,23.4680,-11.2000,0.4680,3.6000,15.0000,0.0000,0.4680,3.6000,15.0000,0.0000,0.4680,3.6000,15.0000,0.0000,0.0000
0.02,23.5460,-11.2000,0.5460,3.9000,15.0000,0.0000,0.5460,3.9000,15.0000,0.0000,0.5460,3.9000,15.0000,0.0000,0.0000
0.02,23.6300,-11.2000,0.6300,4.2000,15.0000,0.0000,0.6300,4.2000,15.0000,0.0000,0.6300,4.2000,15.0000,0.0000,0.0000
0.02,23.7200,-11.2000,0.7200,4.5000,15.0000,0.0000,0.7200,4.5000,15.0000,0.0000,0.7200,4.5000,15.0000,0.0000,0.0000
0.02,23.8160,-11.2000,0.8160,4.8000,15.0000,0.0000,0.8160,4.8000,15.0000,0.0000,0.8160,4.8000,15.0000,0.0000,0.0000
0.02,23.9180,-11.2000,0.9180,5.1000,15.0000,0.0000,0.9180,5.1000,15.0000,0.0000,0.9180,5.1000,15.0000,0.0000,0.0000
0.02,24.0260,-11.2000,1.0260,5.4000,15.0000,0.0000,1.0260,5.4000,15.0000,0.0000,1.0260,5.4000,15.0000,0.0000,0.0000
0.02,24.1400,-11.2000,1.1400,5.7000,15.0000,0.0000,1.1400,5.7000,15.0000,0.0000,1.1400,5.7000,15.0000,0.0000,0.0000
0.02,24.2600,-11.2000,1.2600,6.0000,15.0000,0.0000,1.2600,6.0000,15.0000,0.0000,1.2600,6.0000,15.0000,0.0000,0.0000
0.02,24.3860,-11.2000,1.3860,6.3000,15.0000,0.0000,1.3860,6.3000,15.0000,0.0000,1.3860,6.3000,15.0000,0.0000,0.0000
0.02,24.5180,-11.2000,1.5180,6.6000,15.0000,0.0000,1.5180,6.6000,15.0000,0.0000,1.5180,6.6000,15.0000,0.0000,0.0000
0.02,24.6560,-11.2000,1.6560,6.9000,15.0000,0.0000,1.6560,6.9000,15.0000,0.0000,1.6560,6.9000,15.0000,0.0000,0.0000
0.02,24.7960,-11.2000,1.7960,7.0000,5.0000,-500.0000,1.7960,7.0000,15.0000,0.0000,1.7960,7.0000,5.0000,-500.0000,0.0000
0.02,24.9360,-11.2000,1.9360,7.0000,0.0000,-250.0000,1.9360,7.0000,15.0000,0.0000,1.9360,7.0000,0.0000,-250.0000,0.0000
0.02,25.0760,-11.2000,2.0760,7.0000,0.0000,0.0000,2.0760,7.0000,15.0000,0.0000,2.0760,7.0000,0.0000,0.0000,0.0000
0.02,25.2160,-11.2000,2.2160,7.0000,0.0000,0.0000,2.2160,7.0000,15.0000,0.0000,2.2160,7.0000,0.0000,0.0000,0.0000
0.02,25.3560,-11.2000,2.3560,7.0000,0.0000,0.0000,2.3560,7.0000,15.0000,0.0000,2.3560,7.0000,0.0000,0.0000,0.0000
0.02,25.4960,-11.2000,2.4960,7.0000,0.0000,0.0000,2.4960,7.0000,15.0000,0.0000,2.4960,7.0000,0.0000,0.0000,0.0000
0.02,25.6360,-11.2000,2.6360,7.0000,0.0000,0.0000,2.6360,7.0000,15.0000,0.0000,2.6360,7.0000,0.0000,0.0000,0.0000
0.02,25.7760,-11.2000,2.7760,7.0000,0.0000,0.0000,2.7760,7.0000,15.0000,0.0000,2.7760,7.0000,0.0000,0.0000,0.0000
0.02,25.9160,-11.2000,2.9160,7.0000,0.0000,0.0000,2.9160,7.0000,15.0000,0.0000,2.9160,7.0000,0.0000,0.0000,0.0000
0.02,26.0560,-11.2000,3.0560,7.0000,0.0000,0.0000,3.0560,7.0000,15.0000,0.0000,3.0560,7.0000,0.0000,0.0000,0.0000
0.02,26.1960,-11.2000,3.1960,7.0000,0.0000,0.0000,3.1960,7.0000,15.0000,0.0000,3.1960,7.0000,0.0000,0.0000,0.0000
0.02,26.3360,-11.2000,3.3360,7.0000,0.0000,0.0000,3.3360,7.0000,15.0000,0.0000,3.3360,7.0000,0.0000,0.0000,0.0000
0.02,26.4760,-11.2000,3.4760,7.0000,0.0000,0.0000,3.4760,7.0000,15.0000,0.0000,3.4760,7.0000,0.0000,0.0000,0.0000
0.02,26.6160,-11.2000,3.6160,7.0000,0.0000,0.0000,3.6160,7.0000,15.0000,0.0000,3.6160,7.0000,0.0000,0.0000,0.0000
0.02,26.7560,-11.2000,3.7560,7.0000,0.0000,0.0000,3.7560,7.0000,15.0000,0.0000,3.7560,7.0000,0.0000,0.0000,0.0000
0.02,26.8960,-11.2000,3.8960,7.0000,0.0000,0.0000,3.8960,7.0000,15.0000,0.0000,3.8960,7.0000,0.0000,0.0000,0.0000
0.02,27.0360,-11.2000,4.0360,7.0000,0.0000,0.0000,4.0360,7.0000,15.0000,0.0000,4.0360,7.0000,0.0000,0.0000,0.0000
0.02,27.1760,-11.2000,4.1760,7.0000,0.0000,0.0000,4.1760,7.0000,15.0000,0.0000,4.1760,7.0000,0.0000,0.0000,0.0000
0.02,27.3160,-11.2000,4.3160,7.0000,0.0000,0.0000,4.3160,7.0000,15.0000,0.0000,4.3160,7.0000,0.0000,0.0000,0.0000
0.02,27.4560,-11.2000,4.4560,7.0000,0.0000,0.0000,4.4560,7.0000,15.0000,0.0000,4.4560,7.0000,0.0000,0.0000,0.0000
0.02,27.5960,-11.2000,4.5960,7.0000,0.0000,0.0000,4.5960,7.0000,15.0000,0.0000,4.5960,7.0000,0.0000,0.0000,0.0000
0.02,27.7360,-11.2000,4.7360,7.0000,0.0000,0.0000,4.7360,7.0000,15.0000,0.0000,4.7360,7.0000,0.0000,0.0000,0.0000
0.02,27.8760,-11.2000,4.8760,7.0000,0.0000,0.0000,4.8760,7.0000,15.0000,0.0000,4.8760,7.0000,0.0000,0.0000,0.0000
0.02,28.0160,-11.2000,5.0160,7.0000,0.0000,0.0000,5.0160,7.0000,15.0000,0.0000,5.0160,7.0000,0.0000,0.0000,0.0000
0.02,28.1560,-11.2000,5.1560,7.0000,0.0000,0.0000,5.1560,7.0000,15.0000,0.0000,5.1560,7.0000,0.0000,0.0000,0.0000
0.02,28.2960,-11.2000,5.2960,7.0000,0.0000,0.0000,5.2960,7.0000,15.0000,0.0000,5.2960,7.0000,0.0000,0.0000,0.0000
0.02,28.4360,-11.2000,5.4360,7.0000,0.0000,0.0000,5.4360,7.0000,15.0000,0.0000,5.4360,7.0000,0.0000,0.0000,0.0000
0.02,28.5760,-11.2000,5.5760,7.0000,0.0000,0.0000,5.5760,7.0000,15.0000,0.0000,5.5760,7.0000,0.0000,0.0000,0.0000
0.02,28.7160,-11.2000,5.7160,7.0000,0.0000,0.0000,5.7160,7.0000,15.0000,0.0000,5.7160,7.0000,0.0000,0.0000,0.0000
0.02,28.8560,-11.2000,5.8560,7.0000,0.0000,0.0000,5.8560,7.0000,15.0000,0.0000,5.8560,7.0000,0.0000,0.0000,0.0000
0.02,28.9960,-11.2000,5.9960,7.0000,0.0000,0.0000,5.9960,7.0000,15.0000,0.0000,5.9960,7.0000,0.0000,0.0000,0.0000
0.02,29.1360,-11.2000,6.1360,7.0000,0.0000,0.0000,6.1360,7.0000,15.0000,0.0000,6.1360,7.0000,0.0000,0.0000,0.0000
0.02,29.2760,-11.2000,6.2760,7.0000,0.0000,0.0000,6.2760,7.0000,15.0000,0.0000,6.2760,7.0000,0.0000,0.0000,0.0000
0.02,29.4160,-11.2000,6.4160,7.0000,0.0000,0.0000,6.4160,7.0000,15.0000,0.0000,6.4160,7.0000,0.0000,0.0000,0.0000
0.02,29.5500,-11.2000,6.5500,6.7000,-15.0000,-750.0000,6.5500,6.7000,-15.0000,0.0000,6.5500,6.7000,-15.0000,-750.0000,0.0000
0.02,29.6780,-11.2000,6.6780,6.4000,-15.0000,0.0000,6.6780,6.4000,-15.0000,0.0000,6.6780,6.4000,-15.0000,0.0000,0.0000
