dt,x,y,position,velocity,acceleration,jerk,heading
0.02,23.0030,-12.3250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,23.0120,-12.3250,0.0120,0.4500,7.5000,-375.0000,0.0000
0.02,23.0270,-12.3250,0.0270,0.7500,15.0000,375.0000,0.0000
0.02,23.0480,-12.3250,0.0480,1.0500,15.0000,0.0000,0.0000
0.02,23.0750,-12.3250,0.0750,1.3500,15.0000,0.0000,0.0000
0.02,23.1080,-12.3250,0.1080,1.6500,15.0000,0.0000,0.0000
0.02,23.1470,-12.3250,0.1470,1.9500,15.0000,0.0000,0.0000
0.02,23.1920,-12.3250,0.1920,2.2500,15.0000,0.0000,0.0000
0.02,23.2430,-12.3250,0.2430,2.5500,15.0000,0.0000,0.0000
0.02,23.3000,-12.3250,0.3000,2.8500,15.0000,0.0000,0.0000
0.02,23.3630,-12.3250,0.3630,3.1500,15.0000,0.0000,0.0000
0.02,23.4320,-12.3250,0.4320,3.4500,15.0000,0.0000,0.0000
0.02,23.5070,-12.3250,0.5070,3.7500,15.0000,0.0000,0.0000
0.02,23.5880,-12.3250,0.5880,4.0500,15.0000,0.0000,0.0000
0.02,23.6750,-12.3250,0.6750,4.3500,15.0000,0.0000,0.0000
0.02,23.7680,-12.3250,0.7680,4.6500,15.0000,0.0000,0.0000
0.02,23.8670,-12.3250,0.8670,4.9500,15.0000,0.0000,0.0000
0.02,23.9720,-12.3250,0.9720,5.2500,15.0000,0.0000,0.0000
0.02,24.0830,-12.3250,1.0830,5.5500,15.0000,0.0000,0.0000
0.02,24.2000,-12.3250,1.2000,5.8500,15.0000,0.0000,0.0000
0.02,24.3230,-12.3250,1.3230,6.1500,15.0000,0.0000,0.0000
0.02,24.4520,-12.3250,1.4520,6.4500,15.0000,0.0000,0.0000
0.02,24.5870,-12.3250,1.5870,6.7500,15.0000,0.0000,0.0000
0.02,24.7260,-12.3250,1.7260,6.9500,10.0000,-250.0000,0.0000
0.02,24.8660,-12.3250,1.8660,7.0000,2.5000,-374.9999,0.0000
0.02,25.0060,-12.3250,2.0060,7.0000,0.0000,-125.0000,0.0000
0.02,25.1460,-12.3250,2.1460,7.0000,0.0000,-0.0001,0.0000
0.02,25.2860,-12.3250,2.2860,7.0000,0.0000,0.0001,0.0000
0.02,25.4260,-12.3250,2.4260,7.0000,0.0000,0.0000,0.0000
0.02,25.5660,-12.3250,2.5660,7.0000,0.0000,0.0000,0.0000
0.02,25.7060,-12.3250,2.7060,7.0000,0.0000,0.0000,0.0000
0.02,25.8460,-12.3250,2.8460,7.0000,0.0000,0.0000,0.0000
0.02,25.9860,-12.3250,2.9860,7.0000,0.0000,0.0000,0.0000
0.02,26.1260,-12.3250,3.1260,7.0000,0.0000,0.0000,0.0000
0.02,26.2660,-12.3250,3.2660,7.0000,0.0000,0.0000,0.0000
0.02,26.4060,-12.3250,3.4060,7.0000,0.0000,0.0000,0.0000
