dt,x,y,position,velocity,acceleration,jerk,heading
0.02,12.4030,-11.2000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,12.4120,-11.2000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,12.4270,-11.2000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,12.4480,-11.2000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,12.4750,-11.2000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,12.5080,-11.2000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,12.5470,-11.2000,0.1470,2.1000,15.0000,0.0000,0.0000
0.02,12.5920,-11.2000,0.1920,2.4000,15.0000,0.0000,0.0000
0.02,12.6430,-11.2000,0.2430,2.7000,15.0000,0.0000,0.0000
0.02,12.7000,-11.2000,0.3000,3.0000,15.0000,0.0000,0.0000
0.02,12.7630,-11.2000,0.3630,3.3000,15.0000,0.0000,0.0000
0.02,12.8320,-11.2000,0.4320,3.6000,15.0000,0.0000,0.0000
0.02,12.9070,-11.2000,0.5070,3.9000,15.0000,0.0000,0.0000
0.02,12.9880,-11.2000,0.5880,4.2000,15.0000,0.0000,0.0000
0.02,13.0750,-11.2000,0.6750,4.5000,15.0000,0.0000,0.0000
0.02,13.1680,-11.2000,0.7680,4.8000,15.0000,0.0000,0.0000
0.02,13.2670,-11.2000,0.8670,5.1000,15.0000,0.0000,0.0000
0.02,13.3720,-11.2000,0.9720,5.4000,15.0000,0.0000,0.0000
0.02,13.4830,-11.2000,1.0830,5.7000,15.0000,0.0000,0.0000
0.02,13.6000,-11.2000,1.2000,6.0000,15.0000,0.0000,0.0000
0.02,13.7230,-11.2000,1.3230,6.3000,15.0000,0.0000,0.0000
0.02,13.8520,-11.2000,1.4520,6.6000,15.0000,0.0000,0.0000
0.02,13.9870,-11.2000,1.5870,6.9000,15.0000,0.0000,0.0000
0.02,14.1260,-11.2000,1.7260,7.0000,15.0000,0.0000,0.0000
0.02,14.2660,-11.2000,1.8660,7.0000,15.0000,0.0000,0.0000
0.02,14.4060,-11.2000,2.0060,7.0000,15.0000,0.0000,0.0000
0.02,14.5460,-11.2000,2.1460,7.0000,15.0000,0.0000,0.0000
0.02,14.6860,-11.2000,2.2860,7.0000,15.0000,0.0000,0.0000
0.02,14.8260,-11.2000,2.4260,7.0000,15.0000,0.0000,0.0000
0.02,14.9660,-11.2000,2.5660,7.0000,15.0000,0.0000,0.0000
