dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,12.4060,-11.2000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0000
0.02,12.4180,-11.2000,0.0180,0.6000,15.0000,0.0000,0.0180,0.6000,15.0000,0.0000,0.0180,0.6000,15.0000,0.0000,0.0000
0.02,12.4360,-11.2000,0.0360,0.9000,15.0000,0.0000,0.0360,0.9000,15.0000,0.0000,0.0360,0.9000,15.0000,0.0000,0.0000
0.02,12.4600,-11.2000,0.0600,1.2000,15.0000,0.0000,0.0600,1.2000,15.0000,0.0000,0.0600,1.2000,15.0000,0.0000,0.0000
0.02,12.4900,-11.2000,0.0900,1.5000,15.0000,0.0000,0.0900,1.5000,15.0000,0.0000,0.0900,1.5000,15.0000,0.0000,0.0000
0.02,12.5260,-11.2000,0.1260,1.8000,15.0000,0.0000,0.1260,1.8000,15.0000,0.0000,0.1260,1.8000,15.0000,0.0000,0.0000
0.02,12.5680,-11.2000,0.1680,2.1000,15.0000,0.0000,0.1680,2.1000,15.0000,0.0000,0.1680,2.1000,15.0000,0.0000,0.0000
0.02,12.6160,-11.2000,0.2160,2.4000,15.0000,0.0000,0.2160,2.4000,15.0000,0.0000,0.2160,2.4000,15.0000,0.0000,0.0000
0.02,12.6700,-11.2000,0.2700,2.7000,15.0000,0.0000,0.2700,2.7000,15.0000,0.0000,0.2700,2.7000,15.0000,0.0000,0.0000
0.02,12.7300,-11.2000,0.3300,3.0000,15.0000,0.0000,0.3300,3.0000,15.0000,0.0000,0.3300,3.0000,15.0000,0.0000,0.0000
0.02,12.7960,-11.2000,0.3960,3.3000,15.0000,0.0000,0.3960,3.3000,15.0000,0.0000,0.3960,3.3000,15.0000,0.0000,0.0000
0.02,12.8680,-11.2000,0.4680,3.6000,15.0000,0.0000,0.4680,3.6000,15.0000,0.0000,0.4680,3.6000,15.0000,0.0000,0.0000
0.02,12.9460,-11.2000,0.5460,3.9000,15.0000,0.0000,0.5460,3.9000,15.0000,0.0000,0.5460,3.9000,15.0000,0.0000,0.0000
0.02,13.0300,-11.2000,0.6300,4.2000,15.0000,0.0000,0.6300,4.2000,15.0000,0.0000,0.6300,4.2000,15.0000,0.0000,0.0000
0.02,13.1200,-11.2000,0.7200,4.5000,15.0000,0.0000,0.7200,4.5000,15.0000,0.0000,0.7200,4.5000,15.0000,0.0000,0.0000
0.02,13.2160,-11.2000,0.8160,4.8000,15.0000,0.0000,0.8160,4.8000,15.0000,0.0000,0.8160,4.8000,15.0000,0.0000,0.0000
0.02,13.3180,-11.2000,0.9180,5.1000,15.0000,0.0000,0.9180,5.1000,15.0000,0.0000,0.9180,5.1000,15.0000,0.0000,0.0000
0.02,13.4260,-11.2000,1.0260,5.4000,15.0000,0.0000,1.0260,5.4000,15.0000,0.0000,1.0260,5.4000,15.0000,0.0000,0.0000
0.02,13.5400,-11.2000,1.1400,5.7000,15.0000,0.0000,1.1400,5.7000,15.0000,0.0000,1.1400,5.7000,15.0000,0.0000,0.0000
0.02,13.6600,-11.2000,1.2600,6.0000,15.0000,0.0000,1.2600,6.0000,15.0000,0.0000,1.2600,6.0000,15.0000,0.0000,0.0000
0.02,13.7860,-11.2000,1.3860,6.3000,15.0000,0.0000,1.3860,6.3000,15.0000,0.0000,1.3860,6.3000,15.0000,0.0000,0.0000
0.02,13.9180,-11.2000,1.5180,6.6000,15.0000,0.0000,1.5180,6.6000,15.0000,0.0000,1.5180,6.6000,15.0000,0.0000,0.0000
0.02,14.0560,-11.2000,1.6560,6.9000,15.0000,0.0000,1.6560,6.9000,15.0000,0.0000,1.6560,6.9000,15.0000,0.0000,0.0000
0.02,14.1960,-11.2000,1.7960,7.0000,5.0000,-500.0000,1.7960,7.0000,15.0000,0.0000,1.7960,7.0000,5.0000,-500.0000,0.0000
0.02,14.3360,-11.2000,1.9360,7.0000,0.0000,-250.0000,1.9360,7.0000,15.0000,0.0000,1.9360,7.0000,0.0000,-250.0000,0.0000
0.02,14.4760,-11.2000,2.0760,7.0000,0.0000,0.0000,2.0760,7.0000,15.0000,0.0000,2.0760,7.0000,0.0000,0.0000,0.0000
0.02,14.6160,-11.2000,2.2160,7.0000,0.0000,0.0000,2.2160,7.0000,15.0000,0.0000,2.2160,7.0000,0.0000,0.0000,0.0000
0.02,14.7560,-11.2000,2.3560,7.0000,0.0000,0.0000,2.3560,7.0000,15.0000,0.0000,2.3560,7.0000,0.0000,0.0000,0.0000
0.02,14.8960,-11.2000,2.4960,7.0000,0.0000,0.0000,2.4960,7.0000,15.0000,0.0000,2.4960,7.0000,0.0000,0.0000,0.0000
0.02,15.0360,-11.2000,2.6360,7.0000,0.0000,0.0000,2.6360,7.0000,15.0000,0.0000,2.6360,7.0000,0.0000,0.0000,0.0000
0.02,15.1760,-11.2000,2.7760,7.0000,0.0000,0.0000,2.7760,7.0000,15.0000,0.0000,2.7760,7.0000,0.0000,0.0000,0.0000
0.02,15.3160,-11.2000,2.9160,7.0000,0.0000,0.0000,2.9160,7.0000,15.0000,0.0000,2.9160,7.0000,0.0000,0.0000,0.0000
0.02,15.4560,-11.2000,3.0560,7.0000,0.0000,0.0000,3.0560,7.0000,15.0000,0.0000,3.0560,7.0000,0.0000,0.0000,0.0000
0.02,15.5960,-11.2000,3.1960,7.0000,0.0000,0.0000,3.1960,7.0000,15.0000,0.0000,3.1960,7.0000,0.0000,0.0000,0.0000
0.02,15.7360,-11.2000,3.3360,7.0000,0.0000,0.0000,3.3360,7.0000,15.0000,0.0000,3.3360,7.0000,0.0000,0.0000,0.0000
0.02,15.8760,-11.2000,3.4760,7.0000,0.0000,0.0000,3.4760,7.0000,15.0000,0.0000,3.4760,7.0000,0.0000,0.0000,0.0000
0.02,16.0160,-11.2000,3.6160,7.0000,0.0000,0.0000,3.6160,7.0000,15.0000,0.0000,3.6160,7.0000,0.0000,0.0000,0.0000
0.02,16.1560,-11.2000,3.7560,7.0000,0.0000,0.0000,3.7560,7.0000,15.0000,0.0000,3.7560,7.0000,0.0000,0.0000,0.0000
0.02,16.2960,-11.2000,3.8960,7.0000,0.0000,0.0000,3.8960,7.0000,15.0000,0.0000,3.8960,7.0000,0.0000,0.0000,0.0000
0.02,16.4360,-11.2000,4.0360,7.0000,0.0000,0.0000,4.0360,7.0000,15.0000,0.0000,4.0360,7.0000,0.0000,0.0000,0.0000
0.02,16.5760,-11.2000,4.1760,7.0000,0.0000,0.0000,4.1760,7.0000,15.0000,0.0000,4.1760,7.0000,0.0000,0.0000,0.0000
0.02,16.7160,-11.2000,4.3160,7.0000,0.0000,0.0000,4.3160,7.0000,15.0000,0.0000,4.3160,7.0000,0.0000,0.0000,0.0000
0.02,16.8560,-11.2000,4.4560,7.0000,0.0000,0.0000,4.4560,7.0000,15.0000,0.0000,4.4560,7.0000,0.0000,0.0000,0.0000
0.02,16.9960,-11.2000,4.5960,7.0000,0.0000,0.0000,4.5960,7.0000,15.0000,0.0000,4.5960,7.0000,0.0000,0.0000,0.0000
0.02,17.1360,-11.2000,4.7360,7.0000,0.0000,0.0000,4.7360,7.0000,15.0000,0.0000,4.7360,7.0000,0.0000,0.0000,0.0000
0.02,17.2760,-11.2000,4.8760,7.0000,0.0000,0.0000,4.8760,7.0000,15.0000,0.0000,4.8760,7.0000,0.0000,0.0000,0.0000
0.02,17.4160,-11.2000,5.0160,7.0000,0.0000,0.0000,5.0160,7.0000,15.0000,0.0000,5.0160,7.0000,0.0000,0.0000,0.0000
0.02,17.5560,-11.2000,5.1560,7.0000,0.0000,0.0000,5.1560,7.0000,15.0000,0.0000,5.1560,7.0000,0.0000,0.0000,0.0000
0.02,17.6960,-11.2000,5.2960,7.0000,0.0000,0.0000,5.2960,7.0000,15.0000,0.0000,5.2960,7.0000,0.0000,0.0000,0.0000
0.02,17.8360,-11.2000,5.4360,7.0000,0.0000,0.0000,5.4360,7.0000,15.0000,0.0000,5.4360,7.0000,0.0000,0.0000,0.0000
0.02,17.9760,-11.2000,5.5760,7.0000,0.0000,0.0000,5.5760,7.0000,15.0000,0.0000,5.5760,7.0000,0.0000,0.0000,0.0000
0.02,18.1160,-11.2000,5.7160,7.0000,0.0000,0.0000,5.7160,7.0000,15.0000,0.0000,5.7160,7.0000,0.0000,0.0000,0.0000
0.02,18.2560,-11.2000,5.8560,7.0000,0.0000,0.0000,5.8560,7.0000,15.0000,0.0000,5.8560,7.0000,0.0000,0.0000,0.0000
0.02,18.3960,-11.2000,5.9960,7.0000,0.0000,0.0000,5.9960,7.0000,15.0000,0.0000,5.9960,7.0000,0.0000,0.0000,0.0000
0.02,18.5360,-11.2000,6.1360,7.0000,0.0000,0.0000,6.1360,7.0000,15.0000,0.0000,6.1360,7.0000,0.0000,0.0000,0.0000
0.02,18.6760,-11.2000,6.2760,7.0000,0.0000,0.0000,6.2760,7.0000,15.0000,0.0000,6.2760,7.0000,0.0000,0.0000,0.0000
0.02,18.8160,-11.2000,6.4160,7.0000,0.0000,0.0000,6.4160,7.0000,15.0000,0.0000,6.4160,7.0000,0.0000,0.0000,0.0000
0.02,18.9560,-11.2000,6.5560,7.0000,0.0000,0.0000,6.5560,7.0000,15.0000,0.0000,6.5560,7.0000,0.0000,0.0000,0.0000
0.02,19.0960,-11.2000,6.6960,7.0000,0.0000,0.0000,6.6960,7.0000,15.0000,0.0000,6.6960,7.0000,0.0000,0.0000,0.0000
0.02,19.2360,-11.2000,6.8360,7.0000,0.0000,0.0000,6.8360,7.0000,15.0000,0.0000,6.8360,7.0000,0.0000,0.0000,0.0000
0.02,19.3760,-11.2000,6.9760,7.0000,0.0000,0.0000,6.9760,7.0000,15.0000,0.0000,6.9760,7.0000,0.0000,0.0000,0.0000
0.02,19.5160,-11.2000,7.1160,7.0000,0.0000,0.0000,7.1160,7.0000,15.0000,0.0000,7.1160,7.0000,0.0000,0.0000,0.0000
0.02,19.6560,-11.2000,7.2560,7.0000,0.0000,0.0000,7.2560,7.0000,15.0000,0.0000,7.2560,7.0000,0.0000,0.0000,0.0000
0.02,19.7960,-11.2000,7.3960,7.0000,0.0000,0.0000,7.3960,7.0000,15.0000,0.0000,7.3960,7.0000,0.0000,0.0000,0.0000
0.02,19.9360,-11.2000,7.5360,7.0000,0.0000,0.0000,7.5360,7.0000,15.0000,0.0000,7.5360,7.0000,0.0000,0.0000,0.0000
0.02,20.0760,-11.2000,7.6760,7.0000,0.0000,0.0000,7.6760,7.0000,15.0000,0.0000,7.6760,7.0000,0.0000,0.0000,0.0000
0.02,20.2160,-11.2000,7.8160,7.0000,0.0000,0.0000,7.8160,7.0000,15.0000,0.0000,7.8160,7.0000,0.0000,0.0000,0.0000
0.02,20.3560,-11.2000,7.9560,7.0000,0.0000,0.0000,7.9560,7.0000,15.0000,0.0000,7.9560,7.0000,0.0000,0.0000,0.0000
