dt,x,y,position,velocity,acceleration,jerk,heading
0.02,12.4030,-12.3250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,12.4120,-12.3250,0.0120,0.4500,7.5000,-375.0000,0.0000
0.02,12.4270,-12.3250,0.0270,0.7500,15.0000,375.0000,0.0000
0.02,12.4480,-12.3250,0.0480,1.0500,15.0000,0.0000,0.0000
0.02,12.4750,-12.3250,0.0750,1.3500,15.0000,0.0000,0.0000
0.02,12.5080,-12.3250,0.1080,1.6500,15.0000,0.0000,0.0000
0.02,12.5470,-12.3250,0.1470,1.9500,15.0000,0.0000,0.0000
0.02,12.5920,-12.3250,0.1920,2.2500,15.0000,0.0000,0.0000
0.02,12.6430,-12.3250,0.2430,2.5500,15.0000,0.0000,0.0000
0.02,12.7000,-12.3250,0.3000,2.8500,15.0000,0.0000,0.0000
0.02,12.7630,-12.3250,0.3630,3.1500,15.0000,0.0000,0.0000
0.02,12.8320,-12.3250,0.4320,3.4500,15.0000,0.0000,0.0000
0.02,12.9070,-12.3250,0.5070,3.7500,15.0000,0.0000,0.0000
0.02,12.9880,-12.3250,0.5880,4.0500,15.0000,0.0000,0.0000
0.02,13.0750,-12.3250,0.6750,4.3500,15.0000,0.0000,0.0000
0.02,13.1680,-12.3250,0.7680,4.6500,15.0000,0.0000,0.0000
0.02,13.2670,-12.3250,0.8670,4.9500,15.0000,0.0000,0.0000
0.02,13.3720,-12.3250,0.9720,5.2500,15.0000,0.0000,0.0000
0.02,13.4830,-12.3250,1.0830,5.5500,15.0000,0.0000,0.0000
0.02,13.6000,-12.3250,1.2000,5.8500,15.0000,0.0000,0.0000
0.02,13.7230,-12.3250,1.3230,6.1500,15.0000,0.0000,0.0000
0.02,13.8520,-12.3250,1.4520,6.4500,15.0000,0.0000,0.0000
0.02,13.9870,-12.3250,1.5870,6.7500,15.0000,0.0000,0.0000
0.02,14.1260,-12.3250,1.7260,6.9500,10.0000,-250.0001,0.0000
