dt,x,y,position,velocity,acceleration,jerk,heading
0.02,2.0030,0.0000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,2.0120,0.0000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,2.0270,0.0000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,2.0480,0.0000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,2.0750,0.0000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,2.1080,0.0000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,2.1470,0.0000,0.1470,2.1000,15.0000,0.0000,0.0000
0.02,2.1920,0.0000,0.1920,2.4000,15.0000,0.0000,0.0000
0.02,2.2430,0.0000,0.2430,2.7000,15.0000,0.0000,0.0000
0.02,2.3000,0.0000,0.3000,3.0000,15.0000,0.0000,0.0000
0.02,2.3630,0.0000,0.3630,3.3000,15.0000,0.0000,0.0000
0.02,2.4320,0.0000,0.4320,3.6000,15.0000,0.0000,0.0000
0.02,2.5070,0.0000,0.5070,3.9000,15.0000,0.0000,0.0000
0.02,2.5880,0.0000,0.5880,4.2000,15.0000,0.0000,0.0000
0.02,2.6750,0.0000,0.6750,4.5000,15.0000,0.0000,0.0000
0.02,2.7680,0.0000,0.7680,4.8000,15.0000,0.0000,0.0000
0.02,2.8670,0.0000,0.8670,5.1000,15.0000,0.0000,0.0000
0.02,2.9720,0.0000,0.9720,5.4000,15.0000,0.0000,0.0000
0.02,3.0830,0.0000,1.0830,5.7000,15.0000,0.0000,0.0000
0.02,3.2000,0.0000,1.2000,6.0000,15.0000,0.0000,0.0000
0.02,3.3230,0.0000,1.3230,6.3000,15.0000,0.0000,0.0000
0.02,3.4520,0.0000,1.4520,6.6000,15.0000,0.0000,0.0000
0.02,3.5870,0.0000,1.5870,6.9000,15.0000,0.0000,0.0000
0.02,3.7260,0.0000,1.7260,7.0000,15.0000,0.0000,0.0000
0.02,3.8660,0.0000,1.8660,7.0000,15.0000,0.0000,0.0000
0.02,4.0060,0.0000,2.0060,7.0000,15.0000,0.0000,0.0000
0.02,4.1460,0.0000,2.1460,7.0000,15.0000,0.0000,0.0000
0.02,4.2860,0.0000,2.2860,7.0000,15.0000,0.0000,0.0000
0.02,4.4260,0.0000,2.4260,7.0000,15.0000,0.0000,0.0000
0.02,4.5660,0.0000,2.5660,7.0000,15.0000,0.0000,0.0000
0.02,4.7060,0.0000,2.7060,7.0000,15.0000,0.0000,0.0000
0.02,4.8460,0.0000,2.8460,7.0000,15.0000,0.0000,0.0000
0.02,4.9860,0.0000,2.9860,7.0000,15.0000,0.0000,0.0000
0.02,5.1260,0.0000,3.1260,7.0000,15.0000,0.0000,0.0000
0.02,5.2660,0.0000,3.2660,7.0000,15.0000,0.0000,0.0000
0.02,5.4060,0.0000,3.4060,7.0000,15.0000,0.0000,0.0000
0.02,5.5460,0.0000,3.5460,7.0000,15.0000,0.0000,0.0000
0.02,5.6860,0.0000,3.6860,7.0000,15.0000,0.0000,0.0000
0.02,5.8260,0.0000,3.8260,7.0000,15.0000,0.0000,0.0000
0.02,5.9660,0.0000,3.9660,7.0000,15.0000,0.0000,0.0000
0.02,6.1060,0.0000,4.1060,7.0000,15.0000,0.0000,0.0000
0.02,6.2460,0.0000,4.2460,7.0000,15.0000,0.0000,0.0000
0.02,6.3860,0.0000,4.3860,7.0000,15.0000,0.0000,0.0000
0.02,6.5260,0.0000,4.5260,7.0000,15.0000,0.0000,0.0000
0.02,6.6660,0.0000,4.6660,7.0000,15.0000,0.0000,0.0000
0.02,6.8060,0.0000,4.8060,7.0000,15.0000,0.0000,0.0000
0.02,6.9460,0.0000,4.9460,7.0000,15.0000,0.0000,0.0000
0.02,7.0860,0.0000,5.0860,7.0000,15.0000,0.0000,0.0000
0.02,7.2260,0.0000,5.2260,7.0000,15.0000,0.0000,0.0000
0.02,7.3660,0.0000,5.3660,7.0000,15.0000,0.0000,0.0000
0.02,7.5060,0.0000,5.5060,7.0000,15.0000,0.0000,0.0000
0.02,7.6460,0.0000,5.6460,7.0000,15.0000,0.0000,0.0000
0.02,7.7860,0.0000,5.7860,7.0000,15.0000,0.0000,0.0000
0.02,7.9260,0.0000,5.9260,7.0000,15.0000,0.0000,0.0000
0.02,8.0660,0.0000,6.0660,7.0000,15.0000,0.0000,0.0000
0.02,8.2060,0.0000,6.2060,7.0000,15.0000,0.0000,0.0000
0.02,8.3460,0.0000,6.3460,7.0000,15.0000,0.0000,0.0000
0.02,8.4860,0.0000,6.4860,7.0000,15.0000,0.0000,0.0000
0.02,8.6260,0.0000,6.6260,7.0000,15.0000,0.0000,0.0000
0.02,8.7660,0.0000,6.7660,7.0000,15.0000,0.0000,0.0000
0.02,8.9060,0.0000,6.9060,7.0000,15.0000,0.0000,0.0000
0.02,9.0460,0.0000,7.0460,7.0000,15.0000,0.0000,0.0000
0.02,9.1860,0.0000,7.1860,7.0000,15.0000,0.0000,0.0000
0.02,9.3260,0.0000,7.3260,7.0000,15.0000,0.0000,0.0000
0.02,9.4660,0.0000,7.4660,7.0000,15.0000,0.0000,0.0000
0.02,9.6060,0.0000,7.6060,7.0000,15.0000,0.0000,0.0000
0.02,9.7460,0.0000,7.7460,7.0000,15.0000,0.0000,0.0000
0.02,9.8860,0.0000,7.8860,7.0000,15.0000,0.0000,0.0000
0.02,10.0290,0.0000,8.0290,7.3000,15.0000,0.0000,0.0000
0.02,10.1720,-0.0001,8.1720,7.0000,15.0000,0.0000,-0.0016
0.02,10.3120,-0.0005,8.3120,7.0000,15.0000,0.0000,-0.0052
0.02,10.4520,-0.0016,8.4520,7.0000,15.0000,0.0000,-0.0110
0.02,10.5920,-0.0037,8.5920,7.0000,15.0000,0.0000,-0.0192
0.02,10.7319,-0.0072,8.7320,7.0000,15.0000,0.0000,-0.0301
0.02,10.8718,-0.0123,8.8720,7.0000,15.0000,0.0000,-0.0438
0.02,11.0116,-0.0196,9.0120,7.0000,15.0000,0.0000,-0.0610
0.02,11.1513,-0.0295,9.1520,7.0000,15.0000,0.0000,-0.0822
0.02,11.2907,-0.0428,9.2920,7.0000,15.0000,0.0000,-0.1080
0.02,11.4296,-0.0600,9.4320,7.0000,15.0000,0.0000,-0.1394
0.02,11.5678,-0.0820,9.5720,7.0000,15.0000,0.0000,-0.1774
0.02,11.7050,-0.1098,9.7120,7.0000,15.0000,0.0000,-0.2236
0.02,11.8407,-0.1445,9.8520,7.0000,15.0000,0.0000,-0.2794
0.02,11.9739,-0.1874,9.9920,7.0000,15.0000,0.0000,-0.3466
0.02,12.1036,-0.2401,10.1320,7.0000,15.0000,0.0000,-0.4265
0.02,12.2282,-0.3037,10.2720,7.0000,15.0000,0.0000,-0.5198
0.02,12.3459,-0.3794,10.4120,7.0000,15.0000,0.0000,-0.6253
0.02,12.4545,-0.4676,10.5520,7.0000,15.0000,0.0000,-0.7394
0.02,12.5522,-0.5678,10.6920,7.0000,15.0000,0.0000,-0.8562
0.02,12.6378,-0.6785,10.8320,7.0000,15.0000,0.0000,-0.9689
0.02,12.7108,-0.7979,10.9720,7.0000,15.0000,0.0000,-1.0720
0.02,12.7720,-0.9237,11.1120,7.0000,15.0000,0.0000,-1.1624
0.02,12.8225,-1.0543,11.2520,7.0000,15.0000,0.0000,-1.2396
0.02,12.8636,-1.1881,11.3920,7.0000,15.0000,0.0000,-1.3042
0.02,12.8967,-1.3241,11.5320,7.0000,15.0000,0.0000,-1.3578
0.02,12.9231,-1.4616,11.6720,7.0000,15.0000,0.0000,-1.4021
0.02,12.9440,-1.6000,11.8120,7.0000,15.0000,0.0000,-1.4386
0.02,12.9603,-1.7390,11.9520,7.0000,15.0000,0.0000,-1.4688
0.02,12.9728,-1.8785,12.0920,7.0000,15.0000,0.0000,-1.4935
0.02,12.9822,-2.0182,12.2320,7.0000,15.0000,0.0000,-1.5137
0.02,12.9890,-2.1580,12.3720,7.0000,15.0000,0.0000,-1.5301
0.02,12.9937,-2.2979,12.5120,7.0000,15.0000,0.0000,-1.5433
0.02,12.9968,-2.4379,12.6520,7.0000,15.0000,0.0000,-1.5535
0.02,12.9987,-2.5779,12.7920,7.0000,15.0000,0.0000,-1.5612
0.02,12.9996,-2.7179,12.9320,7.0000,15.0000,0.0000,-1.5665
0.02,12.9999,-2.8579,13.0720,7.0000,15.0000,0.0000,-1.5697
0.02,13.0000,-2.9979,13.2120,7.0000,15.0000,0.0000,-1.5708
0.02,12.9999,-3.1409,13.3550,7.3000,15.0000,0.0000,-1.5739
0.02,12.9988,-3.2838,13.4980,7.0000,15.0000,0.0000,-1.5832
0.02,12.9961,-3.4238,13.6380,7.0000,15.0000,0.0000,-1.5985
0.02,12.9907,-3.5637,13.7780,7.0000,15.0000,0.0000,-1.6208
0.02,12.9817,-3.7034,13.9180,7.0000,15.0000,0.0000,-1.6510
0.02,12.9679,-3.8427,14.0580,7.0000,15.0000,0.0000,-1.6909
0.02,12.9476,-3.9812,14.1980,7.0000,15.0000,0.0000,-1.7431
0.02,12.9192,-4.1183,14.3380,7.0000,15.0000,0.0000,-1.8109
0.02,12.8802,-4.2527,14.4780,7.0000,15.0000,0.0000,-1.8986
0.02,12.8281,-4.3826,14.6180,7.0000,15.0000,0.0000,-2.0103
0.02,12.7603,-4.5049,14.7580,7.0000,15.0000,0.0000,-2.1477
0.02,12.6751,-4.6159,14.8980,7.0000,15.0000,0.0000,-2.3057
0.02,12.5731,-4.7115,15.0380,7.0000,15.0000,0.0000,-2.4701
0.02,12.4572,-4.7897,15.1780,7.0000,15.0000,0.0000,-2.6232
0.02,12.3313,-4.8508,15.3180,7.0000,15.0000,0.0000,-2.7525
0.02,12.1992,-4.8969,15.4580,7.0000,15.0000,0.0000,-2.8553
0.02,12.0634,-4.9308,15.5980,7.0000,15.0000,0.0000,-2.9342
0.02,11.9256,-4.9554,15.7380,7.0000,15.0000,0.0000,-2.9938
0.02,11.7867,-4.9727,15.8780,7.0000,15.0000,0.0000,-3.0386
0.02,11.6472,-4.9847,16.0180,7.0000,15.0000,0.0000,-3.0720
