dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,2.0060,0.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0000
0.02,2.0180,0.0000,0.0180,0.6000,15.0000,0.0000,0.0180,0.6000,15.0000,0.0000,0.0180,0.6000,15.0000,0.0000,0.0000
0.02,2.0360,0.0000,0.0360,0.9000,15.0000,0.0000,0.0360,0.9000,15.0000,0.0000,0.0360,0.9000,15.0000,0.0000,0.0000
0.02,2.0600,0.0000,0.0600,1.2000,15.0000,0.0000,0.0600,1.2000,15.0000,0.0000,0.0600,1.2000,15.0000,0.0000,0.0000
0.02,2.0900,0.0000,0.0900,1.5000,15.0000,0.0000,0.0900,1.5000,15.0000,0.0000,0.0900,1.5000,15.0000,0.0000,0.0000
0.02,2.1260,0.0000,0.1260,1.8000,15.0000,0.0000,0.1260,1.8000,15.0000,0.0000,0.1260,1.8000,15.0000,0.0000,0.0000
0.02,2.1680,0.0000,0.1680,2.1000,15.0000,0.0000,0.1680,2.1000,15.0000,0.0000,0.1680,2.1000,15.0000,0.0000,0.0000
0.02,2.2160,0.0000,0.2160,2.4000,15.0000,0.0000,0.2160,2.4000,15.0000,0.0000,0.2160,2.4000,15.0000,0.0000,0.0000
0.02,2.2700,0.0000,0.2700,2.7000,15.0000,0.0000,0.2700,2.7000,15.0000,0.0000,0.2700,2.7000,15.0000,0.0000,0.0000
0.02,2.3300,0.0000,0.3300,3.0000,15.0000,0.0000,0.3300,3.0000,15.0000,0.0000,0.3300,3.0000,15.0000,0.0000,0.0000
0.02,2.3960,0.0000,0.3960,3.3000,15.0000,0.0000,0.3960,3.3000,15.0000,0.0000,0.3960,3.3000,15.0000,0.0000,0.0000
0.02,2.4680,0.0000,0.4680,3.6000,15.0000,0.0000,0.4680,3.6000,15.0000,0.0000,0.4680,3.6000,15.0000,0.0000,0.0000
0.02,2.5460,0.0000,0.5460,3.9000,15.0000,0.0000,0.5460,3.9000,15.0000,0.0000,0.5460,3.9000,15.0000,0.0000,0.0000
0.02,2.6300,0.0000,0.6300,4.2000,15.0000,0.0000,0.6300,4.2000,15.0000,0.0000,0.6300,4.2000,15.0000,0.0000,0.0000
0.02,2.7200,0.0000,0.7200,4.5000,15.0000,0.0000,0.7200,4.5000,15.0000,0.0000,0.7200,4.5000,15.0000,0.0000,0.0000
0.02,2.8160,0.0000,0.8160,4.8000,15.0000,0.0000,0.8160,4.8000,15.0000,0.0000,0.8160,4.8000,15.0000,0.0000,0.0000
0.02,2.9180,0.0000,0.9180,5.1000,15.0000,0.0000,0.9180,5.1000,15.0000,0.0000,0.9180,5.1000,15.0000,0.0000,0.0000
0.02,3.0260,0.0000,1.0260,5.4000,15.0000,0.0000,1.0260,5.4000,15.0000,0.0000,1.0260,5.4000,15.0000,0.0000,0.0000
0.02,3.1400,0.0000,1.1400,5.7000,15.0000,0.0000,1.1400,5.7000,15.0000,0.0000,1.1400,5.7000,15.0000,0.0000,0.0000
0.02,3.2600,0.0000,1.2600,6.0000,15.0000,0.0000,1.2600,6.0000,15.0000,0.0000,1.2600,6.0000,15.0000,0.0000,0.0000
0.02,3.3860,0.0000,1.3860,6.3000,15.0000,0.0000,1.3860,6.3000,15.0000,0.0000,1.3860,6.3000,15.0000,0.0000,0.0000
0.02,3.5180,0.0000,1.5180,6.6000,15.0000,0.0000,1.5180,6.6000,15.0000,0.0000,1.5180,6.6000,15.0000,0.0000,0.0000
0.02,3.6560,0.0000,1.6560,6.9000,15.0000,0.0000,1.6560,6.9000,15.0000,0.0000,1.6560,6.9000,15.0000,0.0000,0.0000
0.02,3.7960,0.0000,1.7960,7.0000,5.0000,-500.0000,1.7960,7.0000,15.0000,0.0000,1.7960,7.0000,5.0000,-500.0000,0.0000
0.02,3.9360,0.0000,1.9360,7.0000,0.0000,-250.0000,1.9360,7.0000,15.0000,0.0000,1.9360,7.0000,0.0000,-250.0000,0.0000
0.02,4.0760,0.0000,2.0760,7.0000,0.0000,0.0000,2.0760,7.0000,15.0000,0.0000,2.0760,7.0000,0.0000,0.0000,0.0000
0.02,4.2160,0.0000,2.2160,7.0000,0.0000,0.0000,2.2160,7.0000,15.0000,0.0000,2.2160,7.0000,0.0000,0.0000,0.0000
0.02,4.3560,0.0000,2.3560,7.0000,0.0000,0.0000,2.3560,7.0000,15.0000,0.0000,2.3560,7.0000,0.0000,0.0000,0.0000
0.02,4.4960,0.0000,2.4960,7.0000,0.0000,0.0000,2.4960,7.0000,15.0000,0.0000,2.4960,7.0000,0.0000,0.0000,0.0000
0.02,4.6360,0.0000,2.6360,7.0000,0.0000,0.0000,2.6360,7.0000,15.0000,0.0000,2.6360,7.0000,0.0000,0.0000,0.0000
0.02,4.7760,0.0000,2.7760,7.0000,0.0000,0.0000,2.7760,7.0000,15.0000,0.0000,2.7760,7.0000,0.0000,0.0000,0.0000
