dt,x,y,position,velocity,acceleration,jerk,heading
0.02,4.3030,0.0000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,4.3120,0.0000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,4.3270,0.0000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,4.3480,0.0000,0.0480,1.2000,15.0000,0.0000,0.0001
0.02,4.3750,0.0000,0.0750,1.5000,15.0000,0.0000,0.0003
0.02,4.4080,0.0000,0.1080,1.8000,15.0000,0.0000,0.0006
0.02,4.4470,0.0001,0.1470,2.1000,15.0000,0.0000,0.0011
0.02,4.4920,0.0001,0.1920,2.4000,15.0000,0.0000,0.0018
0.02,4.5430,0.0002,0.2430,2.7000,15.0000,0.0000,0.0029
0.02,4.6000,0.0004,0.3000,3.0000,15.0000,0.0000,0.0044
0.02,4.6630,0.0008,0.3630,3.3000,15.0000,0.0000,0.0064
0.02,4.7320,0.0013,0.4320,3.6000,15.0000,0.0000,0.0090
0.02,4.8070,0.0021,0.5070,3.9000,15.0000,0.0000,0.0124
0.02,4.8880,0.0033,0.5880,4.2000,15.0000,0.0000,0.0166
0.02,4.9750,0.0050,0.6750,4.5000,15.0000,0.0000,0.0219
0.02,5.0679,0.0073,0.7680,4.8000,15.0000,0.0000,0.0283
0.02,5.1669,0.0105,0.8670,5.1000,15.0000,0.0000,0.0361
0.02,5.2718,0.0147,0.9720,5.4000,15.0000,0.0000,0.0454
0.02,5.3827,0.0204,1.0830,5.7000,15.0000,0.0000,0.0566
0.02,5.4994,0.0277,1.2000,6.0000,15.0000,0.0000,0.0698
0.02,5.6221,0.0373,1.3230,6.3000,15.0000,0.0000,0.0856
0.02,5.7505,0.0495,1.4520,6.6000,15.0000,0.0000,0.1042
0.02,5.8846,0.0650,1.5870,6.9000,15.0000,0.0000,0.1262
0.02,6.0222,0.0842,1.7260,7.0000,15.0000,0.0000,0.1518
0.02,6.1603,0.1073,1.8660,7.0000,15.0000,0.0000,0.1809
0.02,6.2976,0.1347,2.0060,7.0000,15.0000,0.0000,0.2136
0.02,6.4338,0.1669,2.1460,7.0000,15.0000,0.0000,0.2503
0.02,6.5688,0.2043,2.2860,7.0000,15.0000,0.0000,0.2913
0.02,6.7019,0.2475,2.4260,7.0000,15.0000,0.0000,0.3369
0.02,6.8328,0.2970,2.5660,7.0000,15.0000,0.0000,0.3874
0.02,6.9610,0.3534,2.7060,7.0000,15.0000,0.0000,0.4427
0.02,7.0856,0.4171,2.8460,7.0000,15.0000,0.0000,0.5027
0.02,7.2061,0.4884,2.9860,7.0000,15.0000,0.0000,0.5669
0.02,7.3215,0.5675,3.1260,7.0000,15.0000,0.0000,0.6344
0.02,7.4313,0.6543,3.2660,7.0000,15.0000,0.0000,0.7040
0.02,7.5348,0.7486,3.4060,7.0000,15.0000,0.0000,0.7743
0.02,7.6314,0.8499,3.5460,7.0000,15.0000,0.0000,0.8435
0.02,7.7209,0.9575,3.6860,7.0000,15.0000,0.0000,0.9102
0.02,7.8032,1.0707,3.8260,7.0000,15.0000,0.0000,0.9730
0.02,7.8786,1.1887,3.9660,7.0000,15.0000,0.0000,1.0309
0.02,7.9473,1.3106,4.1060,7.0000,15.0000,0.0000,1.0833
0.02,8.0099,1.4358,4.2460,7.0000,15.0000,0.0000,1.1299
0.02,8.0670,1.5636,4.3860,7.0000,15.0000,0.0000,1.1707
0.02,8.1192,1.6935,4.5260,7.0000,15.0000,0.0000,1.2058
0.02,8.1672,1.8251,4.6660,7.0000,15.0000,0.0000,1.2355
0.02,8.2116,1.9578,4.8060,7.0000,15.0000,0.0000,1.2600
0.02,8.2530,2.0915,4.9460,7.0000,15.0000,0.0000,1.2796
0.02,8.2922,2.2260,5.0860,7.0000,15.0000,0.0000,1.2945
0.02,8.3296,2.3609,5.2260,7.0000,15.0000,0.0000,1.3049
0.02,8.3659,2.4961,5.3660,7.0000,15.0000,0.0000,1.3111
0.02,8.4017,2.6314,5.5060,7.0000,15.0000,0.0000,1.3130
0.02,8.4375,2.7668,5.6460,7.0000,15.0000,0.0000,1.3107
0.02,8.4739,2.9019,5.7860,7.0000,15.0000,0.0000,1.3041
0.02,8.5115,3.0368,5.9260,7.0000,15.0000,0.0000,1.2933
0.02,8.5508,3.1712,6.0660,7.0000,15.0000,0.0000,1.2779
0.02,8.5925,3.3048,6.2060,7.0000,15.0000,0.0000,1.2579
0.02,8.6372,3.4375,6.3460,7.0000,15.0000,0.0000,1.2329
0.02,8.6856,3.5689,6.4860,7.0000,15.0000,0.0000,1.2027
0.02,8.7382,3.6986,6.6260,7.0000,15.0000,0.0000,1.1671
0.02,8.7958,3.8262,6.7660,7.0000,15.0000,0.0000,1.1257
0.02,8.8589,3.9511,6.9060,7.0000,15.0000,0.0000,1.0785
0.02,8.9283,4.0727,7.0460,7.0000,15.0000,0.0000,1.0256
0.02,9.0043,4.1903,7.1860,7.0000,15.0000,0.0000,0.9672
0.02,9.0873,4.3030,7.3260,7.0000,15.0000,0.0000,0.9040
0.02,9.1775,4.4100,7.4660,7.0000,15.0000,0.0000,0.8370
0.02,9.2747,4.5107,7.6060,7.0000,15.0000,0.0000,0.7676
0.02,9.3788,4.6043,7.7460,7.0000,15.0000,0.0000,0.6974
0.02,9.4892,4.6904,7.8860,7.0000,15.0000,0.0000,0.6279
0.02,9.6052,4.7687,8.0260,7.0000,15.0000,0.0000,0.5607
0.02,9.7261,4.8393,8.1660,7.0000,15.0000,0.0000,0.4968
0.02,9.8511,4.9023,8.3060,7.0000,15.0000,0.0000,0.4373
0.02,9.9795,4.9580,8.4460,7.0000,15.0000,0.0000,0.3824
0.02,10.1106,5.0069,8.5860,7.0000,15.0000,0.0000,0.3324
0.02,10.2440,5.0495,8.7260,7.0000,15.0000,0.0000,0.2872
0.02,10.3790,5.0864,8.8660,7.0000,15.0000,0.0000,0.2466
0.02,10.5154,5.1181,9.0060,7.0000,15.0000,0.0000,0.2103
0.02,10.6528,5.1450,9.1460,7.0000,15.0000,0.0000,0.1780
0.02,10.7909,5.1678,9.2860,7.0000,15.0000,0.0000,0.1492
0.02,10.9296,5.1868,9.4260,7.0000,15.0000,0.0000,0.1238
0.02,11.0687,5.2025,9.5660,7.0000,15.0000,0.0000,0.1013
0.02,11.2081,5.2153,9.7060,7.0000,15.0000,0.0000,0.0815
0.02,11.3477,5.2254,9.8460,7.0000,15.0000,0.0000,0.0643
0.02,11.4875,5.2333,9.9860,7.0000,15.0000,0.0000,0.0493
0.02,11.6274,5.2393,10.1260,7.0000,15.0000,0.0000,0.0365
0.02,11.7673,5.2437,10.2660,7.0000,15.0000,0.0000,0.0258
0.02,11.9073,5.2466,10.4060,7.0000,15.0000,0.0000,0.0169
0.02,12.0473,5.2485,10.5460,7.0000,15.0000,0.0000,0.0099
0.02,12.1873,5.2495,10.6860,7.0000,15.0000,0.0000,0.0048
0.02,12.3273,5.2499,10.8260,7.0000,15.0000,0.0000,0.0015
0.02,12.4673,5.2500,10.9660,7.0000,15.0000,0.0000,0.0001
0.02,12.6103,5.2500,11.1090,7.3000,15.0000,0.0000,0.0000
0.02,12.7593,5.2500,11.2580,7.6000,15.0000,0.0000,0.0000
0.02,12.9143,5.2500,11.4130,7.9000,15.0000,0.0000,0.0000
0.02,13.0753,5.2500,11.5740,8.2000,15.0000,0.0000,0.0000
0.02,13.2423,5.2500,11.7410,8.5000,15.0000,0.0000,0.0000
0.02,13.4153,5.2500,11.9140,8.8000,15.0000,0.0000,0.0000
0.02,13.5943,5.2500,12.0930,9.1000,15.0000,0.0000,0.0000
0.02,13.7793,5.2500,12.2780,9.4000,15.0000,0.0000,0.0000
0.02,13.9703,5.2500,12.4690,9.7000,15.0000,0.0000,0.0000
0.02,14.1673,5.2500,12.6660,10.0000,15.0000,0.0000,0.0000
0.02,14.3673,5.2500,12.8660,10.0000,15.0000,0.0000,0.0000
0.02,14.5673,5.2500,13.0660,10.0000,15.0000,0.0000,0.0000
0.02,14.7673,5.2500,13.2660,10.0000,15.0000,0.0000,0.0000
0.02,14.9673,5.2500,13.4660,10.0000,15.0000,0.0000,0.0000
0.02,15.1673,5.2500,13.6660,10.0000,15.0000,0.0000,0.0000
0.02,15.3673,5.2500,13.8660,10.0000,15.0000,0.0000,0.0000
0.02,15.5673,5.2500,14.0660,10.0000,15.0000,0.0000,0.0000
0.02,15.7673,5.2500,14.2660,10.0000,15.0000,0.0000,0.0000
0.02,15.9673,5.2500,14.4660,10.0000,15.0000,0.0000,0.0000
0.02,16.1673,5.2500,14.6660,10.0000,15.0000,0.0000,0.0000
0.02,16.3673,5.2500,14.8660,10.0000,15.0000,0.0000,0.0000
0.02,16.5673,5.2500,15.0660,10.0000,15.0000,0.0000,0.0000
0.02,16.7673,5.2500,15.2660,10.0000,15.0000,0.0000,0.0000
0.02,16.9673,5.2500,15.4660,10.0000,15.0000,0.0000,0.0000
0.02,17.1673,5.2500,15.6660,10.0000,15.0000,0.0000,0.0000
0.02,17.3643,5.2500,15.8630,9.7010,-14.9503,0.0000,0.0000
0.02,17.5553,5.2500,16.0540,9.4020,-14.9503,0.0000,0.0000
0.02,17.7404,5.2500,16.2391,9.1030,-14.9503,0.0000,0.0000
0.02,17.9194,5.2500,16.4182,8.8040,-14.9503,0.0000,0.0000
0.02,18.0925,5.2500,16.5912,8.5050,-14.9503,0.0000,0.0000
0.02,18.2596,5.2500,16.7584,8.2060,-14.9503,0.0000,0.0000
0.02,18.4208,5.2500,16.9195,7.9070,-14.9503,0.0000,0.0000
0.02,18.5759,5.2500,17.0746,7.6079,-14.9503,0.0000,0.0000
0.02,18.7251,5.2500,17.2238,7.3089,-14.9503,0.0000,0.0000
0.02,18.8683,5.2500,17.3670,7.0099,-14.9503,0.0000,0.0000
0.02,19.0055,5.2500,17.5042,6.7109,-14.9503,0.0000,0.0000
0.02,19.1367,5.2500,17.6354,6.4119,-14.9503,0.0000,0.0000
0.02,19.2620,5.2500,17.7607,6.1129,-14.9503,0.0000,0.0000
0.02,19.3812,5.2500,17.8799,5.8139,-14.9503,0.0000,0.0000
0.02,19.4945,5.2500,17.9932,5.5149,-14.9503,0.0000,0.0000
0.02,19.6078,5.2499,18.1065,5.8149,15.0000,0.0000,-0.0016
0.02,19.7210,5.2495,18.2197,5.5000,15.0000,0.0000,-0.0066
0.02,19.8310,5.2484,18.3297,5.5000,15.0000,0.0000,-0.0147
0.02,19.9409,5.2462,18.4397,5.5000,15.0000,0.0000,-0.0260
0.02,20.0509,5.2425,18.5497,5.5000,15.0000,0.0000,-0.0406
0.02,20.1607,5.2371,18.6597,5.5000,15.0000,0.0000,-0.0589
0.02,20.2705,5.2295,18.7697,5.5000,15.0000,0.0000,-0.0810
0.02,20.3800,5.2191,18.8797,5.5000,15.0000,0.0000,-0.1076
0.02,20.4891,5.2057,18.9897,5.5000,15.0000,0.0000,-0.1390
0.02,20.5978,5.1885,19.0997,5.5000,15.0000,0.0000,-0.1760
0.02,20.7056,5.1669,19.2097,5.5000,15.0000,0.0000,-0.2193
0.02,20.8124,5.1404,19.3197,5.5000,15.0000,0.0000,-0.2697
0.02,20.9175,5.1081,19.4297,5.5000,15.0000,0.0000,-0.3281
0.02,21.0204,5.0692,19.5397,5.5000,15.0000,0.0000,-0.3952
0.02,21.1203,5.0231,19.6497,5.5000,15.0000,0.0000,-0.4713
0.02,21.2161,4.9692,19.7597,5.5000,15.0000,0.0000,-0.5561
0.02,21.3067,4.9069,19.8697,5.5000,15.0000,0.0000,-0.6483
0.02,21.3911,4.8364,19.9797,5.5000,15.0000,0.0000,-0.7454
0.02,21.4681,4.7579,20.0897,5.5000,15.0000,0.0000,-0.8440
0.02,21.5371,4.6723,20.1997,5.5000,15.0000,0.0000,-0.9405
0.02,21.5977,4.5805,20.3097,5.5000,15.0000,0.0000,-1.0315
0.02,21.6501,4.4839,20.4197,5.5000,15.0000,0.0000,-1.1148
0.02,21.6948,4.3834,20.5297,5.5000,15.0000,0.0000,-1.1892
0.02,21.7323,4.2800,20.6397,5.5000,15.0000,0.0000,-1.2544
0.02,21.7635,4.1745,20.7497,5.5000,15.0000,0.0000,-1.3108
0.02,21.7891,4.0676,20.8597,5.5000,15.0000,0.0000,-1.3593
0.02,21.8099,3.9596,20.9697,5.5000,15.0000,0.0000,-1.4006
0.02,21.8266,3.8508,21.0797,5.5000,15.0000,0.0000,-1.4356
0.02,21.8398,3.7416,21.1897,5.5000,15.0000,0.0000,-1.4650
0.02,21.8500,3.6321,21.2997,5.5000,15.0000,0.0000,-1.4896
0.02,21.8578,3.5224,21.4097,5.5000,15.0000,0.0000,-1.5099
0.02,21.8635,3.4125,21.5197,5.5000,15.0000,0.0000,-1.5264
0.02,21.8677,3.3026,21.6297,5.5000,15.0000,0.0000,-1.5393
0.02,21.8706,3.1927,21.7397,5.5000,15.0000,0.0000,-1.5491
