dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,4.3028,0.0000,0.0028,0.1400,7.0000,0.0000,0.0028,0.1400,7.0000,0.0000,0.0028,0.1400,7.0000,0.0000,0.0000
0.02,4.3084,0.0000,0.0084,0.2796,6.9820,-0.8975,0.0084,0.2800,7.0000,0.0000,0.0084,0.2804,7.0180,0.8975,0.0000
0.02,4.3168,0.0000,0.0168,0.4188,6.9575,-1.2287,0.0168,0.4200,7.0000,0.0000,0.0168,0.4212,7.0425,1.2287,0.0000
0.02,4.3280,0.0000,0.0279,0.5571,6.9175,-1.9997,0.0280,0.5600,7.0000,0.0000,0.0281,0.5629,7.0825,1.9997,0.0001
0.02,4.3420,0.0000,0.0418,0.6944,6.8646,-2.6451,0.0420,0.7000,7.0000,0.0000,0.0422,0.7056,7.1354,2.6451,0.0002
0.02,4.3588,0.0000,0.0584,0.8304,6.7991,-3.2736,0.0588,0.8400,7.0000,0.0000,0.0592,0.8496,7.2009,3.2736,0.0003
0.02,4.3784,0.0000,0.0777,0.9648,6.7214,-3.8830,0.0784,0.9800,7.0000,0.0000,0.0791,0.9952,7.2786,3.8830,0.0006
0.02,4.4008,0.0000,0.0997,1.0975,6.6320,-4.4718,0.1008,1.1200,7.0000,0.0000,0.1019,1.1425,7.3680,4.4718,0.0010
0.02,4.4260,0.0001,0.1242,1.2281,6.5312,-5.0399,0.1260,1.2600,7.0000,0.0000,0.1278,1.2919,7.4688,5.0399,0.0016
0.02,4.4540,0.0001,0.1513,1.3565,6.4194,-5.5883,0.1540,1.4000,7.0000,0.0000,0.1567,1.4435,7.5806,5.5882,0.0024
0.02,4.4848,0.0002,0.1810,1.4824,6.2971,-6.1193,0.1848,1.5400,7.0000,0.0000,0.1886,1.5976,7.7029,6.1192,0.0034
0.02,4.5184,0.0003,0.2131,1.6057,6.1643,-6.6365,0.2184,1.6800,7.0000,0.0000,0.2237,1.7543,7.8357,6.6364,0.0047
0.02,4.5548,0.0005,0.2476,1.7262,6.0214,-7.1447,0.2548,1.8200,7.0000,0.0000,0.2620,1.9138,7.9786,7.1445,0.0064
0.02,4.5940,0.0008,0.2845,1.8435,5.8684,-7.6496,0.2940,1.9600,7.0000,0.0000,0.3035,2.0765,8.1315,7.6494,0.0084
0.02,4.6360,0.0012,0.3237,1.9576,5.7053,-8.1579,0.3360,2.1000,7.0000,0.0000,0.3483,2.2424,8.2947,8.1575,0.0110
0.02,4.6808,0.0018,0.3650,2.0683,5.5317,-8.6770,0.3808,2.2400,7.0000,0.0000,0.3966,2.4117,8.4682,8.6765,0.0140
0.02,4.7284,0.0026,0.4085,2.1752,5.3475,-9.2147,0.4284,2.3800,7.0000,0.0000,0.4483,2.5848,8.6525,9.2140,0.0177
0.02,4.7788,0.0035,0.4541,2.2782,5.1519,-9.7789,0.4788,2.5200,7.0000,0.0000,0.5035,2.7617,8.8481,9.7779,0.0220
0.02,4.8320,0.0048,0.5016,2.3771,4.9443,-10.3770,0.5320,2.6600,7.0000,0.0000,0.5624,2.9429,9.0556,10.3759,0.0270
0.02,4.8879,0.0065,0.5511,2.4716,4.7240,-11.0159,0.5880,2.8000,7.0000,0.0000,0.6249,3.1284,9.2759,11.0144,0.0328
0.02,4.9467,0.0086,0.6023,2.5614,4.4900,-11.7007,0.6468,2.9400,7.0000,0.0000,0.6913,3.3186,9.5098,11.6987,0.0396
0.02,5.0082,0.0113,0.6552,2.6462,4.2413,-12.4339,0.7084,3.0800,7.0000,0.0000,0.7616,3.5137,9.7585,12.4314,0.0473
0.02,5.0726,0.0146,0.7097,2.7258,3.9770,-13.2145,0.7728,3.2200,7.0000,0.0000,0.8359,3.7142,10.0227,13.2112,0.0561
0.02,5.1396,0.0187,0.7657,2.7997,3.6963,-14.0358,0.8400,3.3600,7.0000,0.0000,0.9143,3.9203,10.3033,14.0318,0.0660
0.02,5.2094,0.0237,0.8231,2.8677,3.3986,-14.8838,0.9100,3.5000,7.0000,0.0000,0.9969,4.1323,10.6009,14.8788,0.0773
0.02,5.2820,0.0298,0.8817,2.9294,3.0840,-15.7341,0.9828,3.6400,7.0000,0.0000,1.0839,4.3506,10.9155,15.7278,0.0899
0.02,5.3572,0.0371,0.9414,2.9844,2.7530,-16.5478,1.0584,3.7800,7.0000,0.0000,1.1754,4.5755,11.2463,16.5402,0.1040
0.02,5.4351,0.0459,1.0020,3.0326,2.4076,-17.2682,1.1368,3.9200,7.0000,0.0000,1.2716,4.8073,11.5914,17.2589,0.1198
0.02,5.5157,0.0563,1.0635,3.0736,2.0514,-17.8142,1.2180,4.0600,7.0000,0.0000,1.3725,5.0463,11.9475,17.8031,0.1373
0.02,5.5988,0.0686,1.1256,3.1074,1.6898,-18.0757,1.3020,4.2000,7.0000,0.0000,1.4784,5.2925,12.3088,18.0626,0.1568
0.02,5.6844,0.0830,1.1883,3.1340,1.3317,-17.9073,1.3888,4.3400,7.0000,0.0000,1.5893,5.5458,12.6666,17.8918,0.1782
0.02,5.7723,0.0999,1.2514,3.1538,0.9892,-17.1245,1.4784,4.4800,7.0000,0.0000,1.7054,5.8060,13.0087,17.1068,0.2018
