dt,x,y,position,velocity,acceleration,jerk,heading
0.02,4.3030,-1.1250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,4.3120,-1.1250,0.0120,0.4504,7.5192,-374.0419,0.0000
0.02,4.3270,-1.1250,0.0270,0.7517,15.0637,377.2257,0.0000
0.02,4.3481,-1.1250,0.0481,1.0544,15.1394,3.7868,0.0001
0.02,4.3753,-1.1250,0.0753,1.3593,15.2443,5.2441,0.0003
0.02,4.4087,-1.1250,0.1087,1.6669,15.3774,6.6539,0.0006
0.02,4.4482,-1.1249,0.1482,1.9776,15.5377,8.0156,0.0011
0.02,4.4940,-1.1249,0.1940,2.2921,15.7244,9.3376,0.0018
0.02,4.5463,-1.1248,0.2463,2.6109,15.9372,10.6380,0.0029
0.02,4.6050,-1.1245,0.3050,2.9344,16.1761,11.9453,0.0044
0.02,4.6702,-1.1242,0.3702,3.2632,16.4421,13.2989,0.0064
0.02,4.7422,-1.1236,0.4422,3.5980,16.7371,14.7500,0.0090
0.02,4.8210,-1.1228,0.5210,3.9393,17.0643,16.3620,0.0124
0.02,4.9067,-1.1216,0.6067,4.2878,17.4286,18.2127,0.0166
0.02,4.9996,-1.1198,0.6996,4.6446,17.8365,20.3959,0.0219
0.02,5.0998,-1.1173,0.7998,5.0105,18.2970,23.0255,0.0283
0.02,5.2074,-1.1138,0.9076,5.3869,18.8218,26.2390,0.0361
0.02,5.3229,-1.1091,1.0231,5.7755,19.4259,30.2046,0.0454
0.02,5.4463,-1.1028,1.1466,6.1780,20.1284,35.1264,0.0566
0.02,5.5779,-1.0945,1.2786,6.5971,20.9534,41.2520,0.0698
0.02,5.7182,-1.0836,1.4193,7.0357,21.9310,48.8753,0.0856
0.02,5.8675,-1.0694,1.5692,7.4977,23.0976,58.3324,0.1042
0.02,6.0262,-1.0511,1.7290,7.9876,24.4971,69.9753,0.1262
0.02,6.1924,-1.0279,1.8968,8.3892,20.0792,-220.8976,0.1518
0.02,6.3627,-0.9993,2.0695,8.6352,12.3010,-388.9085,0.1809
0.02,6.5361,-0.9647,2.2463,8.8398,10.2317,-103.4652,0.2136
0.02,6.7125,-0.9231,2.4275,9.0637,11.1917,48.0022,0.2503
0.02,6.8919,-0.8734,2.6137,9.3064,12.1353,47.1774,0.2913
