dt,x,y,position,velocity,acceleration,jerk,heading
0.02,3.0030,6.0000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,3.0120,6.0000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,3.0270,6.0000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,3.0480,6.0000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,3.0750,6.0000,0.0750,1.5000,15.0000,0.0000,-0.0001
0.02,3.1080,6.0000,0.1080,1.8000,15.0000,0.0000,-0.0002
0.02,3.1470,6.0000,0.1470,2.1000,15.0000,0.0000,-0.0004
0.02,3.1920,6.0000,0.1920,2.4000,15.0000,0.0000,-0.0007
0.02,3.2430,5.9999,0.2430,2.7000,15.0000,0.0000,-0.0011
0.02,3.3000,5.9998,0.3000,3.0000,15.0000,0.0000,-0.0017
0.02,3.3630,5.9997,0.3630,3.3000,15.0000,0.0000,-0.0025
0.02,3.4320,5.9995,0.4320,3.6000,15.0000,0.0000,-0.0035
0.02,3.5070,5.9992,0.5070,3.9000,15.0000,0.0000,-0.0048
0.02,3.5880,5.9987,0.5880,4.2000,15.0000,0.0000,-0.0065
0.02,3.6750,5.9981,0.6750,4.5000,15.0000,0.0000,-0.0085
0.02,3.7680,5.9972,0.7680,4.8000,15.0000,0.0000,-0.0110
0.02,3.8670,5.9959,0.8670,5.1000,15.0000,0.0000,-0.0139
0.02,3.9720,5.9943,0.9720,5.4000,15.0000,0.0000,-0.0175
0.02,4.0829,5.9921,1.0830,5.7000,15.0000,0.0000,-0.0217
0.02,4.1999,5.9893,1.2000,6.0000,15.0000,0.0000,-0.0265
0.02,4.3229,5.9857,1.3230,6.3000,15.0000,0.0000,-0.0323
0.02,4.4518,5.9811,1.4520,6.6000,15.0000,0.0000,-0.0389
0.02,4.5867,5.9754,1.5870,6.9000,15.0000,0.0000,-0.0466
0.02,4.7255,5.9683,1.7260,7.0000,15.0000,0.0000,-0.0553
0.02,4.8652,5.9599,1.8660,7.0000,15.0000,0.0000,-0.0649
0.02,5.0049,5.9501,2.0060,7.0000,15.0000,0.0000,-0.0755
0.02,5.1444,5.9387,2.1460,7.0000,15.0000,0.0000,-0.0871
0.02,5.2838,5.9257,2.2860,7.0000,15.0000,0.0000,-0.0997
0.02,5.4230,5.9108,2.4260,7.0000,15.0000,0.0000,-0.1134
0.02,5.5620,5.8939,2.5660,7.0000,15.0000,0.0000,-0.1283
0.02,5.7007,5.8749,2.7060,7.0000,15.0000,0.0000,-0.1445
0.02,5.8391,5.8536,2.8460,7.0000,15.0000,0.0000,-0.1620
0.02,5.9770,5.8297,2.9860,7.0000,15.0000,0.0000,-0.1810
0.02,6.1144,5.8031,3.1260,7.0000,15.0000,0.0000,-0.2016
0.02,6.2513,5.7735,3.2660,7.0000,15.0000,0.0000,-0.2238
0.02,6.3874,5.7409,3.4060,7.0000,15.0000,0.0000,-0.2478
0.02,6.5227,5.7048,3.5460,7.0000,15.0000,0.0000,-0.2736
0.02,6.6569,5.6651,3.6860,7.0000,15.0000,0.0000,-0.3014
0.02,6.7900,5.6216,3.8260,7.0000,15.0000,0.0000,-0.3313
0.02,6.9217,5.5740,3.9660,7.0000,15.0000,0.0000,-0.3632
0.02,7.0517,5.5221,4.1060,7.0000,15.0000,0.0000,-0.3972
0.02,7.1798,5.4656,4.2460,7.0000,15.0000,0.0000,-0.4332
0.02,7.3057,5.4045,4.3860,7.0000,15.0000,0.0000,-0.4713
0.02,7.4291,5.3384,4.5260,7.0000,15.0000,0.0000,-0.5110
0.02,7.5498,5.2675,4.6660,7.0000,15.0000,0.0000,-0.5523
0.02,7.6674,5.1915,4.8060,7.0000,15.0000,0.0000,-0.5948
0.02,7.7816,5.1106,4.9460,7.0000,15.0000,0.0000,-0.6379
0.02,7.8923,5.0248,5.0860,7.0000,15.0000,0.0000,-0.6812
0.02,7.9991,4.9344,5.2260,7.0000,15.0000,0.0000,-0.7241
0.02,8.1020,4.8394,5.3660,7.0000,15.0000,0.0000,-0.7660
0.02,8.2009,4.7404,5.5060,7.0000,15.0000,0.0000,-0.8063
0.02,8.2958,4.6375,5.6460,7.0000,15.0000,0.0000,-0.8444
0.02,8.3869,4.5312,5.7860,7.0000,15.0000,0.0000,-0.8799
0.02,8.4743,4.4218,5.9260,7.0000,15.0000,0.0000,-0.9123
0.02,8.5583,4.3098,6.0660,7.0000,15.0000,0.0000,-0.9413
0.02,8.6393,4.1956,6.2060,7.0000,15.0000,0.0000,-0.9667
0.02,8.7175,4.0795,6.3460,7.0000,15.0000,0.0000,-0.9881
0.02,8.7935,3.9619,6.4860,7.0000,15.0000,0.0000,-1.0056
0.02,8.8676,3.8432,6.6260,7.0000,15.0000,0.0000,-1.0190
0.02,8.9404,3.7236,6.7660,7.0000,15.0000,0.0000,-1.0283
0.02,9.0124,3.6035,6.9060,7.0000,15.0000,0.0000,-1.0334
0.02,9.0839,3.4832,7.0460,7.0000,15.0000,0.0000,-1.0344
0.02,9.1556,3.3629,7.1860,7.0000,15.0000,0.0000,-1.0312
0.02,9.2280,3.2430,7.3260,7.0000,15.0000,0.0000,-1.0239
0.02,9.3014,3.1239,7.4660,7.0000,15.0000,0.0000,-1.0124
0.02,9.3765,3.0057,7.6060,7.0000,15.0000,0.0000,-0.9969
0.02,9.4536,2.8888,7.7460,7.0000,15.0000,0.0000,-0.9773
0.02,9.5332,2.7737,7.8860,7.0000,15.0000,0.0000,-0.9537
0.02,9.6157,2.6606,8.0260,7.0000,15.0000,0.0000,-0.9264
0.02,9.7015,2.5500,8.1660,7.0000,15.0000,0.0000,-0.8956
0.02,9.7908,2.4422,8.3060,7.0000,15.0000,0.0000,-0.8615
0.02,9.8839,2.3376,8.4460,7.0000,15.0000,0.0000,-0.8246
0.02,9.9809,2.2367,8.5860,7.0000,15.0000,0.0000,-0.7852
0.02,10.0820,2.1398,8.7260,7.0000,15.0000,0.0000,-0.7440
0.02,10.1869,2.0472,8.8660,7.0000,15.0000,0.0000,-0.7015
0.02,10.2958,1.9592,9.0060,7.0000,15.0000,0.0000,-0.6583
0.02,10.4084,1.8759,9.1460,7.0000,15.0000,0.0000,-0.6150
0.02,10.5244,1.7977,9.2860,7.0000,15.0000,0.0000,-0.5722
0.02,10.6437,1.7243,9.4260,7.0000,15.0000,0.0000,-0.5303
0.02,10.7659,1.6560,9.5660,7.0000,15.0000,0.0000,-0.4898
0.02,10.8907,1.5926,9.7060,7.0000,15.0000,0.0000,-0.4509
0.02,11.0178,1.5339,9.8460,7.0000,15.0000,0.0000,-0.4139
0.02,11.1469,1.4799,9.9860,7.0000,15.0000,0.0000,-0.3789
0.02,11.2778,1.4303,10.1260,7.0000,15.0000,0.0000,-0.3460
0.02,11.4103,1.3849,10.2660,7.0000,15.0000,0.0000,-0.3152
0.02,11.5440,1.3434,10.4060,7.0000,15.0000,0.0000,-0.2865
0.02,11.6788,1.3057,10.5460,7.0000,15.0000,0.0000,-0.2597
0.02,11.8145,1.2714,10.6860,7.0000,15.0000,0.0000,-0.2349
0.02,11.9510,1.2404,10.8260,7.0000,15.0000,0.0000,-0.2118
0.02,12.0882,1.2125,10.9660,7.0000,15.0000,0.0000,-0.1905
0.02,12.2259,1.1874,11.1060,7.0000,15.0000,0.0000,-0.1708
0.02,12.3641,1.1648,11.2460,7.0000,15.0000,0.0000,-0.1526
0.02,12.5027,1.1447,11.3860,7.0000,15.0000,0.0000,-0.1358
0.02,12.6415,1.1269,11.5260,7.0000,15.0000,0.0000,-0.1203
0.02,12.7806,1.1111,11.6660,7.0000,15.0000,0.0000,-0.1060
0.02,12.9199,1.0972,11.8060,7.0000,15.0000,0.0000,-0.0929
0.02,13.0594,1.0851,11.9460,7.0000,15.0000,0.0000,-0.0808
0.02,13.1990,1.0746,12.0860,7.0000,15.0000,0.0000,-0.0698
0.02,13.3387,1.0655,12.2260,7.0000,15.0000,0.0000,-0.0597
0.02,13.4785,1.0578,12.3660,7.0000,15.0000,0.0000,-0.0505
0.02,13.6154,1.0514,12.5030,6.7034,-14.8313,0.0000,-0.0424
0.02,13.7464,1.0464,12.6341,6.4067,-14.8313,0.0000,-0.0353
0.02,13.8715,1.0423,12.7593,6.1101,-14.8313,0.0000,-0.0292
0.02,13.9907,1.0392,12.8785,5.8135,-14.8313,0.0000,-0.0239
0.02,14.1040,1.0367,12.9918,5.5169,-14.8313,0.0000,-0.0195
0.02,14.2113,1.0348,13.0992,5.2202,-14.8313,0.0000,-0.0156
0.02,14.3128,1.0334,13.2007,4.9236,-14.8313,0.0000,-0.0124
0.02,14.4083,1.0324,13.2962,4.6270,-14.8313,0.0000,-0.0097
0.02,14.4978,1.0316,13.3857,4.3304,-14.8313,0.0000,-0.0075
0.02,14.5815,1.0310,13.4694,4.0337,-14.8313,0.0000,-0.0057
0.02,14.6592,1.0307,13.5471,3.7371,-14.8313,0.0000,-0.0042
0.02,14.7309,1.0304,13.6189,3.4405,-14.8313,0.0000,-0.0030
0.02,14.7968,1.0302,13.6847,3.1439,-14.8313,0.0000,-0.0021
0.02,14.8567,1.0301,13.7446,2.8472,-14.8313,0.0000,-0.0014
0.02,14.9107,1.0301,13.7986,2.5506,-14.8313,0.0000,-0.0009
0.02,14.9587,1.0300,13.8466,2.2540,-14.8313,0.0000,-0.0006
0.02,15.0008,1.0300,13.8887,1.9573,-14.8313,0.0000,-0.0003
0.02,15.0370,1.0300,13.9249,1.6607,-14.8313,0.0000,-0.0002
0.02,15.0673,1.0300,13.9552,1.3641,-14.8313,0.0000,-0.0001
0.02,15.0916,1.0300,13.9795,1.0675,-14.8313,0.0000,0.0000
0.02,15.1100,1.0300,13.9979,0.7708,-14.8313,0.0000,0.0000
0.02,15.1224,1.0300,14.0103,0.4742,-14.8313,0.0000,0.0000
0.02,15.1289,1.0300,14.0168,0.1776,-14.8313,0.0000,0.0000
