dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,3.0060,6.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0000
0.02,3.0180,6.0000,0.0180,0.6008,15.0424,2.1182,0.0180,0.6000,15.0000,0.0000,0.0180,0.5992,14.9576,-2.1182,0.0000
0.02,3.0360,6.0000,0.0361,0.9029,15.1002,2.8901,0.0360,0.9000,15.0000,0.0000,0.0359,0.8971,14.8998,-2.8901,-0.0001
0.02,3.0600,6.0000,0.0602,1.2067,15.1939,4.6843,0.0600,1.2000,15.0000,0.0000,0.0598,1.1933,14.8061,-4.6843,-0.0002
0.02,3.0900,6.0000,0.0905,1.5131,15.3170,6.1573,0.0900,1.5000,15.0000,0.0000,0.0895,1.4869,14.6830,-6.1573,-0.0004
0.02,3.1260,6.0000,0.1269,1.8224,15.4682,7.5598,0.1260,1.8000,15.0000,0.0000,0.1251,1.7776,14.5318,-7.5598,-0.0008
0.02,3.1680,5.9999,0.1696,2.1353,15.6458,8.8805,0.1680,2.1000,15.0000,0.0000,0.1664,2.0647,14.3542,-8.8806,-0.0014
0.02,3.2160,5.9998,0.2187,2.4523,15.8480,10.1114,0.2160,2.4000,15.0000,0.0000,0.2133,2.3477,14.1520,-10.1116,-0.0024
0.02,3.2700,5.9997,0.2741,2.7738,16.0730,11.2482,0.2700,2.7000,15.0000,0.0000,0.2659,2.6262,13.9270,-11.2485,-0.0037
0.02,3.3300,5.9994,0.3361,3.1001,16.3188,12.2897,0.3300,3.0000,15.0000,0.0000,0.3239,2.8999,13.6812,-12.2901,-0.0055
0.02,3.3960,5.9990,0.4048,3.4318,16.5835,13.2372,0.3960,3.3000,15.0000,0.0000,0.3872,3.1682,13.4164,-13.2379,-0.0078
0.02,3.4680,5.9983,0.4802,3.7691,16.8654,14.0937,0.4680,3.6000,15.0000,0.0000,0.4558,3.4309,13.1345,-14.0949,-0.0108
0.02,3.5460,5.9973,0.5624,4.1124,17.1627,14.8625,0.5460,3.9000,15.0000,0.0000,0.5296,3.6876,12.8372,-14.8643,-0.0146
0.02,3.6300,5.9959,0.6517,4.4618,17.4736,15.5454,0.6300,4.2000,15.0000,0.0000,0.6083,3.9381,12.5263,-15.5479,-0.0192
0.02,3.7200,5.9939,0.7480,4.8178,17.7964,16.1404,0.7200,4.5000,15.0000,0.0000,0.6920,4.1822,12.2034,-16.1440,-0.0249
0.02,3.8159,5.9912,0.8516,5.1804,18.1292,16.6395,0.8160,4.8000,15.0000,0.0000,0.7804,4.4196,11.8705,-16.6444,-0.0317
0.02,3.9179,5.9876,0.9626,5.5498,18.4697,17.0256,0.9180,5.1000,15.0000,0.0000,0.8734,4.6502,11.5299,-17.0320,-0.0397
0.02,4.0257,5.9828,1.0811,5.9261,18.8151,17.2690,1.0260,5.4000,15.0000,0.0000,0.9709,4.8739,11.1843,-17.2773,-0.0490
0.02,4.1396,5.9766,1.2073,6.3093,19.1615,17.3240,1.1400,5.7000,15.0000,0.0000,1.0727,5.0907,10.8376,-17.3345,-0.0598
0.02,4.2593,5.9687,1.3413,6.6994,19.5040,17.1250,1.2600,6.0000,15.0000,0.0000,1.1787,5.3006,10.4949,-17.1379,-0.0723
0.02,4.3849,5.9587,1.4832,7.0961,19.8357,16.5827,1.3860,6.3000,15.0000,0.0000,1.2888,5.5038,10.1629,-16.5985,-0.0864
