dt,x,y,position,velocity,acceleration,jerk,heading
0.02,3.0030,4.8750,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,3.0120,4.8750,0.0120,0.4499,7.4926,-375.3719,0.0000
0.02,3.0270,4.8750,0.0270,0.7494,14.9753,374.1353,0.0000
0.02,3.0479,4.8750,0.0479,1.0483,14.9458,-1.4739,0.0000
0.02,3.0749,4.8750,0.0749,1.3464,14.9049,-2.0461,-0.0001
0.02,3.1077,4.8750,0.1077,1.6434,14.8528,-2.6027,-0.0002
0.02,3.1465,4.8750,0.1465,1.9392,14.7900,-3.1420,-0.0004
0.02,3.1912,4.8750,0.1912,2.2336,14.7167,-3.6637,-0.0007
0.02,3.2417,4.8749,0.2417,2.5262,14.6333,-4.1696,-0.0011
0.02,3.2981,4.8748,0.2981,2.8170,14.5400,-4.6639,-0.0017
0.02,3.3602,4.8747,0.3602,3.1058,14.4370,-5.1526,-0.0025
0.02,3.4280,4.8745,0.4280,3.3922,14.3241,-5.6444,-0.0035
0.02,3.5016,4.8742,0.5016,3.6763,14.2011,-6.1500,-0.0048
0.02,3.5807,4.8737,0.5807,3.9576,14.0674,-6.6831,-0.0065
0.02,3.6654,4.8731,0.6654,4.2361,13.9222,-7.2595,-0.0085
0.02,3.7556,4.8722,0.7557,4.5113,13.7643,-7.8980,-0.0110
0.02,3.8513,4.8710,0.8513,4.7832,13.5919,-8.6208,-0.0139
0.02,3.9523,4.8695,0.9523,5.0512,13.4028,-9.4537,-0.0175
0.02,4.0586,4.8674,1.0586,5.3151,13.1943,-10.4267,-0.0217
0.02,4.1700,4.8647,1.1701,5.5744,12.9627,-11.5756,-0.0265
0.02,4.2866,4.8613,1.2867,5.8285,12.7039,-12.9421,-0.0323
0.02,4.4080,4.8570,1.4082,6.0767,12.4124,-14.5765,-0.0389
0.02,4.5343,4.8516,1.5346,6.3183,12.0816,-16.5383,-0.0466
0.02,4.6633,4.8450,1.6638,6.4598,7.0738,-250.3906,-0.0553
0.02,4.7922,4.8373,1.7929,6.4570,-0.1385,-360.6139,-0.0649
