dt,x,y,position,velocity,acceleration,jerk,heading
0.02,5.0030,-1.1250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,5.0120,-1.1250,0.0120,0.4500,7.5000,-375.0000,0.0000
0.02,5.0270,-1.1250,0.0270,0.7500,15.0000,375.0000,0.0000
0.02,5.0480,-1.1250,0.0480,1.0500,15.0000,0.0000,0.0000
0.02,5.0750,-1.1250,0.0750,1.3500,15.0000,0.0000,0.0000
0.02,5.1080,-1.1250,0.1080,1.6500,15.0000,0.0000,0.0000
0.02,5.1470,-1.1250,0.1470,1.9500,15.0000,0.0000,0.0000
0.02,5.1920,-1.1250,0.1920,2.2500,15.0000,0.0000,0.0000
0.02,5.2430,-1.1250,0.2430,2.5500,15.0000,0.0000,0.0000
0.02,5.3000,-1.1250,0.3000,2.8500,15.0000,0.0000,0.0000
0.02,5.3630,-1.1250,0.3630,3.1500,15.0000,0.0000,0.0000
0.02,5.4320,-1.1250,0.4320,3.4500,15.0000,0.0000,0.0000
0.02,5.5070,-1.1250,0.5070,3.7500,15.0000,0.0000,0.0000
0.02,5.5880,-1.1250,0.5880,4.0500,15.0000,0.0000,0.0000
0.02,5.6750,-1.1250,0.6750,4.3500,15.0000,0.0000,0.0000
0.02,5.7680,-1.1250,0.7680,4.6500,15.0000,0.0000,0.0000
0.02,5.8670,-1.1250,0.8670,4.9500,15.0000,0.0000,0.0000
0.02,5.9720,-1.1250,0.9720,5.2500,15.0000,0.0000,0.0000
0.02,6.0830,-1.1250,1.0830,5.5500,15.0000,0.0000,0.0000
0.02,6.2000,-1.1250,1.2000,5.8500,15.0000,0.0001,0.0000
0.02,6.3230,-1.1250,1.3230,6.1500,15.0000,0.0000,0.0000
0.02,6.4520,-1.1250,1.4520,6.4500,15.0000,0.0000,0.0000
0.02,6.5870,-1.1250,1.5870,6.7500,15.0000,0.0000,0.0000
0.02,6.7260,-1.1250,1.7260,6.9500,10.0000,-250.0000,0.0000
0.02,6.8660,-1.1250,1.8660,7.0000,2.5000,-375.0000,0.0000
0.02,7.0060,-1.1250,2.0060,7.0000,0.0000,-125.0000,0.0000
0.02,7.1460,-1.1250,2.1460,7.0000,0.0000,0.0000,0.0000
0.02,7.2860,-1.1250,2.2860,7.0000,0.0000,0.0000,0.0000
0.02,7.4260,-1.1250,2.4260,7.0000,0.0000,0.0001,0.0000
0.02,7.5660,-1.1250,2.5660,7.0000,0.0000,-0.0001,0.0000
0.02,7.7060,-1.1250,2.7060,7.0000,0.0000,0.0001,0.0000
0.02,7.8460,-1.1250,2.8460,7.0000,0.0000,0.0000,0.0000
0.02,7.9860,-1.1250,2.9860,7.0000,0.0000,-0.0001,0.0000
0.02,8.1260,-1.1250,3.1260,7.0000,0.0000,0.0001,0.0000
0.02,8.2660,-1.1250,3.2660,7.0000,0.0000,-0.0001,0.0000
0.02,8.4060,-1.1250,3.4060,7.0000,0.0000,-0.0001,0.0000
0.02,8.5460,-1.1250,3.5460,7.0000,0.0000,0.0001,0.0000
0.02,8.6860,-1.1250,3.6860,7.0000,0.0000,-0.0001,0.0000
0.02,8.8260,-1.1250,3.8260,7.0000,0.0000,0.0000,0.0000
0.02,8.9660,-1.1250,3.9660,7.0000,0.0000,0.0000,0.0000
0.02,9.1060,-1.1250,4.1060,7.0000,0.0000,0.0000,0.0000
0.02,9.2460,-1.1250,4.2460,7.0000,0.0000,0.0000,0.0000
0.02,9.3860,-1.1250,4.3860,7.0000,0.0000,-0.0001,0.0000
0.02,9.5260,-1.1250,4.5260,7.0000,0.0000,0.0000,0.0000
0.02,9.6660,-1.1250,4.6660,7.0000,0.0000,0.0000,0.0000
0.02,9.8060,-1.1250,4.8060,7.0000,0.0000,0.0000,0.0000
0.02,9.9460,-1.1250,4.9460,7.0000,0.0000,0.0000,0.0000
0.02,10.0860,-1.1250,5.0860,7.0000,0.0000,0.0000,0.0000
0.02,10.2260,-1.1250,5.2260,7.0000,0.0000,0.0000,0.0000
0.02,10.3660,-1.1250,5.3660,7.0000,0.0000,0.0000,0.0000
0.02,10.5060,-1.1250,5.5060,7.0000,0.0000,0.0001,0.0000
0.02,10.6460,-1.1250,5.6460,7.0000,0.0000,0.0000,0.0000
0.02,10.7860,-1.1250,5.7860,7.0000,0.0000,0.0000,0.0000
0.02,10.9260,-1.1250,5.9260,7.0000,0.0000,0.0000,0.0000
0.02,11.0660,-1.1250,6.0660,7.0000,0.0000,0.0000,0.0000
0.02,11.2060,-1.1250,6.2060,7.0000,0.0000,0.0000,0.0000
0.02,11.3460,-1.1250,6.3460,7.0000,0.0000,0.0000,0.0000
0.02,11.4860,-1.1250,6.4860,7.0000,0.0000,0.0000,0.0000
0.02,11.6260,-1.1250,6.6260,7.0000,0.0000,0.0000,0.0000
0.02,11.7660,-1.1250,6.7660,7.0000,0.0000,0.0000,0.0000
0.02,11.9060,-1.1250,6.9060,7.0000,0.0000,0.0000,0.0000
0.02,12.0460,-1.1250,7.0460,7.0000,0.0000,0.0000,0.0000
0.02,12.1860,-1.1250,7.1860,7.0000,0.0000,0.0000,0.0000
0.02,12.3260,-1.1250,7.3260,7.0000,0.0000,0.0000,0.0000
0.02,12.4660,-1.1250,7.4660,7.0000,0.0000,0.0000,0.0000
0.02,12.6060,-1.1250,7.6060,7.0000,0.0000,0.0000,0.0000
0.02,12.7460,-1.1250,7.7460,7.0000,0.0000,0.0000,0.0000
0.02,12.8860,-1.1250,7.8860,7.0000,0.0000,0.0000,0.0000
0.02,13.0260,-1.1250,8.0260,7.0000,0.0000,0.0000,0.0000
0.02,13.1660,-1.1250,8.1660,7.0000,0.0000,0.0000,0.0000
0.02,13.3060,-1.1250,8.3060,7.0000,0.0000,0.0000,0.0000
0.02,13.4460,-1.1250,8.4460,7.0000,0.0000,0.0000,0.0000
0.02,13.5860,-1.1250,8.5860,7.0000,0.0000,0.0000,0.0000
0.02,13.7260,-1.1250,8.7260,7.0000,0.0000,0.0000,0.0000
0.02,13.8660,-1.1250,8.8660,7.0000,0.0000,0.0000,0.0000
0.02,14.0060,-1.1250,9.0060,7.0000,0.0000,0.0001,0.0000
0.02,14.1460,-1.1250,9.1460,7.0000,0.0000,-0.0001,0.0000
0.02,14.2860,-1.1250,9.2860,7.0000,0.0000,0.0001,0.0000
0.02,14.4260,-1.1250,9.4260,7.0000,0.0000,-0.0001,0.0000
0.02,14.5660,-1.1250,9.5660,7.0000,0.0000,0.0001,0.0000
0.02,14.7060,-1.1250,9.7060,7.0000,0.0000,0.0000,0.0000
0.02,14.8460,-1.1250,9.8460,7.0000,0.0000,-0.0001,0.0000
0.02,14.9860,-1.1250,9.9860,7.0000,0.0000,0.0001,0.0000
0.02,15.1260,-1.1250,10.1260,7.0000,0.0000,0.0000,0.0000
0.02,15.2660,-1.1250,10.2660,7.0000,0.0000,-0.0001,0.0000
0.02,15.4060,-1.1250,10.4060,7.0000,0.0000,0.0001,0.0000
0.02,15.5460,-1.1250,10.5460,7.0000,0.0000,-0.0001,0.0000
0.02,15.6860,-1.1250,10.6860,7.0000,0.0000,0.0001,0.0000
0.02,15.8231,-1.1250,10.8231,6.8528,-7.3618,-368.0890,0.0000
0.02,15.9542,-1.1250,10.9542,6.5583,-14.7236,-368.0889,0.0000
0.02,16.0795,-1.1250,11.0795,6.2638,-14.7236,0.0000,0.0000
0.02,16.1989,-1.1250,11.1989,5.9694,-14.7236,0.0000,0.0000
0.02,16.3124,-1.1250,11.3124,5.6749,-14.7236,0.0000,0.0000
0.02,16.4200,-1.1250,11.4200,5.3804,-14.7236,0.0000,0.0000
0.02,16.5217,-1.1250,11.5217,5.0859,-14.7236,0.0000,0.0000
0.02,16.6175,-1.1250,11.6175,4.7915,-14.7236,0.0000,0.0000
0.02,16.7075,-1.1250,11.7075,4.4970,-14.7236,0.0000,0.0000
0.02,16.7915,-1.1250,11.7915,4.2025,-14.7236,0.0000,0.0000
0.02,16.8697,-1.1250,11.8697,3.9081,-14.7236,0.0000,0.0000
0.02,16.9420,-1.1250,11.9420,3.6136,-14.7236,0.0000,0.0000
0.02,17.0083,-1.1250,12.0083,3.3191,-14.7236,0.0000,0.0000
0.02,17.0688,-1.1250,12.0688,3.0246,-14.7236,0.0000,0.0000
0.02,17.1234,-1.1250,12.1234,2.7302,-14.7236,0.0000,0.0000
0.02,17.1722,-1.1250,12.1722,2.4357,-14.7236,0.0000,0.0000
0.02,17.2150,-1.1250,12.2150,2.1412,-14.7236,0.0000,0.0000
0.02,17.2519,-1.1250,12.2519,1.8468,-14.7236,0.0000,0.0000
0.02,17.2830,-1.1250,12.2830,1.5523,-14.7236,0.0000,0.0000
0.02,17.3081,-1.1250,12.3081,1.2578,-14.7236,0.0000,0.0000
0.02,17.3274,-1.1250,12.3274,0.9633,-14.7236,0.0000,0.0000
0.02,17.3408,-1.1250,12.3408,0.6689,-14.7236,0.0000,0.0000
0.02,17.3482,-1.1250,12.3482,0.3744,-14.7236,0.0000,0.0000
