dt,x,y,position,velocity,acceleration,jerk,heading
0.02,5.0030,0.0000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,5.0120,0.0000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,5.0270,0.0000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,5.0480,0.0000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,5.0750,0.0000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,5.1080,0.0000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,5.1470,0.0000,0.1470,2.1000,15.0000,0.0000,0.0000
0.02,5.1920,0.0000,0.1920,2.4000,15.0000,0.0000,0.0000
0.02,5.2430,0.0000,0.2430,2.7000,15.0000,0.0000,0.0000
0.02,5.3000,0.0000,0.3000,3.0000,15.0000,0.0000,0.0000
0.02,5.3630,0.0000,0.3630,3.3000,15.0000,0.0000,0.0000
0.02,5.4320,0.0000,0.4320,3.6000,15.0000,0.0000,0.0000
0.02,5.5070,0.0000,0.5070,3.9000,15.0000,0.0000,0.0000
0.02,5.5880,0.0000,0.5880,4.2000,15.0000,0.0000,0.0000
0.02,5.6750,0.0000,0.6750,4.5000,15.0000,0.0000,0.0000
0.02,5.7680,0.0000,0.7680,4.8000,15.0000,0.0000,0.0000
0.02,5.8670,0.0000,0.8670,5.1000,15.0000,0.0000,0.0000
0.02,5.9720,0.0000,0.9720,5.4000,15.0000,0.0000,0.0000
0.02,6.0830,0.0000,1.0830,5.7000,15.0000,0.0000,0.0000
0.02,6.2000,0.0000,1.2000,6.0000,15.0000,0.0000,0.0000
0.02,6.3230,0.0000,1.3230,6.3000,15.0000,0.0000,0.0000
0.02,6.4520,0.0000,1.4520,6.6000,15.0000,0.0000,0.0000
0.02,6.5870,0.0000,1.5870,6.9000,15.0000,0.0000,0.0000
0.02,6.7260,0.0000,1.7260,7.0000,15.0000,0.0000,0.0000
0.02,6.8660,0.0000,1.8660,7.0000,15.0000,0.0000,0.0000
0.02,7.0060,0.0000,2.0060,7.0000,15.0000,0.0000,0.0000
0.02,7.1460,0.0000,2.1460,7.0000,15.0000,0.0000,0.0000
0.02,7.2860,0.0000,2.2860,7.0000,15.0000,0.0000,0.0000
0.02,7.4260,0.0000,2.4260,7.0000,15.0000,0.0000,0.0000
0.02,7.5660,0.0000,2.5660,7.0000,15.0000,0.0000,0.0000
0.02,7.7032,0.0000,2.7032,6.7222,-13.8889,0.0000,0.0000
0.02,7.8349,0.0000,2.8349,6.4444,-13.8889,0.0000,0.0000
0.02,7.9610,0.0000,2.9610,6.1667,-13.8889,0.0000,0.0000
0.02,8.0816,0.0000,3.0816,5.8889,-13.8889,0.0000,0.0000
0.02,8.1966,0.0000,3.1966,5.6111,-13.8889,0.0000,0.0000
0.02,8.3060,0.0000,3.3060,5.3333,-13.8889,0.0000,0.0000
0.02,8.4099,0.0000,3.4099,5.0556,-13.8889,0.0000,0.0000
0.02,8.5082,0.0000,3.5082,4.7778,-13.8889,0.0000,0.0000
0.02,8.6010,0.0000,3.6010,4.5000,-13.8889,0.0000,0.0000
0.02,8.6882,0.0000,3.6882,4.2222,-13.8889,0.0000,0.0000
0.02,8.7699,0.0000,3.7699,3.9444,-13.8889,0.0000,0.0000
0.02,8.8460,0.0000,3.8460,3.6667,-13.8889,0.0000,0.0000
0.02,8.9166,0.0000,3.9166,3.3889,-13.8889,0.0000,0.0000
0.02,8.9816,0.0000,3.9816,3.1111,-13.8889,0.0000,0.0000
0.02,9.0410,0.0000,4.0410,2.8333,-13.8889,0.0000,0.0000
0.02,9.0949,0.0000,4.0949,2.5556,-13.8889,0.0000,0.0000
0.02,9.1432,0.0000,4.1432,2.2778,-13.8889,0.0000,0.0000
0.02,9.1860,0.0000,4.1860,2.0000,-13.8889,0.0000,0.0000
0.02,9.2232,0.0000,4.2232,1.7222,-13.8889,0.0000,0.0000
0.02,9.2549,0.0000,4.2549,1.4444,-13.8889,0.0000,0.0000
0.02,9.2810,0.0000,4.2810,1.1667,-13.8889,0.0000,0.0000
0.02,9.3016,0.0000,4.3016,0.8889,-13.8889,0.0000,0.0000
0.02,9.3166,0.0000,4.3166,0.6111,-13.8889,0.0000,0.0000
0.02,9.3260,0.0000,4.3260,0.3333,-13.8889,0.0000,0.0000
0.02,9.3299,0.0000,4.3299,0.0556,-13.8889,0.0000,0.0000
