dt,x,y,position,velocity,acceleration,jerk,heading
0.02,5.0030,-1.1250,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,5.0120,-1.1250,0.0120,0.4500,7.5000,-375.0000,0.0000
0.02,5.0270,-1.1250,0.0270,0.7500,15.0000,375.0000,0.0000
0.02,5.0480,-1.1250,0.0480,1.0500,15.0000,0.0000,0.0000
0.02,5.0750,-1.1250,0.0750,1.3500,15.0000,0.0000,0.0000
0.02,5.1080,-1.1250,0.1080,1.6500,15.0000,0.0000,0.0000
0.02,5.1470,-1.1250,0.1470,1.9500,15.0000,0.0000,0.0000
0.02,5.1920,-1.1250,0.1920,2.2500,15.0000,0.0000,0.0000
0.02,5.2430,-1.1250,0.2430,2.5500,15.0000,0.0000,0.0000
0.02,5.3000,-1.1250,0.3000,2.8500,15.0000,0.0000,0.0000
0.02,5.3630,-1.1250,0.3630,3.1500,15.0000,0.0000,0.0000
0.02,5.4320,-1.1250,0.4320,3.4500,15.0000,0.0000,0.0000
0.02,5.5070,-1.1250,0.5070,3.7500,15.0000,0.0000,0.0000
0.02,5.5880,-1.1250,0.5880,4.0500,15.0000,0.0000,0.0000
0.02,5.6750,-1.1250,0.6750,4.3500,15.0000,0.0000,0.0000
0.02,5.7680,-1.1250,0.7680,4.6500,15.0000,0.0000,0.0000
0.02,5.8670,-1.1250,0.8670,4.9500,15.0000,0.0000,0.0000
0.02,5.9720,-1.1250,0.9720,5.2500,15.0000,0.0000,0.0000
0.02,6.0830,-1.1250,1.0830,5.5500,15.0000,0.0000,0.0000
0.02,6.2000,-1.1250,1.2000,5.8500,15.0000,0.0000,0.0000
0.02,6.3230,-1.1250,1.3230,6.1500,15.0000,0.0000,0.0000
0.02,6.4520,-1.1250,1.4520,6.4500,15.0000,0.0000,0.0000
0.02,6.5870,-1.1250,1.5870,6.7500,15.0000,0.0000,0.0000
0.02,6.7260,-1.1250,1.7260,6.9500,10.0000,-250.0000,0.0000
0.02,6.8660,-1.1250,1.8660,7.0000,2.5000,-375.0000,0.0000
0.02,7.0060,-1.1250,2.0060,7.0000,0.0000,-125.0000,0.0000
0.02,7.1460,-1.1250,2.1460,7.0000,0.0000,0.0000,0.0000
0.02,7.2860,-1.1250,2.2860,7.0000,0.0000,0.0000,0.0000
0.02,7.4260,-1.1250,2.4260,7.0000,0.0000,0.0000,0.0000
0.02,7.5660,-1.1250,2.5660,7.0000,0.0000,0.0000,0.0000
0.02,7.7032,-1.1250,2.7032,6.8611,-6.9444,-347.2222,0.0000
0.02,7.8349,-1.1250,2.8349,6.5833,-13.8889,-347.2222,0.0000
0.02,7.9610,-1.1250,2.9610,6.3056,-13.8889,0.0000,0.0000
0.02,8.0816,-1.1250,3.0816,6.0278,-13.8889,0.0000,0.0000
0.02,8.1966,-1.1250,3.1966,5.7500,-13.8889,0.0000,0.0000
0.02,8.3060,-1.1250,3.3060,5.4722,-13.8889,0.0000,0.0000
0.02,8.4099,-1.1250,3.4099,5.1944,-13.8889,0.0000,0.0000
0.02,8.5082,-1.1250,3.5082,4.9167,-13.8889,0.0000,0.0000
0.02,8.6010,-1.1250,3.6010,4.6389,-13.8889,0.0000,0.0000
0.02,8.6882,-1.1250,3.6882,4.3611,-13.8889,0.0000,0.0000
0.02,8.7699,-1.1250,3.7699,4.0833,-13.8889,0.0000,0.0000
0.02,8.8460,-1.1250,3.8460,3.8056,-13.8889,0.0000,0.0000
0.02,8.9166,-1.1250,3.9166,3.5278,-13.8889,0.0000,0.0000
0.02,8.9816,-1.1250,3.9816,3.2500,-13.8889,0.0000,0.0000
0.02,9.0410,-1.1250,4.0410,2.9722,-13.8889,0.0000,0.0000
0.02,9.0949,-1.1250,4.0949,2.6944,-13.8889,0.0000,0.0000
0.02,9.1432,-1.1250,4.1432,2.4167,-13.8889,0.0000,0.0000
0.02,9.1860,-1.1250,4.1860,2.1389,-13.8889,0.0000,0.0000
0.02,9.2232,-1.1250,4.2232,1.8611,-13.8889,0.0000,0.0000
0.02,9.2549,-1.1250,4.2549,1.5833,-13.8889,0.0000,0.0000
0.02,9.2810,-1.1250,4.2810,1.3056,-13.8889,0.0000,0.0000
0.02,9.3016,-1.1250,4.3016,1.0278,-13.8889,0.0000,0.0000
0.02,9.3166,-1.1250,4.3166,0.7500,-13.8889,0.0000,0.0000
0.02,9.3260,-1.1250,4.3260,0.4722,-13.8889,0.0000,0.0000
0.02,9.3299,-1.1250,4.3299,0.1944,-13.8889,0.0000,0.0000
