dt,x,y,position,velocity,acceleration,jerk,heading
0.02,5.0030,0.0000,0.0030,0.3000,15.0000,0.0000,0.0000
0.02,5.0120,0.0000,0.0120,0.6000,15.0000,0.0000,0.0000
0.02,5.0270,0.0000,0.0270,0.9000,15.0000,0.0000,0.0000
0.02,5.0480,0.0000,0.0480,1.2000,15.0000,0.0000,0.0000
0.02,5.0750,0.0000,0.0750,1.5000,15.0000,0.0000,0.0000
0.02,5.1080,0.0000,0.1080,1.8000,15.0000,0.0000,0.0000
0.02,5.1470,0.0000,0.1470,2.1000,15.0000,0.0000,0.0000
0.02,5.1920,0.0000,0.1920,2.4000,15.0000,0.0000,0.0000
0.02,5.2430,0.0000,0.2430,2.7000,15.0000,0.0000,0.0000
0.02,5.3000,0.0000,0.3000,3.0000,15.0000,0.0000,0.0000
0.02,5.3630,0.0000,0.3630,3.3000,15.0000,0.0000,0.0000
0.02,5.4320,0.0000,0.4320,3.6000,15.0000,0.0000,0.0000
0.02,5.5070,0.0000,0.5070,3.9000,15.0000,0.0000,0.0000
0.02,5.5880,0.0000,0.5880,4.2000,15.0000,0.0000,0.0000
0.02,5.6750,0.0000,0.6750,4.5000,15.0000,0.0000,0.0000
0.02,5.7680,0.0000,0.7680,4.8000,15.0000,0.0000,0.0000
0.02,5.8670,0.0000,0.8670,5.1000,15.0000,0.0000,0.0000
0.02,5.9720,0.0000,0.9720,5.4000,15.0000,0.0000,0.0000
0.02,6.0830,0.0000,1.0830,5.7000,15.0000,0.0000,0.0000
0.02,6.2000,0.0000,1.2000,6.0000,15.0000,0.0000,0.0000
0.02,6.3230,0.0000,1.3230,6.3000,15.0000,0.0000,0.0000
0.02,6.4520,0.0000,1.4520,6.6000,15.0000,0.0000,0.0000
0.02,6.5870,0.0000,1.5870,6.9000,15.0000,0.0000,0.0000
0.02,6.7260,0.0000,1.7260,7.0000,15.0000,0.0000,0.0000
0.02,6.8660,0.0000,1.8660,7.0000,15.0000,0.0000,0.0000
0.02,7.0060,0.0000,2.0060,7.0000,15.0000,0.0000,0.0000
0.02,7.1460,0.0000,2.1460,7.0000,15.0000,0.0000,0.0000
0.02,7.2860,0.0000,2.2860,7.0000,15.0000,0.0000,0.0000
0.02,7.4260,0.0000,2.4260,7.0000,15.0000,0.0000,0.0000
0.02,7.5660,0.0000,2.5660,7.0000,15.0000,0.0000,0.0000
0.02,7.7060,0.0000,2.7060,7.0000,15.0000,0.0000,0.0000
0.02,7.8460,0.0000,2.8460,7.0000,15.0000,0.0000,0.0000
0.02,7.9860,0.0000,2.9860,7.0000,15.0000,0.0000,0.0000
0.02,8.1260,0.0000,3.1260,7.0000,15.0000,0.0000,0.0000
0.02,8.2660,0.0000,3.2660,7.0000,15.0000,0.0000,0.0000
0.02,8.4060,0.0000,3.4060,7.0000,15.0000,0.0000,0.0000
0.02,8.5460,0.0000,3.5460,7.0000,15.0000,0.0000,0.0000
0.02,8.6860,0.0000,3.6860,7.0000,15.0000,0.0000,0.0000
0.02,8.8260,0.0000,3.8260,7.0000,15.0000,0.0000,0.0000
0.02,8.9660,0.0000,3.9660,7.0000,15.0000,0.0000,0.0000
0.02,9.1060,0.0000,4.1060,7.0000,15.0000,0.0000,0.0000
0.02,9.2460,0.0000,4.2460,7.0000,15.0000,0.0000,0.0000
0.02,9.3860,0.0000,4.3860,7.0000,15.0000,0.0000,0.0000
0.02,9.5260,0.0000,4.5260,7.0000,15.0000,0.0000,0.0000
0.02,9.6660,0.0000,4.6660,7.0000,15.0000,0.0000,0.0000
0.02,9.8060,0.0000,4.8060,7.0000,15.0000,0.0000,0.0000
0.02,9.9460,0.0000,4.9460,7.0000,15.0000,0.0000,0.0000
0.02,10.0860,0.0000,5.0860,7.0000,15.0000,0.0000,0.0000
0.02,10.2260,0.0000,5.2260,7.0000,15.0000,0.0000,0.0000
0.02,10.3660,0.0000,5.3660,7.0000,15.0000,0.0000,0.0000
0.02,10.5060,0.0000,5.5060,7.0000,15.0000,0.0000,0.0000
0.02,10.6460,0.0000,5.6460,7.0000,15.0000,0.0000,0.0000
0.02,10.7860,0.0000,5.7860,7.0000,15.0000,0.0000,0.0000
0.02,10.9260,0.0000,5.9260,7.0000,15.0000,0.0000,0.0000
0.02,11.0660,0.0000,6.0660,7.0000,15.0000,0.0000,0.0000
0.02,11.2060,0.0000,6.2060,7.0000,15.0000,0.0000,0.0000
0.02,11.3460,0.0000,6.3460,7.0000,15.0000,0.0000,0.0000
0.02,11.4860,0.0000,6.4860,7.0000,15.0000,0.0000,0.0000
0.02,11.6230,0.0000,6.6230,6.7019,-14.9027,0.0000,0.0000
0.02,11.7541,0.0000,6.7541,6.4039,-14.9027,0.0000,0.0000
0.02,11.8792,0.0000,6.8792,6.1058,-14.9027,0.0000,0.0000
